,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:41:57.720+03:00,GET,https://the-dots.com/static/images/cross.svg,HTTP/1.1,1222,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,602,239,,,0,-1,-1,-1,100,0,-1,104.20.56.187,,101,
1,,2019-10-09T18:42:00.591+03:00,GET,https://the-dots.com/,HTTP/1.1,1342,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,492,12228,,,5,-1,-1,-1,135,2,-1,104.20.56.187,,143,
2,,2019-10-09T18:42:00.702+03:00,OPTIONS,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,592,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,0,8492,0,100,0,8471,104.20.55.187,,8593,value
3,,2019-10-09T18:42:00.756+03:00,OPTIONS,"https://api.the-dots.com/v1/search/jobs/query?include=organisation-page,organisation-page.profile-image,location,job-type&page=1&perPage=8",HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,0,11308,69,121,0,11272,104.20.55.187,,11500,value
4,,2019-10-09T18:42:00.758+03:00,OPTIONS,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-page,owner-page.tagline,owner-page.profile-image,owner-user,owner-user.tagline,owner-user.profile-image,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists&page=1&perPage=8",HTTP/1.1,748,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,0,11311,75,110,0,11280,104.20.55.187,,11497,value
5,,2019-10-09T18:42:00.762+03:00,OPTIONS,"https://api.the-dots.com/v1/search/questions/query?include=author,author.profile-image,author.tagline&page=1&perPage=8",HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,0,8776,0,104,0,8754,104.20.55.187,,8882,value
6,,2019-10-09T18:42:00.783+03:00,GET,https://the-dots.com/dist/app.babbb93c.css,HTTP/1.1,1251,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,615,69404,,,244,-1,-1,-1,106,0,-1,104.20.56.187,,351,
7,,2019-10-09T18:42:00.806+03:00,OPTIONS,"https://api.the-dots.com/v1/search/events/query?include=description,header-image,location,page,page.profile-image,ticket-types&page=1&perPage=8",HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,-1,-1,-1,108,0,-1,104.20.55.187,,109,value
8,,2019-10-09T18:42:00.872+03:00,OPTIONS,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-user,owner-user.location,desired-collaborator-professions&page=1&perPage=8",HTTP/1.1,557,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,-1,-1,-1,102,0,-1,104.20.55.187,,103,value
9,,2019-10-09T18:42:00.872+03:00,OPTIONS,"https://api.the-dots.com/v1/search/pages/query?include=profile-image,cover-image&page=1&perPage=8",HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,0,-1,-1,-1,106,0,-1,104.20.55.187,,106,value
10,,2019-10-09T18:42:01.165+03:00,GET,https://fullstory.com/s/fs.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68410,,,58,-1,-1,-1,101,5,-1,216.239.38.21,,165,
11,,2019-10-09T18:42:01.165+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,817,23725,,,2364,-1,-1,-1,98,5,-1,130.211.5.208,,2468,
12,,2019-10-09T18:42:01.547+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,565,22733,,,33,0,247,0,91,0,216,13.226.6.137,,373,
13,,2019-10-09T18:42:01.934+03:00,GET,https://the-dots.com/static/images/cross.svg,HTTP/1.1,1295,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,602,239,,,0,-1,-1,-1,92,0,-1,104.20.56.187,,93,
14,,2019-10-09T18:42:01.967+03:00,GET,https://api.the-dots.com/v1/config,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,application/json,,,1063,717,,,1,-1,-1,-1,144,0,-1,104.20.55.187,,146,
15,,2019-10-09T18:42:01.967+03:00,GET,"https://api.the-dots.com/v1/explore/today/projects?include=image,owner-user,owner-user.tagline,owner-user.profile-image,owner-page,owner-page.tagline,owner-page.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image",HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,application/json,,,1090,10929,,,19,-1,-1,-1,258,0,-1,104.20.55.187,,278,value
16,,2019-10-09T18:42:02.129+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=the-dots.com,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,6738,30,112,0,6702,172.217.18.162,,6882,value
17,,2019-10-09T18:42:02.176+03:00,POST,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,615,87,,200,OK,HTTP/1.1,0,application/json,,,1064,12501,,,44,-1,-1,-1,379,0,-1,104.20.55.187,,424,value
18,,2019-10-09T18:42:02.244+03:00,POST,https://rs.fullstory.com/rec/page,HTTP/1.1,421,246,,202,Accepted,HTTP/1.1,0,text/plain; charset=utf-8,,,364,15,,,0,-1,-1,-1,197,0,-1,35.186.194.58,,198,
19,,2019-10-09T18:42:02.257+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/rollbar.js/2.2.3/rollbar.min.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,692,16084,,,2083,-1,-1,-1,215,0,-1,104.19.196.151,,2299,
20,,2019-10-09T18:42:02.375+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=the-dots.com,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,243,0,97,0,206,216.58.210.2,,341,value
21,,2019-10-09T18:42:02.818+03:00,POST,"https://api.the-dots.com/v1/search/jobs/query?include=organisation-page,organisation-page.profile-image,location,job-type&page=1&perPage=8",HTTP/1.1,574,41,,200,OK,HTTP/1.1,0,application/json,,,1064,13890,,,7,-1,-1,-1,472,0,-1,104.20.55.187,,480,value
22,,2019-10-09T18:42:02.840+03:00,POST,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-page,owner-page.tagline,owner-page.profile-image,owner-user,owner-user.tagline,owner-user.profile-image,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists&page=1&perPage=8",HTTP/1.1,771,41,,200,OK,HTTP/1.1,0,application/json,,,1064,6434,,,3,-1,-1,-1,361,0,-1,104.20.55.187,,365,value
23,,2019-10-09T18:42:02.842+03:00,POST,"https://api.the-dots.com/v1/search/events/query?include=description,header-image,location,page,page.profile-image,ticket-types&page=1&perPage=8",HTTP/1.1,579,99,,200,OK,HTTP/1.1,0,application/json,,,1064,12199,,,36,-1,-1,-1,390,0,-1,104.20.55.187,,427,value
24,,2019-10-09T18:42:03.212+03:00,POST,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-user,owner-user.location,desired-collaborator-professions&page=1&perPage=8",HTTP/1.1,581,130,,200,OK,HTTP/1.1,0,application/json,,,1064,6279,,,3,-1,-1,-1,336,0,-1,104.20.55.187,,340,value
25,,2019-10-09T18:42:04.161+03:00,GET,https://images1.the-dots.com/2599906/creative-hues-live-dots-v1.jpeg?p=socialLarge,HTTP/1.1,1310,0,,200,OK,HTTP/1.1,0,image/webp,,,639,48366,,,96,0,1500,74,109,0,1459,104.20.56.187,,1781,value
26,,2019-10-09T18:42:04.176+03:00,GET,https://images1.the-dots.com/1970234/1-2.jpeg?p=socialLarge,HTTP/1.1,1287,0,,200,OK,HTTP/1.1,0,image/webp,,,617,60542,,,135,0,1513,74,112,0,1475,104.20.56.187,,1837,value
27,,2019-10-09T18:42:04.210+03:00,GET,https://images1.the-dots.com/2543859/image00020.jpeg?p=socialLarge,HTTP/1.1,1294,0,,200,OK,HTTP/1.1,0,image/jpeg,,,507,104472,,,140,0,1544,74,101,2,1507,104.20.56.187,,1863,value
28,,2019-10-09T18:42:04.345+03:00,GET,https://js.stripe.com/v2/m/outer.html,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,388,,,0,-1,-1,-1,90,0,-1,151.101.16.176,,91,
29,,2019-10-09T18:42:04.345+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25922,,,34,-1,-1,-1,105,0,-1,216.58.207.72,,140,value
30,,2019-10-09T18:42:04.530+03:00,GET,https://static.hotjar.com/c/hotjar-286277.js?sv=5,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript,,,563,0,,,0,-1,-1,-1,100,0,-1,147.75.33.59,,100,value
31,,2019-10-09T18:42:04.568+03:00,GET,https://www.googletagmanager.com/gtag/js?id=AW-963774345,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27315,,,27,-1,-1,-1,95,0,-1,216.58.207.72,,123,value
32,,2019-10-09T18:42:04.611+03:00,GET,https://api.mixpanel.com/track/?data=eyJldmVudCI6ICJwYWdldmlldyIsInByb3BlcnRpZXMiOiB7IiRvcyI6ICJXaW5kb3dzIiwiJGJyb3dzZXIiOiAiQ2hyb21lIiwiJGN1cnJlbnRfdXJsIjogImh0dHBzOi8vdGhlLWRvdHMuY29tLyIsIiRicm93c2VyX3ZlcnNpb24iOiA3NywiJHNjcmVlbl9oZWlnaHQiOiA2MDAsIiRzY3JlZW5fd2lkdGgiOiA4MDAsIm1wX2xpYiI6ICJ3ZWIiLCIkbGliX3ZlcnNpb24iOiAiMi4yOS4xIiwidGltZSI6IDE1NzA2MzU3MjQuMjU2LCJkaXN0aW5jdF9pZCI6ICIxNmRiMTJlYzE3NDEzYy0wZGVhYmYwMzMwZmMzYi0xMTVhMWIyZC03NTMwMC0xNmRiMTJlYzE3NTMyNSIsIiRkZXZpY2VfaWQiOiAiMTZkYjEyZWMxNzQxM2MtMGRlYWJmMDMzMGZjM2ItMTE1YTFiMmQtNzUzMDAtMTZkYjEyZWMxNzUzMjUiLCIkaW5pdGlhbF9yZWZlcnJlciI6ICIkZGlyZWN0IiwiJGluaXRpYWxfcmVmZXJyaW5nX2RvbWFpbiI6ICIkZGlyZWN0IiwicGFnZSBuYW1lIjogIlRoZSBDcmVhdGl2ZSBOZXR3b3JrIHwgVGhlIERvdHMiLCJ1cmwiOiAiLyIsInRva2VuIjogIjU3YjBiYzc5OTg1OGYyODUyNWUyY2JhZjczZWRmMWU5In19&ip=1&_=1570635724257,HTTP/1.1,1158,0,,200,OK,HTTP/1.1,0,application/json,,,497,1,,,0,0,345,0,135,0,316,35.190.25.25,,481,value
