,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T16:16:10.769+03:00,GET,https://the-dots.com/,HTTP/1.1,1376,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,492,11724,,,113,-1,0,-1,-1,3,-1,104.20.55.187,,117,
1,,2019-10-12T16:16:10.958+03:00,GET,https://the-dots.com/dist/app.37e961e8.css,HTTP/1.1,1285,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,615,69407,,,126,-1,0,-1,-1,74,-1,104.20.55.187,,201,
2,,2019-10-12T16:16:11.198+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/rollbar.js/2.2.3/rollbar.min.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,692,16084,,,259,-1,0,-1,-1,2097,-1,104.19.198.151,,2357,
3,,2019-10-12T16:16:11.198+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25922,,,100,-1,0,-1,-1,28,-1,216.58.207.72,,129,value
4,,2019-10-12T16:16:11.324+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,563,22733,,,95,-1,0,-1,-1,36,-1,143.204.194.189,,132,
5,,2019-10-12T16:16:11.615+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,817,23725,,,139,0,0,374,409,242,0,130.211.5.208,,792,
6,,2019-10-12T16:16:11.615+03:00,GET,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,764,17889,,,84,0,0,377,413,1378,0,143.204.194.199,,1878,
7,,2019-10-12T16:16:13.082+03:00,GET,https://securepubads.g.doubleclick.net/gpt/pubads_impl_modern_2019100301.js?21064579,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,56672,,,95,35,0,4160,4193,118,0,216.58.207.34,,4444,value
8,,2019-10-12T16:16:13.158+03:00,GET,https://js.stripe.com/v2/m/outer.html,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,388,,,89,-1,0,-1,-1,0,-1,151.101.16.176,,90,
9,,2019-10-12T16:16:13.176+03:00,GET,"https://api.the-dots.com/v1/explore/today/projects?include=image,owner-user,owner-user.tagline,owner-user.profile-image,owner-page,owner-page.tagline,owner-page.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image",HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,application/json,,,1089,13603,,,155,0,0,286,319,44,0,104.20.55.187,,520,value
