,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:34:25.633+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,428,2122,,,0,3553,13,121,2,3518,137,167.99.129.42,,3829,
1,,2019-10-08T16:34:25.812+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,-1,1,102,6,-1,-1,167.99.129.42,,110,
2,,2019-10-08T16:34:25.926+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,1246,,,-1,-1,2,103,0,-1,-1,167.99.129.42,,106,value
3,,2019-10-08T16:34:25.994+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,0,171,0,107,0,143,0,167.99.129.42,,281,
4,,2019-10-08T16:34:27.479+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,0,1659,2,111,1,1632,2,216.58.207.42,,1777,value
5,,2019-10-08T16:34:27.479+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,1660,2,111,0,1633,2,216.58.207.42,,1777,value
6,,2019-10-08T16:34:28.892+03:00,GET,https://fonts.gstatic.com/s/josefinslab/v10/lW-5wjwOK3Ps5GSJlNNkMalnqg6v.woff2,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,37264,,,0,1141,86,115,1,1112,0,172.217.16.131,,1345,
7,,2019-10-08T16:34:28.892+03:00,GET,https://fonts.gstatic.com/s/cookie/v11/syky-y18lb0tSbf9kgqS.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,14456,,,0,1158,54,120,1,1129,0,172.217.16.131,,1334,
8,,2019-10-08T16:34:30.293+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,0,4389,1,126,1,4367,88,104.24.109.21,,4606,
9,,2019-10-08T16:34:32.093+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,0,6236,82,116,1,6202,31,216.58.210.2,,6467,
10,,2019-10-08T16:34:32.378+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,80,109,1,-1,-1,216.58.210.2,,191,
11,,2019-10-08T16:34:32.593+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,39,110,0,-1,-1,216.58.210.2,,151,
12,,2019-10-08T16:34:33.030+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17168,,,0,5378,64,99,0,5350,38,172.217.22.72,,5580,
13,,2019-10-08T16:34:33.202+03:00,GET,https://www.facebook.com/plugins/like.php?href=https%3A%2F%2Ftheuselessweb.com&width&layout=button_count&action=like&show_faces=false&share=false&height=21,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,14195,,,0,5566,59,268,1,5530,0,31.13.92.36,,5896,value
