,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:42:38.416+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,428,2122,,,2,155,1754,136,0,6,1786,142.93.108.123,,2086,
1,,2019-10-08T16:42:38.608+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,1,107,-1,-1,-1,3,-1,142.93.108.123,,112,
2,,2019-10-08T16:42:38.717+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,1246,,,1,130,-1,-1,-1,1,-1,142.93.108.123,,133,value
3,,2019-10-08T16:42:38.848+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,1,112,205,0,0,1,235,142.93.108.123,,350,
4,,2019-10-08T16:42:40.913+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,0,130,2184,89,0,5,2206,104.24.108.21,,2432,
5,,2019-10-08T16:42:40.935+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,0,115,2256,32,0,96,2285,172.217.16.194,,2529,
6,,2019-10-08T16:42:42.903+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,1,113,4230,31,0,3,4259,216.58.207.42,,4408,value
7,,2019-10-08T16:42:42.903+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,113,4230,32,0,1,4260,216.58.207.42,,4408,value
8,,2019-10-08T16:42:43.223+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,130,-1,-1,-1,91,-1,172.217.16.194,,223,
9,,2019-10-08T16:42:43.461+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,136,-1,-1,-1,127,-1,172.217.16.194,,264,
