,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-09T17:39:08.712+03:00,GET,"https://t.sharethis.com/d/a.gif?cid=c010&dmn=www.onread.com&tt=t.dhj&dhjLcy=3047&lbl=pxcel&flbl=pxcel&ll=d&ver=0.308.14340&ell=d&cck=__stid&pn=%2F&qs=na&rdn=www.onread.com&rpn=%2F&rqs=na&cc=IL&cont=AS&ipaddr=&evid=gpW9w2WA4tB6G00T6j0D&urls=!2!0!b-12t,!2!0!b-10l,!2!0!b-10x,!1!5305!b-125,!1!3441!b-10w,!1!5352!b-126,!1!3305!b-102,!2!0!b-140,!2!0!b-12g,!2!0!b-10o,!2!0!b-12y,!2!0!b-12u&rnd=1570631947638&cid=c010&version=0.308.14340&cc=IL&cont=AS&repeat=0&htmLcy=108",HTTP/1.1,value,925,0,,204,No Content,HTTP/1.1,0,,,,227,0,,,90,0,-1,-1,-1,-1,0,104.82.118.155,,91,
1,,2019-10-09T17:39:12.508+03:00,GET,https://www.onread.com/,HTTP/1.1,,981,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,485,9868,,,164,0,-1,-1,-1,-1,26,104.24.119.116,,191,
2,,2019-10-09T17:39:12.557+03:00,GET,https://www.facebook.com/v2.0/plugins/like.php?app_id=&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3733cf7292d0ac%26domain%3Dwww.onread.com%26origin%3Dhttps%253A%252F%252Fwww.onread.com%252Ff18b7673c2e6%26relation%3Dparent.parent&container_width=0&href=https%3A%2F%2Fwww.onread.com%2F&layout=button_count&locale=en_US&sdk=joey&send=false&show_faces=false,HTTP/1.1,value,872,0,,0,,unknown,0,,,,-1,-1,,,0,0,33,4426,0,4453,0,157.240.1.35,,4488,No response received
3,,2019-10-09T17:39:12.717+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,value,917,0,,200,OK,HTTP/1.1,0,text/css,,,516,19958,,,119,0,-1,-1,-1,-1,5,104.24.119.116,,125,
4,,2019-10-09T17:39:12.718+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,value,902,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,104,0,-1,-1,-1,-1,0,104.24.119.116,,105,
5,,2019-10-09T17:39:12.718+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,value,914,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,104,0,-1,-1,-1,-1,0,104.24.119.116,,105,
6,,2019-10-09T17:39:12.718+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,value,920,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,108,0,-1,-1,-1,-1,24,104.24.119.116,,133,
7,,2019-10-09T17:39:12.725+03:00,GET,https://ws.sharethis.com/button/buttons.js,HTTP/1.1,,432,0,,304,Not Modified,HTTP/1.1,0,,,,475,0,,,97,0,-1,-1,-1,-1,0,13.225.249.48,,98,
8,,2019-10-09T17:39:12.830+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,value,897,0,,200,OK,HTTP/1.1,0,text/css,,,515,1646,,,100,0,-1,-1,-1,-1,0,104.24.119.116,,101,
9,,2019-10-09T17:39:12.832+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,value,897,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,96,0,-1,-1,-1,-1,0,104.24.119.116,,96,
10,,2019-10-09T17:39:12.847+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,value,896,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,95,0,-1,-1,-1,-1,7,104.24.119.116,,103,
11,,2019-10-09T17:39:12.855+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,value,901,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,94,0,-1,-1,-1,-1,0,104.24.119.116,,95,
12,,2019-10-09T17:39:12.932+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,value,915,0,,200,OK,HTTP/1.1,0,text/css,,,515,545,,,93,0,-1,-1,-1,-1,0,104.24.119.116,,94,
13,,2019-10-09T17:39:12.934+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,value,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,89,0,-1,-1,-1,-1,0,104.24.119.116,,90,
14,,2019-10-09T17:39:12.955+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,value,931,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,97,0,-1,-1,-1,-1,0,104.24.119.116,,98,
15,,2019-10-09T17:39:12.955+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.css?v=1465990458,HTTP/1.1,value,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,728,,,99,0,-1,-1,-1,-1,0,104.24.119.116,,100,
16,,2019-10-09T17:39:13.028+03:00,GET,https://www.onread.com/js/poshytip/tip-basic/tip-basic.css?v=1465990458,HTTP/1.1,value,919,0,,200,OK,HTTP/1.1,0,text/css,,,516,562,,,88,0,-1,-1,-1,-1,0,104.24.119.116,,89,
17,,2019-10-09T17:39:13.029+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.css?v=1465990458,HTTP/1.1,value,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,1257,,,100,0,-1,-1,-1,-1,0,104.24.119.116,,101,
18,,2019-10-09T17:39:13.059+03:00,GET,https://www.onread.com/css/popup.css?v=1465990458,HTTP/1.1,value,897,0,,200,OK,HTTP/1.1,0,text/css,,,516,1402,,,88,0,-1,-1,-1,-1,0,104.24.119.116,,89,
19,,2019-10-09T17:39:13.060+03:00,GET,https://www.onread.com/assets/37e991fb/authchoice.css?v=1485418581,HTTP/1.1,value,914,0,,200,OK,HTTP/1.1,0,text/css,,,516,272,,,105,0,-1,-1,-1,-1,0,104.24.119.116,,106,
20,,2019-10-09T17:39:13.671+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,value,899,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,112,0,-1,-1,-1,-1,0,104.24.119.116,,114,
21,,2019-10-09T17:39:13.672+03:00,GET,https://ws.sharethis.com/secure/index.html,HTTP/1.1,,551,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,13.225.249.48,,0,No response received
