,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.connect,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T20:06:55.630+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25672,,,591,2,104,1402,23,0,1363,52.52.116.70,,2124,
1,,2019-10-08T20:06:57.451+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,300italic,400,400italic,500,700",HTTP/1.1,422,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,838,,,118,0,0,1168,2,0,1130,216.58.207.42,,1292,value
2,,2019-10-08T20:06:58.627+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,96,6,86,2256,47,0,2215,93.184.220.20,,2493,
3,,2019-10-08T20:06:58.638+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,90,0,87,2258,1125,0,2217,93.184.220.20,,3563,
4,,2019-10-08T20:06:58.641+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,88,0,90,2266,273,0,2217,93.184.220.20,,2719,
5,,2019-10-08T20:06:58.646+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,91,0,89,2273,492,0,2232,93.184.220.20,,2947,
6,,2019-10-08T20:06:58.648+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,89,0,88,2276,162,0,2236,93.184.220.20,,2618,
7,,2019-10-08T20:06:58.650+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v3_common.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript,,,508,212381,,,88,0,87,2279,1239,0,2237,93.184.220.20,,3695,
8,,2019-10-08T20:06:58.782+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/music_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,9419,,,84,0,-1,-1,583,-1,-1,93.184.220.20,,668,
9,,2019-10-08T20:06:58.915+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/video_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,503,629,,,86,1,-1,-1,1,-1,-1,93.184.220.20,,88,
10,,2019-10-08T20:06:59.017+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/http_public_production/homepage_tiles/images/529/original/resize:800x400/crop:x0y0w800h400/hash:1560795812/opps2x1.jpg?1560795812,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/jpeg,,,357,24458,,,99,1,-1,-1,294,-1,-1,93.184.220.20,,394,value
