,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,response._error,request.queryString.name
0,,2019-10-08T18:14:02.148+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1008,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49005,,,-1,2721,0,0,60,0,17,104.24.18.117,,2798,,
1,,2019-10-08T18:14:03.510+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/07/death-star-fire-pit.jpeg,HTTP/1.1,997,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,0,0,0,31,104.24.18.117,,31,No response received,
2,,2019-10-08T18:14:03.762+03:00,GET,https://ad.doubleclick.net/ddm/trackimp/N743659.2810401ADWORDS/B23007502.251830938;dc_trk_aid=447750945;dc_trk_cid=119089164;ord=882944324;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=?,HTTP/1.1,1531,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://ad.doubleclick.net/ddm/trackimp/N743659.2810401ADWORDS/B23007502.251830938;dc_pre=CILkw-T9jOUCFds74AodQgEIPg;dc_trk_aid=447750945;dc_trk_cid=119089164;ord=882944324;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=?,1145,0,,,13235,103,80,0,0,0,13268,216.58.207.70,,13452,,
3,,2019-10-08T18:14:03.918+03:00,GET,https://ad.doubleclick.net/ddm/trackimp/N743659.2810401ADWORDS/B23007502.251830938;dc_pre=CILkw-T9jOUCFds74AodQgEIPg;dc_trk_aid=447750945;dc_trk_cid=119089164;ord=882944324;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=?,HTTP/1.1,1617,0,,200,OK,HTTP/1.1,0,image/gif,,,587,42,,,-1,122,-1,0,0,-1,-1,216.58.207.70,,123,,
4,,2019-10-08T18:14:04.960+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsssDpL_DF5fV4KUwn9RIhDY9L_cw0PoiWO_YJvnU4F6XOqhNgM94JdYbTNwRr7sPBzMPleEo6ZdI5bYZQW3dr1YzQzVEyreJWmOQtMN9DwQEG4Y2XM&sai=AMfl-YQxNk9LzuFn9GhP4j3G92ou1EgEM37uwJxZPsrml7cSWLJUJdcqoUlcaZs5JBkkCMCWxalSGCbcFvOg&sig=Cg0ArKJSzE5TwNbO_f9VEAE&adk=2057880241&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=38&niot_cbk=65&md=2&lm=2&rst=1570547627913&dlt=691&rpt=10102&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45305&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-105-64-48-287-62-0-0-0&tvt=6810&r=u&id=osdtos&vs=3&za=0-0-0&uc=64&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x200&itpl=4&v=20191004",HTTP/1.1,2035,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,93,-1,0,0,-1,-1,216.58.205.226,,94,,value
5,,2019-10-08T18:14:05.063+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,962,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,-1,2116,-1,0,150,-1,-1,104.24.18.117,,2267,,
6,,2019-10-08T18:14:05.106+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjst4vQQ9Cv9AIks3MgWB6N-z2_V_YzwX8vMLs3gOMiknxdQ9bMHGl7bhSBfA8Fhgt8V0nssQxcJpEz4BDGFBwGDIWpn2YThIAe1IjdjXdfrnAN_eESo&sai=AMfl-YT_85Vr_1BZm_YtL1ile_Xd-vwQAHUYgFW1NlLsGZGvRYyIMlfnQ0CSvNAVTfr4780MZRHcYIjfT7lL&sig=Cg0ArKJSzMBlnCnVOqsSEAE&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=39&niot_cbk=65&md=2&lm=2&rst=1570547627967&dlt=702&rpt=10028&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45305&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-105-64-48-287-62-0-0-0&tvt=6810&r=u&id=osdtos&vs=3&za=0-0-0&uc=64&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=4&v=20191004",HTTP/1.1,2003,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,99,-1,0,0,-1,-1,216.58.205.226,,100,,value
7,,2019-10-08T18:14:05.110+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvF1xqZmyxzpsVLD4yLWASaxXUB1VtNJsrRSrsYEi-VqEPfkg7PpBLvd5MUSMfDIZKi1pd2Pq1M0gPAwnrNB3z6uVxsz04eC4NDMd9a-xvTTdBlq48&sai=AMfl-YRPPzanuaZx6Y9KgTbSNIkYqDGep_EFapzrKgvqEKMOLWeEICq_PUu7JUW38daW6c_3SpItpmHb0KlZ&sig=Cg0ArKJSzFX1eElku32QEAE&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=39&niot_cbk=65&md=2&lm=2&rst=1570547627994&dlt=2991&rpt=10055&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45305&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-105-64-48-287-62-0-0-0&tvt=6810&r=u&id=osdtos&vs=3&za=0-0-0&uc=62&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=22&v=20191004",HTTP/1.1,2019,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,119,97,0,0,0,0,138,216.58.205.226,,236,,value
8,,2019-10-08T18:14:05.112+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssuwO78f--w-DqeaiFN0FEsGpzspwKNTaa6XgPpbTSbyMmKWINCuWtfseP9GDAU9cstwXnL2dzlK7iHJEAVXAwxrny7w4_-R4fws9kx2mR-SOtkHB8&sai=AMfl-YQVM_JYJ2xRSZHbouCqO46hD110jN2jj1_j8p5nVU-HKSZK6P75GU1HGMXgPc6xDTrm_trsfdovSOV3Uk6pbgvUn1xGICIWSNU&sig=Cg0ArKJSzLVLrzfgwaqPEAE&cid=CAASFeRo6TKdXbRBdhCm2U_4gJ0vJ0zXpw&adk=3428921553&tt=6130&bs=0%2C0&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=0,0,0,0&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&if=1&met=no&avms=nio&niot_obs=12&niot_cbk=40&md=2&lm=2&rst=1570547631996&dlt=464&rpt=6591&isd=0&oseid=3&xdi=1&ps=-12245933%2C-12245933&ss=800%2C600&pt=371&bin=1&deb=1-1-1-18-61-25-69-60-0-0-0&tvt=6479&is=0%2C0&iframe_loc=http%3A%2F%2Fshutupandtakemymoney.com%2Fadzonec728.html&r=u&id=osdim&vs=2&za=0-1-1&uc=61&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=4&v=20191004",HTTP/1.1,2040,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,107,92,0,1,0,0,134,216.58.205.226,,228,,value
9,,2019-10-08T18:14:05.139+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/07/pokenatomy-pokemon-anatomy-book-fb.jpg,HTTP/1.1,1011,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,176445,,,-1,372,0,0,4442,0,33,104.24.18.117,,4848,,
