,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,response._error
0,,2019-10-09T17:56:41.297+03:00,GET,https://www.facebook.com/v2.0/plugins/like.php?app_id=&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3fe81bd9a99cd8%26domain%3Dwww.onread.com%26origin%3Dhttps%253A%252F%252Fwww.onread.com%252Ff1c9142b8f16f8%26relation%3Dparent.parent&container_width=0&href=https%3A%2F%2Fwww.onread.com%2F&layout=button_count&locale=en_US&sdk=joey&send=false&show_faces=false,HTTP/1.1,value,874,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1185,15400,,,237,3296,0,35,3269,0,303,157.240.1.35,,3873,
1,,2019-10-09T17:56:42.054+03:00,GET,https://www.onread.com/,HTTP/1.1,,982,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,485,9947,,,39,-1,-1,-1,-1,0,180,104.24.119.116,,220,
2,,2019-10-09T17:56:42.056+03:00,GET,"https://t.sharethis.com/d/a.gif?cid=c010&dmn=www.onread.com&tt=t.dhj&dhjLcy=2452&lbl=pxcel&flbl=pxcel&ll=d&ver=0.308.14340&ell=d&cck=__stid&pn=%2F&qs=na&rdn=www.onread.com&rpn=%2F&rqs=na&cc=IL&cont=AS&ipaddr=&evid=N_WBx2WAJ3azztI9Gn1K&urls=!0!8254!b-12t,!0!8254!b-10l,!0!8253!b-10x,!0!8253!b-125,!1!3709!b-10w,!0!8252!b-126,!0!8252!b-102,!0!246!b-140,!0!244!b-12g,!0!245!b-10o,!0!244!b-12y,!0!244!b-12u&rnd=1570632997588&cid=c010&version=0.308.14340&cc=IL&cont=AS&repeat=0&htmLcy=100",HTTP/1.1,value,944,0,,204,No Content,HTTP/1.1,0,,,,227,0,,,0,-1,-1,-1,-1,0,95,104.82.118.155,,95,
3,,2019-10-09T17:56:42.284+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,value,918,0,,200,OK,HTTP/1.1,0,text/css,,,516,19958,,,7,-1,-1,-1,-1,0,123,104.24.119.116,,131,
4,,2019-10-09T17:56:42.286+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,value,903,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,0,-1,-1,-1,-1,0,101,104.24.119.116,,102,
5,,2019-10-09T17:56:42.288+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,value,915,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,0,-1,-1,-1,-1,0,111,104.24.119.116,,112,
6,,2019-10-09T17:56:42.289+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,value,900,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,0,-1,-1,-1,-1,0,110,104.24.119.116,,111,
7,,2019-10-09T17:56:42.307+03:00,GET,https://ws.sharethis.com/button/buttons.js,HTTP/1.1,,432,0,,304,Not Modified,HTTP/1.1,0,,,,475,0,,,0,-1,-1,-1,-1,0,104,13.225.249.93,,105,
8,,2019-10-09T17:56:42.392+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,value,898,0,,200,OK,HTTP/1.1,0,text/css,,,515,1646,,,0,-1,-1,-1,-1,0,125,104.24.119.116,,126,
9,,2019-10-09T17:56:42.406+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,value,897,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,12,-1,-1,-1,-1,0,108,104.24.119.116,,121,
