,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:58:19.912+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,0,3126,7,224,111,2,3082,45.63.119.229,,3474,,
1,,2019-10-09T17:58:20.060+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,-1,-1,296,-1,209,1,-1,45.63.119.229,,507,,
2,,2019-10-09T17:58:20.273+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,0,206,457,0,176,1,166,45.63.119.229,,842,,
3,,2019-10-09T17:58:23.544+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,0,2959,5,0,141,1,2926,172.217.23.138,,3107,value,
4,,2019-10-09T17:58:23.545+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,0,3477,2,3,144,0,3441,172.217.23.138,,3629,value,
5,,2019-10-09T17:58:25.599+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,0,1456,0,249,119,0,1428,165.22.204.53,,1826,,
6,,2019-10-09T17:58:25.723+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,358,,,-1,-1,0,-1,95,0,-1,165.22.204.53,,96,,
7,,2019-10-09T17:58:26.210+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,0,291,56,0,106,1,263,172.217.22.3,,454,,
8,,2019-10-09T17:58:26.213+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,22992,,,0,291,52,0,100,0,264,172.217.22.3,,445,,
9,,2019-10-09T17:58:26.219+03:00,GET,https://fonts.gstatic.com/s/pacifico/v16/FwZY7-Qmy14u9lezJ-6H6Mk.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,30928,,,0,2271,62,3,96,0,2243,172.217.22.3,,2434,,
10,,2019-10-09T17:58:26.237+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3MzA1MzM0OSwiaWF0IjoxNTcwNjM0MTQ5LCJpc3MiOiJrb3NtaSIsImp0aSI6Ijk4ZjVlZjk4LTNkMDMtNGQyYS05YmUzLTkyMTBiZTMxMjhjNiIsIm5iZiI6MTU3MDYzNDE0OCwic3ViIjoiNTk1NDlhMDItYmQ0Yi00M2UwLTkzMjMtZWU2OWZlNGUzZjc5IiwidHlwIjoiYWNjZXNzIn0.U3d5B3dYznN9aRUSIM0KQmTxkT9ySibGikOxupRPHD7LuMyKP_ivLXB_vJBdf-JOjzanXnwyhF7m-hIV_-o_eg&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,0,375,0,0,99,0,351,165.22.204.53,,476,value,
11,,2019-10-09T17:58:26.344+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,-1,-1,0,-1,108,0,-1,45.63.119.229,,109,,
12,,2019-10-09T17:58:26.474+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,0,-1,99,0,-1,45.63.119.229,,100,,
13,,2019-10-09T17:58:26.475+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,0,-1,100,0,-1,45.63.119.229,,101,,
14,,2019-10-09T17:58:26.672+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,0,-1,165.22.204.53,,0,,No response received
