,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time
0,,2019-10-08T16:24:13.286+03:00,OPTIONS,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,value,592,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,7184,0,0,112,7225,0,0,104.20.55.187,,7338
1,,2019-10-08T16:24:13.306+03:00,OPTIONS,"https://api.the-dots.com/v1/search/jobs/query?include=organisation-page,organisation-page.profile-image,location,job-type&page=1&perPage=8",HTTP/1.1,value,551,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,5538,0,0,91,5579,0,0,104.20.55.187,,5672
2,,2019-10-08T16:24:13.327+03:00,OPTIONS,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-page,owner-page.tagline,owner-page.profile-image,owner-user,owner-user.tagline,owner-user.profile-image,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists&page=1&perPage=8",HTTP/1.1,value,748,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,9467,122,0,104,9494,0,0,104.20.55.187,,9722
3,,2019-10-08T16:24:13.372+03:00,OPTIONS,"https://api.the-dots.com/v1/search/questions/query?include=author,author.profile-image,author.tagline&page=1&perPage=8",HTTP/1.1,value,531,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,4228,0,0,98,4254,0,0,104.20.55.187,,4353
4,,2019-10-08T16:24:13.374+03:00,OPTIONS,"https://api.the-dots.com/v1/search/events/query?include=description,header-image,location,page,page.profile-image,ticket-types&page=1&perPage=8",HTTP/1.1,value,556,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,4242,0,0,109,4269,0,0,104.20.55.187,,4380
5,,2019-10-08T16:24:13.403+03:00,OPTIONS,"https://api.the-dots.com/v1/search/pages/query?include=profile-image,cover-image&page=1&perPage=8",HTTP/1.1,value,510,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,-1,-1,0,103,-1,0,-1,104.20.55.187,,104
6,,2019-10-08T16:24:13.403+03:00,OPTIONS,"https://api.the-dots.com/v1/search/projects/query?include=image,owner-user,owner-user.location,desired-collaborator-professions&page=1&perPage=8",HTTP/1.1,value,557,0,,200,OK,HTTP/1.1,0,text/plain,,,863,0,,,-1,-1,0,97,-1,0,-1,104.20.55.187,,98
7,,2019-10-08T16:24:14.845+03:00,GET,https://the-dots.com/,HTTP/1.1,,1342,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,492,12281,,,-1,-1,0,117,-1,3,-1,104.20.55.187,,122
8,,2019-10-08T16:24:14.993+03:00,GET,https://the-dots.com/dist/app.71109cc8.css,HTTP/1.1,,1251,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,615,69404,,,-1,-1,0,102,-1,20,-1,104.20.55.187,,123
9,,2019-10-08T16:24:15.142+03:00,GET,https://fullstory.com/s/fs.js,HTTP/1.1,,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68410,,,-1,-1,0,109,-1,45,-1,216.239.32.21,,155
10,,2019-10-08T16:24:15.146+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,817,23725,,,-1,-1,0,88,-1,1164,-1,130.211.5.208,,1252
11,,2019-10-08T16:24:15.151+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/rollbar.js/2.2.3/rollbar.min.js,HTTP/1.1,,410,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,692,16084,,,-1,-1,0,225,-1,2093,-1,104.19.199.151,,2319
12,,2019-10-08T16:24:15.151+03:00,GET,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,HTTP/1.1,,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,763,17889,,,-1,-1,0,2264,-1,492,-1,13.226.6.226,,2757
13,,2019-10-08T16:24:15.154+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,value,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25891,,,-1,-1,0,100,-1,17,-1,216.58.207.72,,118
14,,2019-10-08T16:24:15.533+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,564,22733,,,270,0,0,90,305,37,0,99.86.255.24,,433
15,,2019-10-08T16:24:15.676+03:00,GET,https://www.googletagservices.com/tag/js/gpt.js,HTTP/1.1,,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,767,14485,,,12244,42,0,128,12279,27,0,172.217.18.162,,12478
16,,2019-10-08T16:24:15.707+03:00,GET,"https://api.the-dots.com/v1/explore/today/projects?include=image,owner-user,owner-user.tagline,owner-user.profile-image,owner-page,owner-page.tagline,owner-page.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image",HTTP/1.1,value,688,0,,200,OK,HTTP/1.1,0,application/json,,,1089,10884,,,-1,-1,0,137,-1,17,-1,104.20.55.187,,155
17,,2019-10-08T16:24:15.707+03:00,GET,https://api.the-dots.com/v1/config,HTTP/1.1,,403,0,,200,OK,HTTP/1.1,0,application/json,,,1064,717,,,-1,-1,0,276,-1,0,-1,104.20.55.187,,277
18,,2019-10-08T16:24:15.832+03:00,GET,https://js.stripe.com/v2/m/outer.html,HTTP/1.1,,503,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,388,,,-1,-1,0,87,-1,0,-1,151.101.16.176,,89
19,,2019-10-08T16:24:15.855+03:00,POST,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,value,615,87,,200,OK,HTTP/1.1,0,application/json,,,1064,12818,,,-1,-1,0,396,-1,24,-1,104.20.55.187,,421
20,,2019-10-08T16:24:15.893+03:00,POST,https://rs.fullstory.com/rec/page,HTTP/1.1,,421,246,,202,Accepted,HTTP/1.1,0,text/plain; charset=utf-8,,,364,15,,,-1,-1,0,209,-1,0,-1,35.186.194.58,,210
21,,2019-10-08T16:24:15.928+03:00,GET,https://www.googletagmanager.com/gtag/js?id=AW-963774345,HTTP/1.1,value,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27197,,,-1,-1,0,92,-1,22,-1,216.58.207.72,,114
22,,2019-10-08T16:24:16.087+03:00,GET,https://static.hotjar.com/c/hotjar-286277.js?sv=5,HTTP/1.1,value,362,0,,200,OK,HTTP/1.1,0,application/javascript,,,563,0,,,137,0,0,114,162,0,0,147.75.101.51,,278
23,,2019-10-08T16:24:16.174+03:00,GET,https://connect.facebook.net/en_US/fbevents.js,HTTP/1.1,,359,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1177,31625,,,212,0,0,130,245,54,0,31.13.92.14,,431
