,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T19:08:47.112+03:00,GET,https://www.incredibox.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,225,28014,,,180,180,1815,4,0,1849,10,163.172.54.44,,2224,
1,,2019-10-09T19:08:47.335+03:00,GET,https://www.incredibox.com/css/style.min.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,311,13693,,,-1,121,-1,2,-1,-1,1,163.172.54.44,,125,
2,,2019-10-09T19:08:47.483+03:00,GET,https://www.incredibox.com/img/home-mockup-aasl.jpg,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,108304,,,-1,104,-1,1,-1,-1,108,163.172.54.44,,215,
3,,2019-10-09T19:08:47.710+03:00,GET,https://www.incredibox.com/js/libs/jquery.min.js,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,33225,,,-1,111,-1,0,-1,-1,7,163.172.54.44,,118,
4,,2019-10-09T19:08:47.835+03:00,GET,https://www.incredibox.com/js/site.min.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,22728,,,-1,135,-1,0,-1,-1,1,163.172.54.44,,137,
5,,2019-10-09T19:08:48.577+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,text/css,,,663,1055,,,46,156,1171,0,0,1190,1,104.19.195.151,,1396,
6,,2019-10-09T19:08:48.593+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,6531,,,46,159,1187,0,0,1206,226,104.19.195.151,,1638,
7,,2019-10-09T19:08:49.001+03:00,GET,https://www.incredibox.com/img/menu-logo.svg,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,262,4941,,,-1,102,-1,0,-1,-1,0,163.172.54.44,,103,
8,,2019-10-09T19:08:49.003+03:00,GET,https://www.incredibox.com/img/home-header2.jpg,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,169169,,,0,168,142,0,0,179,166,163.172.54.44,,515,
9,,2019-10-09T19:08:49.108+03:00,GET,https://www.incredibox.com/img/home-logo.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,259,42647,,,-1,211,-1,0,-1,-1,9,163.172.54.44,,221,
10,,2019-10-09T19:08:49.179+03:00,GET,https://www.incredibox.com/font/raleway-regular-webfont.woff,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32476,,,0,157,135,1,0,163,26,163.172.54.44,,349,
11,,2019-10-09T19:08:49.182+03:00,GET,https://www.incredibox.com/font/raleway-semibold-webfont.woff,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,31612,,,0,159,139,0,0,171,26,163.172.54.44,,359,
12,,2019-10-09T19:08:49.192+03:00,GET,https://www.incredibox.com/font/raleway-bold-webfont.woff,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32628,,,0,157,125,1,0,173,27,163.172.54.44,,359,
13,,2019-10-09T19:08:49.364+03:00,GET,https://www.incredibox.com/img/home-album.png,HTTP/1.1,418,0,,200,OK,HTTP/1.1,0,image/png,,,261,115850,,,-1,103,-1,0,-1,-1,84,163.172.54.44,,187,
14,,2019-10-09T19:08:49.367+03:00,GET,https://www.incredibox.com/img/home-teaser-artwork.jpg,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,148604,,,-1,121,-1,0,-1,-1,68,163.172.54.44,,190,
15,,2019-10-09T19:08:49.372+03:00,GET,https://www.incredibox.com/img/home-aasl.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,258,8327,,,-1,110,-1,0,-1,-1,0,163.172.54.44,,111,
16,,2019-10-09T19:08:49.377+03:00,GET,https://www.incredibox.com/img/home-v5-artwork1.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,60844,,,-1,184,-1,0,-1,-1,71,163.172.54.44,,255,
17,,2019-10-09T19:08:49.387+03:00,GET,https://www.incredibox.com/img/home-tv-press.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,30764,,,-1,184,-1,0,-1,-1,1,163.172.54.44,,187,
18,,2019-10-09T19:08:49.490+03:00,GET,https://www.incredibox.com/img/home-press-logos.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,115446,,,-1,140,-1,0,-1,-1,78,163.172.54.44,,218,
19,,2019-10-09T19:08:49.574+03:00,GET,https://www.incredibox.com/img/home-awards.png,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,image/png,,,259,29038,,,-1,100,-1,0,-1,-1,1,163.172.54.44,,102,
20,,2019-10-09T19:08:49.591+03:00,GET,https://www.incredibox.com/img/bt-store.png,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,image/png,,,259,16730,,,-1,111,-1,0,-1,-1,0,163.172.54.44,,112,
21,,2019-10-09T19:08:49.677+03:00,GET,https://www.googletagmanager.com/gtag/js?id=UA-10301455-3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27381,,,0,106,2299,1,0,2336,61,216.58.207.72,,2506,value
