,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T18:55:32.405+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,888,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49086,,,288,0,28,2781,0,0,-1,104.24.18.117,,3098,
1,,2019-10-11T18:55:35.291+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,842,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,3,-1,-1,2210,0,-1,-1,104.24.18.117,,2213,
2,,2019-10-11T18:55:35.436+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900",HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,758,,,0,0,143,102,0,0,111,216.58.207.42,,247,value
3,,2019-10-11T18:55:35.440+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,1082,0,147,89,0,0,115,209.197.3.15,,1320,
4,,2019-10-11T18:55:35.509+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/wp-emoji-release.min.js?ver=f93c06892291928e5e70789d6414b9c7,HTTP/1.1,865,0,,200,OK,HTTP/1.1,0,application/javascript,,,430,4382,,,0,-1,-1,95,0,-1,-1,104.24.18.117,,96,value
5,,2019-10-11T18:55:35.511+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/09/art-in-a-sec-custom-ai-pet-paintings.jpg,HTTP/1.1,893,0,,200,OK,HTTP/1.1,0,image/jpeg,,,360,174485,,,148,0,25,39,0,0,-1,104.24.18.117,,213,
6,,2019-10-11T18:55:35.513+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/shark-slippers-suatmm.jpg,HTTP/1.1,878,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,41368,,,1424,0,22,367,0,0,-1,104.24.18.117,,1814,
7,,2019-10-11T18:55:35.523+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/personalized-whiskey-decanter.jpg,HTTP/1.1,886,0,,200,OK,HTTP/1.1,0,image/jpeg,,,393,85362,,,2239,0,17,369,0,0,-1,104.24.18.117,,2626,
8,,2019-10-11T18:55:35.544+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,555,18855,,,26,-1,-1,84,0,-1,-1,143.204.192.12,,110,
9,,2019-10-11T18:55:35.579+03:00,GET,https://load.sumo.com/78.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,101903,,,181,0,253,109,0,0,226,89.187.169.79,,544,
