,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error,request.queryString.name
0,,2019-10-12T08:18:35.232+03:00,GET,https://www.sporcle.com/,HTTP/1.1,1746,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,19020,,,314,-1,-1,0,-1,1,-1,13.225.249.98,,316,,
1,,2019-10-12T08:18:35.502+03:00,POST,https://c.pub.network/c,HTTP/1.1,539,1920,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,35.226.36.58,,0,No response received,
2,,2019-10-12T08:18:35.529+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570857485185%2C%22tag%22%3A2567%2C%22init1request%22%3A2791%2C%22init1%22%3A3346%7D&mode=0&websiteid=2490&visitid=1570858387377236&deviceid=6277190916652959504&pageviewid=6&sequenceid=90&clienttimestamp=1570857515222&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,935,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,196,275,0,0,301,0,0,35.190.62.200,,498,,value
3,,2019-10-12T08:18:35.596+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsu5UsnWnRvY6Mv8-XlkSlkuPrYp3MuHeyBkboMhje2uDyn2A5K7xWBb3O8oTD8LcFbZC8j72lG90NUgYV-gY-BpcsBKSg5S-hfGgYgTwlK6L6pBU-8&sai=AMfl-YRqBAEW4LajIgh4hrn_xGNueTxipzN38OBV39GKW2Lug3_efpMeRochFdX-Yb38XvSkBMTb2BXnbKyUcR_vx11HztkeenPF6sxTtkyO-ettLpwNK8JUbpg0P8w&sig=Cg0ArKJSzHw4sXtm_URPEAE&cid=CAASEuRo55z2GcnuqDjo74wIE4Afuw&adk=3241475122&tt=142&bs=793%2C579&mtos=10516,10516,10516,10516,10516&tos=10516,0,0,0,0&p=5,33,95,761&mcvt=10516&rs=3&ht=0&tfs=14902&tls=25418&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=14853&niot_cbk=14871&md=2&lm=2&rst=1570857504879&dlt=113&rpt=5&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdtos&vs=4&uc=99&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=728x90&itpl=22&v=20191011",HTTP/1.1,1216,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,97,-1,-1,0,-1,0,-1,216.58.205.226,,98,,value
4,,2019-10-12T08:18:35.670+03:00,GET,https://www.sporcle.com/style/main.css?v=10322,HTTP/1.1,1659,0,,200,OK,HTTP/1.1,0,text/css,,,520,16109,,,86,-1,-1,0,-1,19,-1,13.225.249.98,,106,,value
5,,2019-10-12T08:18:35.698+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssYnHSajISnYTfASSQDHhxOlVJqr4sxV1F_7Ib9u_gZfFevcp6mgCgWIWK_FDebzWGMbpgDvUO7t_gjTZTv17R3wq2OJREQvMsoWVxYww5q61mP_EY&sai=AMfl-YSq1Vd3QAGhZrNEYApcpOlohe2bmZapfqic_NFyT2tTmEaW2cD-IAopMiFROAowDhVQSQuBN-lFn8VRTs2Yywb-6VZZet1nbSu6GvrHQuYJC34w8-vYiu6G1Rg&sig=Cg0ArKJSzM_Y8EdrttRaEAE&cid=CAASEuRoh1XMT8PkxOgMmQs_DYOZTA&adk=1271645335&tt=142&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=5637,20,5887,320&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=241&md=2&lm=2&rst=1570857489591&dlt=205&rpt=1318&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdim&vs=3&uc=229&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=298x248&itpl=14&v=20191011",HTTP/1.1,1172,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,91,-1,-1,0,-1,0,-1,216.58.205.226,,91,,value
6,,2019-10-12T08:18:35.744+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssYnHSajISnYTfASSQDHhxOlVJqr4sxV1F_7Ib9u_gZfFevcp6mgCgWIWK_FDebzWGMbpgDvUO7t_gjTZTv17R3wq2OJREQvMsoWVxYww5q61mP_EY&sai=AMfl-YSq1Vd3QAGhZrNEYApcpOlohe2bmZapfqic_NFyT2tTmEaW2cD-IAopMiFROAowDhVQSQuBN-lFn8VRTs2Yywb-6VZZet1nbSu6GvrHQuYJC34w8-vYiu6G1Rg&sig=Cg0ArKJSzM_Y8EdrttRaEAE&cid=CAASEuRoh1XMT8PkxOgMmQs_DYOZTA&adk=1271645335&tt=142&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=5637,20,5887,320&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=241&md=2&lm=2&rst=1570857489591&dlt=205&rpt=1318&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdtos&vs=3&uc=229&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=298x248&itpl=14&v=20191011",HTTP/1.1,1173,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,94,112,0,0,132,0,0,216.58.205.226,,227,,value
7,,2019-10-12T08:18:35.744+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstL2e9Pt-Hx2TvZDrYjq9dWTB7RAWBrv3NdnffeGEe6ERuv1vXx0mANKLDlsHOFvY21bE4wdyqGcNH-EEvsLDXX474tyMA7S_FCAo2g4TjCyiUkGc8&sai=AMfl-YQsx4YfCfUFhkUOptfsdQ-WE5BAMalJLKQ28DouHY2zTwrWFkLDj5Z7zMdlrIdUnmeXbo3_XAOK26p-jq9_CLf_XCw7ABTi9cObmIC7d5o_xCtSej5oU19NZIg&sig=Cg0ArKJSzGSplx_J3s8lEAE&cid=CAASEuRos6MRO3XNOJOu8Z_Jpa5biw&adk=1318988201&tt=142&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=983,640,1233,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=290&md=2&lm=2&rst=1570857489578&dlt=206&rpt=925&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdim&vs=3&uc=232&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x250&itpl=4&v=20191011",HTTP/1.1,1170,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,99,112,0,0,132,0,0,216.58.205.226,,232,,value
8,,2019-10-12T08:18:35.747+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstL2e9Pt-Hx2TvZDrYjq9dWTB7RAWBrv3NdnffeGEe6ERuv1vXx0mANKLDlsHOFvY21bE4wdyqGcNH-EEvsLDXX474tyMA7S_FCAo2g4TjCyiUkGc8&sai=AMfl-YQsx4YfCfUFhkUOptfsdQ-WE5BAMalJLKQ28DouHY2zTwrWFkLDj5Z7zMdlrIdUnmeXbo3_XAOK26p-jq9_CLf_XCw7ABTi9cObmIC7d5o_xCtSej5oU19NZIg&sig=Cg0ArKJSzGSplx_J3s8lEAE&cid=CAASEuRos6MRO3XNOJOu8Z_Jpa5biw&adk=1318988201&tt=142&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=983,640,1233,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=290&md=2&lm=2&rst=1570857489578&dlt=206&rpt=925&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdtos&vs=3&uc=232&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x250&itpl=4&v=20191011",HTTP/1.1,1171,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,90,105,0,0,124,0,0,216.58.205.226,,215,,value
9,,2019-10-12T08:18:35.779+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssAapTUqMAmGy2FfCXyCYlc3FrUnKwGxUrqmZ-Q9wrd3ifNoadABw4OdIqp-MKcuIptlajWfsD3pa9VYFXUQ8yKBb0xeFs58IiI1vIpuSo&sig=Cg0ArKJSzDz_SYDgQNsnEAE&adk=3395509772&tt=142&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=4781,640,5031,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=290&md=2&lm=2&rst=1570857489524&rpt=974&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8132&ss=800%2C600&pt=25279&bin=1&deb=1-4-5-455-234-30-981-232-0-0-0&tvt=25404&r=u&id=osdim&vs=3&uc=232&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191011",HTTP/1.1,940,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,95,138,0,0,164,0,0,216.58.205.226,,260,,value
