,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.wait,timings.dns,timings.send,serverIPAddress,comment,time,response._error
0,,2019-10-11T19:32:46.627+03:00,GET,https://secure-assets.rubiconproject.com/utils/xapi/multi-sync.html?region=eu&endpoint=eu&p=a9eu&,HTTP/1.1,value,1109,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,416,2842,,,430,0,0,393,110,39,0,23.34.190.24,,581,
1,,2019-10-11T19:32:47.035+03:00,POST,https://c.pub.network/c,HTTP/1.1,,539,1912,,200,OK,HTTP/1.1,0,text/plain;charset=utf-8,,,301,36,,,681,0,0,664,204,0,0,35.226.36.58,,887,
2,,2019-10-11T19:32:47.515+03:00,GET,https://eus.rubiconproject.com/usync.html?geo=na&co=us&s=ms2,HTTP/1.1,value,1661,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,429,7651,,,219,0,0,200,107,31,0,104.124.167.236,,359,
3,,2019-10-11T19:32:47.670+03:00,GET,https://acdn.adnxs.com/ib/static/usersync/v3/async_usersync.html,HTTP/1.1,,690,0,,200,OK,HTTP/1.1,0,text/html,,,372,506,,,-1,-1,0,-1,41,-1,0,212.55.188.252,,42,
4,,2019-10-11T19:32:47.756+03:00,GET,https://www.sporcle.com/,HTTP/1.1,,1749,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,19606,,,6462,0,40,6435,269,0,0,13.225.249.90,,6773,
5,,2019-10-11T19:32:47.986+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570811536140%2C%22tag%22%3A4127%2C%22init1request%22%3A4420%2C%22init1%22%3A5440%7D&mode=0&websiteid=2490&visitid=1570812535981337&deviceid=2660532632169812049&pageviewid=3&sequenceid=45&clienttimestamp=1570811566339&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,value,935,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,313,0,0,276,195,0,0,35.190.62.200,,510,
6,,2019-10-11T19:32:50.128+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjss90QpA4lk_MfzQF_dhuZO8CO_2rjQmzLhr1nbtDtHXGsnwe7pUrKV_2CrSddQ9xae9vNGjRQ1ggxK6YYPMlo-hsU4mROKqGpK25rHPV0U&sig=Cg0ArKJSzHeBw9KrfOlOEAE&adk=3241475122&tt=3390&bs=793%2C579&mtos=25466,25466,25466,25466,25466&tos=25466,0,0,0,0&p=5,33,95,761&mcvt=25466&rs=3&ht=0&tfs=557&tls=26023&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=95&md=2&lm=2&rst=1570811542800&rpt=1357&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdtos&vs=4&uc=237&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,982,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,329,0,0,295,95,0,0,216.58.205.226,,425,
7,,2019-10-11T19:32:50.135+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvcf4XsjmzIGNZwsXqX7mZ_4BAXB5Z5nAKRd-Sj-99mPUToiw4XcgzdTmxl6bw1dPx3tMhSfxsVNmuVwBKpMDKcyVOboLG4cJWtMcpAywo&sig=Cg0ArKJSzIUlkX82UIeGEAE&adk=1271645335&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=6123,20,6373,320&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=95&md=2&lm=2&rst=1570811542783&rpt=1290&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdim&vs=3&uc=238&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,940,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,337,0,0,304,91,0,0,216.58.205.226,,429,
8,,2019-10-11T19:32:50.154+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstCJ7N-KJAo4QRQzFuY7pGkuWs05aSWCPGID-EW0YXz3Vn6CM8YOIGrwabLIL65NTfMJaJnBrmtxfh0leZPAPwmQfmt0M85fmDimc7QEjw&sig=Cg0ArKJSzFXi5MZpzlELEAE&adk=1318988201&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=983,640,1233,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=95&md=2&lm=2&rst=1570811542756&rpt=1073&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdim&vs=3&uc=240&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,940,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,345,0,0,306,99,0,0,216.58.205.226,,446,
9,,2019-10-11T19:32:50.248+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstCJ7N-KJAo4QRQzFuY7pGkuWs05aSWCPGID-EW0YXz3Vn6CM8YOIGrwabLIL65NTfMJaJnBrmtxfh0leZPAPwmQfmt0M85fmDimc7QEjw&sig=Cg0ArKJSzFXi5MZpzlELEAE&adk=1318988201&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=983,640,1233,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=95&md=2&lm=2&rst=1570811542756&rpt=1073&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdtos&vs=3&uc=240&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,941,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,-1,0,-1,90,-1,0,216.58.205.226,,90,
10,,2019-10-11T19:32:50.249+03:00,POST,https://detwzgl8cvciv.cloudfront.net/cm_minder_tracking/,HTTP/1.1,,456,335,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,577,84,,,352,0,0,322,166,0,0,143.204.194.187,,519,
11,,2019-10-11T19:32:50.250+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvcf4XsjmzIGNZwsXqX7mZ_4BAXB5Z5nAKRd-Sj-99mPUToiw4XcgzdTmxl6bw1dPx3tMhSfxsVNmuVwBKpMDKcyVOboLG4cJWtMcpAywo&sig=Cg0ArKJSzIUlkX82UIeGEAE&adk=1271645335&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=6123,20,6373,320&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=95&md=2&lm=2&rst=1570811542783&rpt=1290&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdtos&vs=3&uc=238&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,941,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,343,0,0,306,97,0,0,216.58.205.226,,441,
12,,2019-10-11T19:32:50.257+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssXdJaW2ENUDUwC5RUkbXZdzmX0Pl9hhqy6Q10_J6mbWWgy8FVI_hwgQiRRjhv3yuDtAoU9YEy6GJx3hpyx3ZCvGnO0HFT9hCMmJqd6TQs&sig=Cg0ArKJSzCEPXfd6FLLHEAE&adk=3395509772&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=4678,640,4928,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=95&md=2&lm=2&rst=1570811542734&rpt=1239&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdim&vs=3&uc=240&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,941,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,-1,0,-1,94,-1,0,216.58.205.226,,94,
13,,2019-10-11T19:32:50.272+03:00,GET,https://a.pub.network/sporcle-com/pubfig.min.js,HTTP/1.1,,470,0,,200,OK,HTTP/1.1,0,application/javascript,,,916,116841,,,389,0,140,360,104,23,0,104.25.191.114,,657,
14,,2019-10-11T19:32:50.283+03:00,GET,https://s.ntv.io/serve/load.js,HTTP/1.1,,346,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,657,90049,,,259,0,102,232,81,36,0,212.55.190.81,,480,
15,,2019-10-11T19:32:50.297+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssXdJaW2ENUDUwC5RUkbXZdzmX0Pl9hhqy6Q10_J6mbWWgy8FVI_hwgQiRRjhv3yuDtAoU9YEy6GJx3hpyx3ZCvGnO0HFT9hCMmJqd6TQs&sig=Cg0ArKJSzCEPXfd6FLLHEAE&adk=3395509772&tt=3390&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=4678,640,4928,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=25&niot_cbk=95&md=2&lm=2&rst=1570811542734&rpt=1239&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8624&ss=800%2C600&pt=22637&bin=1&deb=1-4-4-333-240-33-971-238-0-0-0&tvt=26011&r=u&id=osdtos&vs=3&uc=240&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191009",HTTP/1.1,value,942,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,-1,0,-1,93,-1,0,216.58.205.226,,94,
16,,2019-10-11T19:32:50.298+03:00,GET,https://tag.bounceexchange.com/2490/i.js,HTTP/1.1,,463,0,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,290,1804,,,371,0,0,348,93,33,0,35.190.92.63,,499,
17,,2019-10-11T19:32:50.306+03:00,POST,https://detwzgl8cvciv.cloudfront.net/cm_minder_tracking/,HTTP/1.1,,467,308,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,577,84,,,454,0,0,423,168,94,0,143.204.194.187,,718,
18,,2019-10-11T19:32:50.326+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,434,0,49,406,84,1,0,172.217.22.110,,570,
19,,2019-10-11T19:32:50.329+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css,HTTP/1.1,,404,0,,200,OK,HTTP/1.1,0,text/css,,,663,439,,,463,0,0,437,93,0,0,104.19.196.151,,558,
