,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:21:26.359+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,1269,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25740,,,-1,-1,9,-1,-1,0,352,52.52.116.70,,362,
1,,2019-10-11T14:21:26.735+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,-1,-1,199,-1,-1,0,103,93.184.220.20,,302,
2,,2019-10-11T14:21:26.736+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,-1,-1,2637,-1,-1,0,103,93.184.220.20,,2741,
3,,2019-10-11T14:21:26.737+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,-1,-1,470,-1,-1,0,93,93.184.220.20,,564,
4,,2019-10-11T14:21:27.026+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,279,0,496,4,247,1,90,93.184.220.20,,872,
5,,2019-10-11T14:21:27.026+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,279,0,155,0,247,1,91,93.184.220.20,,527,
6,,2019-10-11T14:21:27.029+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/images/spinners/32x32_light.gif,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/gif,,,438,3398,,,282,0,133,0,251,1,90,93.184.220.20,,507,
7,,2019-10-11T14:21:29.661+03:00,POST,https://www.reverbnation.com/api/user/app_events,HTTP/1.1,1461,14,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1313,2,,,-1,-1,0,-1,-1,0,249,52.52.116.70,,251,
8,,2019-10-11T14:21:29.695+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-T92MNF&l=_dataLayer,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27021,,,-1,-1,34,-1,-1,0,106,216.58.207.72,,141,value
9,,2019-10-11T14:21:29.828+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2.2.min.js,HTTP/1.1,367,0,,200,OK,HTTP/1.1,0,text/javascript,,,817,23725,,,-1,-1,170,-1,-1,0,94,130.211.5.208,,266,
10,,2019-10-11T14:21:29.875+03:00,GET,https://www.reverbnation.com/main/index_bottom_new,HTTP/1.1,1359,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25098,,,-1,-1,3,-1,-1,0,635,52.52.116.70,,639,
11,,2019-10-11T14:21:29.885+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/rjs/common/lib/sync.js?e3ac2274b7,HTTP/1.1,433,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,2611,,,-1,-1,546,-1,-1,0,91,93.184.220.20,,638,value
12,,2019-10-11T14:21:29.890+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/rjs/modules/header.js?e3ac2274b7,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,506,13986,,,-1,-1,402,-1,-1,0,94,93.184.220.20,,497,value
13,,2019-10-11T14:21:29.890+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/rjs/modules/player.js?e3ac2274b7,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,507,22856,,,-1,-1,123,-1,-1,0,88,93.184.220.20,,212,value
