,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:04:25.749+03:00,GET,https://cdn.monotote.com/uploads/theme-assets/stylist-sticker.jpg,HTTP/1.1,382,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,-1,-1,0,0,-1,-1,143.204.192.65,,0,
1,,2019-10-11T14:04:25.778+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1097,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48872,,,,292,-1,-1,0,2369,-1,-1,104.24.18.117,,2662,
2,,2019-10-11T14:04:28.193+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvlpW5DbRsbYCKG7zLakPGU4_kZIaashGeRbnNib1qqUrcf7RTz-hXw0dQbYEWoWz5uVBXadoBr7ov1HkMchPLTNEI0bJ1pSEpJlQn9Xpcu-3a1o_0&sai=AMfl-YRGbSHoJpb8V62El5g0aRZLZiSfK7-vSp7--TeR1I2BY2T8LNj3865ze-XLppFqFCuFudhOVHWZK7K7nt-_Q_u4wmX1eKtAHYE&sig=Cg0ArKJSzFS_J-lbNQO-EAE&cid=CAASFeRoS1Wg0LZjvcWoneHUKGk2iqggLQ&adk=2057880241&tt=2277&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=208&md=2&lm=2&rst=1570791841721&dlt=725&rpt=569&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=23582&bin=1&deb=1-4-4-467-229-44-1056-227-0-0-0&tvt=25832&r=u&id=osdim&vs=3&uc=206&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191009",HTTP/1.1,2086,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,0,105,-1,-1,216.58.208.34,,106,value
3,,2019-10-11T14:04:28.195+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvlpW5DbRsbYCKG7zLakPGU4_kZIaashGeRbnNib1qqUrcf7RTz-hXw0dQbYEWoWz5uVBXadoBr7ov1HkMchPLTNEI0bJ1pSEpJlQn9Xpcu-3a1o_0&sai=AMfl-YRGbSHoJpb8V62El5g0aRZLZiSfK7-vSp7--TeR1I2BY2T8LNj3865ze-XLppFqFCuFudhOVHWZK7K7nt-_Q_u4wmX1eKtAHYE&sig=Cg0ArKJSzFS_J-lbNQO-EAE&cid=CAASFeRoS1Wg0LZjvcWoneHUKGk2iqggLQ&adk=2057880241&tt=2277&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=208&md=2&lm=2&rst=1570791841721&dlt=725&rpt=569&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=23582&bin=1&deb=1-4-4-467-229-44-1056-227-0-0-0&tvt=25832&r=u&id=osdtos&vs=3&uc=206&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191009",HTTP/1.1,2087,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,0,123,-1,-1,216.58.208.34,,124,value
4,,2019-10-11T14:04:28.271+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,1051,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,,34,-1,-1,0,2186,-1,-1,104.24.18.117,,2221,
5,,2019-10-11T14:04:28.304+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstVqpCkb9snLgKAbmhBOkv6iM5XKxO4dVXFsJfuNJL9z5-LrDzDimpPVPoDncyowju71Pnl_LYjtiVex8wLXg0jHfHJDu1TRlI0doFnyKwP6A7B2NE&sai=AMfl-YQi5WzW9mjoyKJSKHS1Y13FNZMWzviMmChCHklTeup6wYt4wB0o4oL_E5C-IETswqQUg-xLaqQqbBbjR5zIimRsUoIuxHWy-EI&sig=Cg0ArKJSzOJ1QfxUYAt4EAE&cid=CAASFeRoPh2TfskSWeH6_dyzBwpe_-E-Vw&adk=1185311379&tt=2277&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=209&md=2&lm=2&rst=1570791841795&dlt=708&rpt=474&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=23582&bin=1&deb=1-4-4-467-229-44-1056-227-0-0-0&tvt=25832&r=u&id=osdim&vs=3&uc=201&upc=10&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=4&v=20191009",HTTP/1.1,2055,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,0,99,-1,-1,216.58.208.34,,99,value
6,,2019-10-11T14:04:28.324+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstVqpCkb9snLgKAbmhBOkv6iM5XKxO4dVXFsJfuNJL9z5-LrDzDimpPVPoDncyowju71Pnl_LYjtiVex8wLXg0jHfHJDu1TRlI0doFnyKwP6A7B2NE&sai=AMfl-YQi5WzW9mjoyKJSKHS1Y13FNZMWzviMmChCHklTeup6wYt4wB0o4oL_E5C-IETswqQUg-xLaqQqbBbjR5zIimRsUoIuxHWy-EI&sig=Cg0ArKJSzOJ1QfxUYAt4EAE&cid=CAASFeRoPh2TfskSWeH6_dyzBwpe_-E-Vw&adk=1185311379&tt=2277&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=209&md=2&lm=2&rst=1570791841795&dlt=708&rpt=474&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=23582&bin=1&deb=1-4-4-467-229-44-1056-227-0-0-0&tvt=25832&r=u&id=osdtos&vs=3&uc=201&upc=10&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=4&v=20191009",HTTP/1.1,2056,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,0,103,-1,-1,216.58.208.34,,104,value
7,,2019-10-11T14:04:28.335+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,,25,-1,-1,0,79,-1,-1,172.217.22.78,,105,
8,,2019-10-11T14:04:28.343+03:00,GET,https://www.dwin2.com/init.js?t=1570791868340,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,491,103,,,,0,-1,-1,0,97,-1,-1,151.101.18.110,,97,value
9,,2019-10-11T14:04:28.363+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstP1UnTiSMaW8DOFRVfvW9DK7qq_DtyEd08Uxr-4fzyDNCNcjmAhLyoEkiH1M3fRLTufvc4h0esoYwfL4LJlqi8tTGm_pTEEVF2iccKb3KK8vWoSsw&sai=AMfl-YTMsTSumgaIpINfc_FisW57MXzY9O4kLXtyCo-SRRmfVIxhWKWK-ldk3Iz_mHAWU4_nTFp10LQokJrtR6UAO9eRl8Lo_QtgjIs&sig=Cg0ArKJSzNAAWa5Z0RNSEAE&cid=CAASFeRob8UkIyug5OFBaZUVLUJTzWs0eg&adk=2664836855&tt=2277&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=210&md=2&lm=2&rst=1570791841830&dlt=683&rpt=448&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=23582&bin=1&deb=1-4-4-467-229-44-1056-227-0-0-0&tvt=25832&r=u&id=osdim&vs=3&uc=200&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=14&v=20191009",HTTP/1.1,2070,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,141,0,0,96,0,106,216.58.208.34,,239,value
