,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T19:19:49.897+03:00,GET,http://dontevenreply.com/,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,260,13590,,,3,322,2,-1,27,48,0,64.22.68.51,,404,,
1,,2019-10-11T19:19:50.351+03:00,GET,http://dontevenreply.com/globalnew.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,400,453,,,6,181,-1,-1,2,-1,-1,64.22.68.51,,190,,
2,,2019-10-11T19:19:50.364+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,536,28231,,,1,161,3,-1,55,23,0,172.217.23.130,,246,,
3,,2019-10-11T19:19:50.365+03:00,GET,http://dontevenreply.com/images/toc.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,357,37918,,,1,283,3,-1,173,22,0,64.22.68.51,,484,,
4,,2019-10-11T19:19:50.366+03:00,GET,http://www.lijit.com/wijitinit?uri=http%3A%2F%2Fwww.lijit.com%2Fusers%2Fdontevenreply&js=1,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/json,,,158,-1,,,2,481,136,-1,117,35,0,13.248.132.126,,773,value,
5,,2019-10-11T19:19:50.368+03:00,GET,http://dontevenreply.com/images/troubleshoot.gif,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,image/gif,,,357,57143,,,1,282,1,-1,359,29,0,64.22.68.51,,674,,
6,,2019-10-11T19:19:50.369+03:00,GET,http://dontevenreply.com/images/asmsmall2.png,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,image/png,,,356,4324,,,1,285,1,-1,4,21,0,64.22.68.51,,313,,
7,,2019-10-11T19:19:50.369+03:00,GET,http://dontevenreply.com/images/original_hedge_ad.gif,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,image/gif,,,359,101036,,,1,292,0,-1,420,29,0,64.22.68.51,,743,,
8,,2019-10-11T19:19:50.374+03:00,GET,http://dontevenreply.com/images/shovelad.gif,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,image/gif,,,358,99997,,,1,287,0,-1,344,24,0,64.22.68.51,,658,,
9,,2019-10-11T19:19:50.552+03:00,GET,http://dontevenreply.com/book.JPG,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,image/jpeg,,,320,10074,,,1,170,-1,-1,1,-1,-1,64.22.68.51,,173,,
10,,2019-10-11T19:19:54.610+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,2,116,0,3816,2,3847,0,172.217.23.130,,3968,value,
11,,2019-10-11T19:19:55.694+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,1,113,32,4857,0,4888,0,172.217.22.98,,5035,value,
12,,2019-10-11T19:19:55.894+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,1,108,34,5075,3,5108,0,172.217.22.98,,5256,,
13,,2019-10-11T19:19:59.359+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,134,0,8566,134,8597,0,172.217.23.130,,8866,,
14,,2019-10-11T19:19:59.644+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,105,-1,-1,47,-1,-1,172.217.23.130,,153,,
