,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,facebook,2019-10-12T15:46:07.411+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,251,0,83,114,0,212,0,31.13.92.14,,450,
11,facebook,2019-10-12T15:46:07.564+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,4796,0,0,128,1,4768,0,31.13.92.36,,4927,
12,facebook,2019-10-12T15:46:07.616+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,174,0,129,103,1,138,0,31.13.92.14,,408,
13,facebook,2019-10-12T15:46:07.617+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,174,0,16,94,0,138,0,31.13.92.14,,286,
14,facebook,2019-10-12T15:46:07.617+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,-1,-1,0,110,0,-1,-1,31.13.92.14,,111,
15,facebook,2019-10-12T15:46:07.627+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,60,123,6,-1,-1,31.13.92.14,,190,value
16,facebook,2019-10-12T15:46:07.627+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,139,113,5,-1,-1,31.13.92.14,,258,value
17,facebook,2019-10-12T15:46:07.633+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/H2indV4tLkk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30462,,,-1,-1,55,97,0,-1,-1,31.13.92.14,,154,value
18,facebook,2019-10-12T15:46:07.635+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,-1,-1,107,118,0,-1,-1,31.13.92.14,,227,value
19,facebook,2019-10-12T15:46:07.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,188,0,39,108,0,151,0,31.13.92.14,,337,
20,facebook,2019-10-12T15:46:07.981+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,15,154,0,-1,-1,31.13.92.14,,170,value
21,facebook,2019-10-12T15:46:07.981+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,1,151,0,-1,-1,31.13.92.14,,153,value
22,facebook,2019-10-12T15:46:07.982+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,-1,-1,19,132,0,-1,-1,31.13.92.14,,152,value
23,facebook,2019-10-12T15:46:07.983+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yU/l/he_IL/4A_AIRvK6i6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35402,,,-1,-1,83,104,0,-1,-1,31.13.92.14,,188,value
24,facebook,2019-10-12T15:46:07.985+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yd/l/he_IL/IdNhFImyk-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27563,,,-1,-1,60,107,0,-1,-1,31.13.92.14,,168,value
25,facebook,2019-10-12T15:46:07.985+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,-1,-1,8,153,0,-1,-1,31.13.92.14,,162,value
26,facebook,2019-10-12T15:46:08.158+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y1/l/he_IL/qH31EnYY7Iq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191593,,,-1,-1,103,122,0,-1,-1,31.13.92.14,,227,value
27,facebook,2019-10-12T15:46:08.174+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,-1,-1,9,103,0,-1,-1,31.13.92.14,,114,value
28,facebook,2019-10-12T15:46:08.174+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yL/l/he_IL/g7vSSzA2nKh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34121,,,-1,-1,40,108,0,-1,-1,31.13.92.14,,149,value
29,facebook,2019-10-12T15:46:08.174+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yH/l/he_IL/RPBHgYyeirq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14341,,,-1,-1,13,130,0,-1,-1,31.13.92.14,,144,value
30,facebook,2019-10-12T15:46:08.174+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yF/l/he_IL/XJKDMvfVahn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31895,,,-1,-1,16,142,0,-1,-1,31.13.92.14,,158,value
31,facebook,2019-10-12T15:46:08.174+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/XT3rtN-i0ND.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5273,,,-1,-1,8,116,0,-1,-1,31.13.92.14,,125,value
32,facebook,2019-10-12T15:46:08.191+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,152,0,-1,-1,31.13.92.36,,153,
33,facebook,2019-10-12T15:46:08.314+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,3,96,0,-1,-1,31.13.92.14,,99,value
34,facebook,2019-10-12T15:46:08.330+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,-1,-1,6,100,0,-1,-1,31.13.92.14,,107,value
35,facebook,2019-10-12T15:46:08.346+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,-1,-1,2,98,0,-1,-1,31.13.92.14,,101,value
36,facebook,2019-10-12T15:46:08.510+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,107,0,-1,-1,31.13.92.14,,108,
