,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:32:04.007+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25694,,,0,4019,10,1,536,3972,3,52.52.116.70,,4571,
1,,2019-10-09T18:32:06.177+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,0,1577,60,0,112,1545,1,93.184.220.20,,1753,
2,,2019-10-09T18:32:06.178+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,0,1579,1132,0,108,1547,0,93.184.220.20,,2820,
3,,2019-10-09T18:32:06.180+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,0,1583,160,0,110,1560,0,93.184.220.20,,1856,
4,,2019-10-09T18:32:06.186+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,0,1590,510,0,105,1555,0,93.184.220.20,,2207,
5,,2019-10-09T18:32:06.191+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,0,1595,224,0,103,1560,0,93.184.220.20,,1924,
6,,2019-10-09T18:32:06.196+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v3_common.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript,,,508,212381,,,0,1600,1232,0,98,1565,0,93.184.220.20,,2933,
7,,2019-10-09T18:32:06.354+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/music_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,9419,,,-1,-1,245,-1,93,-1,0,93.184.220.20,,339,
8,,2019-10-09T18:32:06.457+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/video_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,503,629,,,-1,-1,0,-1,87,-1,0,93.184.220.20,,88,
9,,2019-10-09T18:32:06.525+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/http_public_production/homepage_tiles/images/529/original/resize:800x400/crop:x0y0w800h400/hash:1560795812/opps2x1.jpg?1560795812,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/jpeg,,,357,24458,,,-1,-1,855,-1,89,-1,0,93.184.220.20,,945,value
