,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:22:54.208+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2018/10/laughing-face.png,HTTP/1.1,992,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,33,0,-1,1,0,104.24.17.117,,35,
1,,2019-10-09T16:22:54.215+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/wpfront-scroll-top/images/icons/1.png,HTTP/1.1,1004,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,27,0,-1,0,0,104.24.17.117,,27,
2,,2019-10-09T16:22:54.218+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/images/feed-title-white.jpg,HTTP/1.1,1045,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,29,0,-1,0,0,104.24.17.117,,29,
3,,2019-10-09T16:22:54.220+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2018/08/arrow.png,HTTP/1.1,1020,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,29,0,-1,0,0,104.24.17.117,,29,
4,,2019-10-09T16:22:54.222+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/cudazi-scroll-to-top/images/scroll.png,HTTP/1.1,1096,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,26,0,-1,0,0,104.24.17.117,,26,
5,,2019-10-09T16:22:54.225+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/thickbox/loadingAnimation.gif,HTTP/1.1,992,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,0,23,0,-1,0,0,104.24.17.117,,24,
6,,2019-10-09T16:22:54.257+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1010,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49115,,,,289,0,22,4401,-1,0,0,104.24.17.117,,4714,
7,,2019-10-09T16:22:58.710+03:00,POST,https://csi.gstatic.com/csi?v=2&s=pagead&action=csi_pagead&puid=1~k1jaz6se&c=861779346613&e=21064714%2C21060078&ctx=1&uet=2&met.1=24.qma,HTTP/1.1,569,0,,204,No Content,HTTP/1.1,0,image/gif,,,440,0,,,,0,-1,-1,187,-1,1,-1,173.194.219.94,,189,value
8,,2019-10-09T16:22:58.742+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstEYNOhOEdcYCbBL_td41lmumOFGOVMSFPqj0XCtT4ZcbawK9wPpP3Zz_bxT8wjtrYSyqA1SWN1FcoLc-ZL8LUqh_z9R3j32lCxx4G6Ua1ET-d5TwI&sai=AMfl-YS5cFM6eTVbbtm_qMR72y2SqxRypnedNCiVIjt2DBHSieqULhwSr9P2-ZdNYRPYucP7huY3R8EL93bs&sig=Cg0ArKJSzJXcJwmNOvNdEAE&adk=2057880241&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=9209,428,9409,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=29&niot_cbk=107&md=2&lm=2&rst=1570627359342&dlt=326&rpt=4178&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46842&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-278-140-35-576-138-0-0-0&tvt=15310&r=u&id=osdtos&vs=3&uc=138&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191007",HTTP/1.1,2001,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,102,-1,0,-1,216.58.210.2,,104,value
9,,2019-10-09T16:22:58.813+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,964,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,,8,0,27,4338,-1,0,0,104.24.17.117,,4374,
10,,2019-10-09T16:22:58.850+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsv3gPilzCyxjFeIZ3CIcHwmF6qycOKtaoyW-PTsQW_sdGNng7CfT23tgr6kQpPwwRlsnsFNJIvyWJMkgG4U9kIP7XWPbTteWtyXp6s6M6ftrVFyGMM&sai=AMfl-YSz06NI_XVkNJOjcMUo6h-KvJEGmXPGW7iQvFvvPv40lVDTViByE3O7XyeC1wJ-Hq-UZPA1jfrNwoUq&sig=Cg0ArKJSzAtYIZ0aBR2vEAE&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=29&niot_cbk=107&md=2&lm=2&rst=1570627359547&dlt=3563&rpt=11533&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46842&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-278-140-35-576-138-0-0-0&tvt=15310&r=u&id=osdtos&vs=3&uc=70&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=22&v=20191007",HTTP/1.1,1974,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,91,-1,0,-1,216.58.210.2,,92,value
11,,2019-10-09T16:22:58.877+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,555,18855,,,,1,-1,-1,135,-1,0,-1,13.224.132.115,,137,
12,,2019-10-09T16:22:58.877+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,,30,-1,-1,114,-1,0,-1,172.217.22.110,,145,
13,,2019-10-09T16:22:58.885+03:00,GET,https://www.dwin2.com/init.js?t=1570627378881,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,488,100,,,,0,-1,-1,107,-1,0,-1,151.101.18.110,,108,value
14,,2019-10-09T16:22:58.901+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstejlVqskqKHUMg0gq9IZQ1b7SUl7JmM_KhphGUQ6OWxH25fJqu4kZISXQW-DON_eBWsrw_zb2sNpUw2RN8NPinDdyg7Uu_LGzY2DdOZ5_6StcUp_Q&sai=AMfl-YQkmjKRAdZ3tvnvnCiXsCviV-l6MGW_0yWwQSwA2Y3pIg7VoidV08vxxAhjZpko-tF4OH1h-IAyIcTS&sig=Cg0ArKJSzAo13f_mnIYlEAE&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=29&niot_cbk=108&md=2&lm=2&rst=1570627359601&dlt=3521&rpt=11224&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C46842&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-278-140-35-576-138-0-0-0&tvt=15310&r=u&id=osdtos&vs=3&uc=72&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=4&v=20191007",HTTP/1.1,1987,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,0,145,107,115,0,0,216.58.210.2,,254,value
