,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:13:11.105+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4820,,,1293,24,0,292,2,1,1240,104.18.72.2,,1614,,
1,,2019-10-09T17:13:11.464+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,6,-1,118,2,-1,-1,104.18.72.2,,126,value,
2,,2019-10-09T17:13:11.601+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,6,-1,103,1,-1,-1,104.18.72.2,,111,,
3,,2019-10-09T17:13:11.729+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,107,-1,102,0,-1,-1,104.18.72.2,,210,value,
4,,2019-10-09T17:13:12.805+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20607,,,1184,44,0,256,0,1,1157,172.217.23.110,,1486,,
5,,2019-10-09T17:13:13.110+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,59,-1,88,0,-1,-1,172.217.23.110,,149,,
6,,2019-10-09T17:13:13.239+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflkOdfq9/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,148,81,0,81,0,0,114,172.217.23.110,,312,,
7,,2019-10-09T17:13:13.241+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393160,,,148,347,0,87,0,0,117,172.217.23.110,,584,,
8,,2019-10-09T17:13:13.854+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,29994,,,-1,13,-1,90,0,-1,-1,172.217.23.110,,105,,
9,,2019-10-09T17:13:16.024+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,4552,77,0,104,0,1,4513,172.217.22.34,,4735,,
10,,2019-10-09T17:13:18.557+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,4742,2,0,105,1,0,4720,172.217.21.228,,4852,,
11,,2019-10-09T17:13:18.644+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,4645,26,0,89,0,0,4620,172.217.22.3,,4762,,
12,,2019-10-09T17:13:19.556+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,7927,42,0,87,1,0,7894,216.58.206.14,,8059,,
13,,2019-10-09T17:13:19.728+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=738561978&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=1514632716&gjid=396711364&cid=235120890.1570630400&tid=UA-26211653-1&_gid=2129704179.1570630400&_r=1&z=596883454,HTTP/1.1,712,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=235120890.1570630400&jid=1514632716&_gid=2129704179.1570630400&gjid=396711364&_v=j79&z=596883454,644,417,,,-1,0,-1,93,0,-1,-1,216.58.206.14,,94,value,
14,,2019-10-09T17:13:19.908+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,6101,2,0,106,1,0,6075,216.58.206.2,,6212,,
15,,2019-10-09T17:13:19.940+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,3644,1,0,105,1,0,3616,172.217.23.162,,3753,value,
16,,2019-10-09T17:13:20.513+03:00,GET,https://www.youtube.com/generate_204?JRLuaA,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,107,0,-1,-1,172.217.23.110,,108,value,
17,,2019-10-09T17:13:20.602+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,4276,0,0,113,1,0,4253,172.217.23.162,,4393,value,
18,,2019-10-09T17:13:21.873+03:00,GET,https://yt3.ggpht.com/-3S_ingbAD6c/AAAAAAAAAAI/AAAAAAAAAAA/5VWHXs6ewR0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,575,1649,,,2350,0,0,92,0,57,2321,216.58.210.1,,2502,,
19,,2019-10-09T17:13:22.312+03:00,GET,https://i.ytimg.com/vi/daw9GoZWWSI/default.jpg,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,4111,,,8400,1,0,98,0,0,8384,172.217.22.54,,8502,,
20,,2019-10-09T17:13:23.912+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,995,3046,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,-1,0,-1,101,1,-1,-1,172.217.23.110,,103,value,
21,,2019-10-09T17:13:23.965+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=235120890.1570630400&jid=1514632716&_gid=2129704179.1570630400&gjid=396711364&_v=j79&z=596883454,HTTP/1.1,536,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,2170,0,0,104,0,0,2117,74.125.140.155,,2276,value,
22,,2019-10-09T17:13:27.531+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,85,-1,130,0,-1,-1,172.217.22.34,,216,,
23,,2019-10-09T17:13:27.575+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,11582,1,0,90,0,0,11543,216.58.206.6,,11676,,
24,,2019-10-09T17:13:27.753+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,58,-1,113,0,-1,-1,172.217.22.34,,172,,
25,,2019-10-09T17:13:27.979+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570630407&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&adsid=NT&dt=1570630396256&bpp=25&bdt=4817&fdt=11695&idt=11695&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=4596960536248&frm=20&pv=2&ga_vid=235120890.1570630400&ga_sid=1570630408&ga_hid=738561978&ga_fc=0&iag=0&icsg=170&dssz=9&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=332260031%2C332260041&oid=3&pvsid=2781443229444311&pem=856&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=1.shzilnlj389a&xpc=BlsGo69HYi&p=https%3A//pokemonshowdown.com&dtd=11718,HTTP/1.1,1426,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19520,,,-1,31,-1,322,0,-1,-1,216.58.206.2,,355,value,
26,,2019-10-09T17:13:28.008+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=9252930937&adk=3933521251&adf=2668242184&w=336&lmt=1570630407&guci=2.2.0.0.2.2.0.0&format=336x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&wgl=1&adsid=NT&dt=1570630396282&bpp=52&bdt=4842&fdt=11712&idt=11712&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280&correlator=4596960536248&frm=20&pv=1&ga_vid=235120890.1570630400&ga_sid=1570630408&ga_hid=738561978&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=342&ady=1126&biw=779&bih=600&scr_x=0&scr_y=0&eid=332260031%2C332260041&oid=3&pvsid=2781443229444311&pem=856&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeEbr%7C&abl=CS&pfx=0&fu=16&bc=31&ifi=2&uci=2.dgc4npeymqkw&xpc=pQnQVdiBh5&p=https%3A//pokemonshowdown.com&dtd=11720,HTTP/1.1,1401,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,169,1,0,250,1,0,124,216.58.206.2,,423,value,
27,,2019-10-09T17:13:28.178+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&adk=1812271804&adf=3025194257&lmt=1570630408&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Fpokemonshowdown.com%2F&ea=0&flash=0&pra=7&wgl=1&adsid=NT&dt=1570630396334&bpp=8&bdt=4894&fdt=11678&idt=11678&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280%2C336x280&nras=1&correlator=4596960536248&frm=20&pv=1&ga_vid=235120890.1570630400&ga_sid=1570630408&ga_hid=738561978&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=332260031%2C332260041&oid=3&pvsid=2781443229444311&pem=856&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=2&uci=2.7lt612i1xht6&dtd=11685,HTTP/1.1,1416,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,151,1,0,109,1,0,122,216.58.206.2,,264,value,
