,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time
0,,2019-10-09T16:12:16.676+03:00,GET,http://hubski.com/,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,256,11619,,,26,0,57,12,-1,247,103,162.243.169.82,,448
1,,2019-10-09T16:12:17.177+03:00,GET,http://hubski.com/5-11-dark.css,HTTP/1.1,323,0,,200,OK,HTTP/1.1,0,text/css,,,222,23790,,,130,-1,-1,5,-1,177,-1,162.243.169.82,,314
2,,2019-10-09T16:12:17.184+03:00,GET,http://hubski.com/jquery.min.js,HTTP/1.1,308,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,382,93637,,,384,0,34,1,-1,268,2,162.243.169.82,,690
3,,2019-10-09T16:12:17.185+03:00,GET,http://hubski.com/colorbox_intro.js,HTTP/1.1,312,0,,200,OK,HTTP/1.1,0,text/javascript,,,229,26128,,,124,0,34,1,-1,255,1,162.243.169.82,,417
4,,2019-10-09T16:12:17.186+03:00,GET,http://hubski.com/jquery.sparklines.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,381,43247,,,251,0,34,1,-1,260,0,162.243.169.82,,548
5,,2019-10-09T16:12:19.687+03:00,GET,https://npmcdn.com/hubski-markdown@1.0.2,HTTP/1.1,350,0,,302,Found,HTTP/1.1,0,text/plain; charset=utf-8,,/hubski-markdown@1.0.2/lib/index.js,833,57,,,2,0,2404,1,2375,95,55,104.25.57.32,,2559
6,,2019-10-09T16:12:19.798+03:00,GET,https://npmcdn.com/hubski-markdown@1.0.2/lib/index.js,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,761,31909,,,193,-1,-1,1,-1,186,-1,104.25.57.32,,381
7,,2019-10-09T16:12:20.292+03:00,GET,http://hubski.com/font/SourceSansPro-Semibold.otf.woff,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,378,74996,,,259,-1,-1,0,-1,178,-1,162.243.169.82,,438
8,,2019-10-09T16:12:20.376+03:00,GET,http://hubski.com/font/SourceSansPro-Regular.otf.woff,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,378,75420,,,262,-1,-1,0,-1,163,-1,162.243.169.82,,427
9,,2019-10-09T16:12:20.376+03:00,GET,http://hubski.com/font/OpenSans-Semibold.ttf,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,367,221328,,,516,-1,-1,0,-1,167,-1,162.243.169.82,,684
