,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:33:36.061+03:00,POST,https://c.pub.network/c,HTTP/1.1,539,1908,,200,OK,HTTP/1.1,0,text/plain;charset=utf-8,,,301,36,,,0,-1,186,-1,-1,-1,0,35.226.36.58,,187,,
1,,2019-10-09T17:33:36.374+03:00,GET,https://ib.adnxs.com/jpt?id=11320360&size=728x90&referrer=https%3A%2F%2Fwww.sporcle.com%2F&prod=ISP&psa=0&pf=105&cc=154&ivt=14&iva=51&ivb=33&ivc=23&ivd=9&ive=2&ivp=82&osr=93&callback=_tynt_jp.ahfflfwb5,HTTP/1.1,742,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,811,0,,,0,-1,108,-1,-1,-1,0,37.252.173.22,,109,value,
2,,2019-10-09T17:33:36.444+03:00,GET,https://ib.adnxs.com/jpt?id=14988416&size=728x90&referrer=https%3A%2F%2Fwww.sporcle.com%2F&prod=ISP&psa=0&pf=50&cc=154&ivt=14&iva=51&ivb=33&ivc=23&ivd=9&ive=2&ivp=82&osr=93&callback=_tynt_jp.a5bz9zyr6,HTTP/1.1,741,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,811,0,,,0,203,130,0,0,240,0,37.252.173.22,,372,value,
3,,2019-10-09T17:33:36.451+03:00,GET,https://www.sporcle.com/,HTTP/1.1,1713,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,18651,,,0,358,367,0,0,381,6,13.225.249.58,,755,,
4,,2019-10-09T17:33:36.453+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570631586051%2C%22tag%22%3A8418%2C%22init1request%22%3A8724%2C%22init1%22%3A9382%7D&mode=0&websiteid=2490&visitid=1570632431603222&deviceid=7784421390967686869&pageviewid=7&sequenceid=84&clienttimestamp=1570631616062&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,935,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,0,360,195,0,0,387,0,35.190.62.200,,584,value,
5,,2019-10-09T17:33:36.490+03:00,GET,https://ib.adnxs.com/jpt?id=11320366&size=728x90&referrer=https%3A%2F%2Fwww.sporcle.com%2F&prod=ISP&psa=0&pf=35&cc=154&ivt=14&iva=51&ivb=33&ivc=23&ivd=9&ive=2&ivp=82&osr=93&callback=_tynt_jp.aflouzcgs,HTTP/1.1,741,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,811,0,,,1,-1,104,-1,-1,-1,0,37.252.173.22,,106,value,
6,,2019-10-09T17:33:36.765+03:00,GET,https://adserver-us.adtech.advertising.com/pubapi/3.0/9993.1/3581156/0/0/;noperf=1;alias=dv3.u.em-.yir5l.q.macwqm_6l_ISP_desktop_INTL_728x90_tier1;cmd=bid;cors=yes;bidfloor=1.31;v=2;,HTTP/1.1,630,0,,0,,unknown,0,,,,-1,-1,,,0,351,0,0,0,385,0,152.199.21.89,,386,,No response received
7,,2019-10-09T17:33:36.766+03:00,GET,https://adserver-us.adtech.advertising.com/pubapi/3.0/9993.1/3581156/0/0/;noperf=1;alias=dv3.u.em-.yir5l.q.macwqm_6l_ISP_desktop_INTL_728x90_tier2;cmd=bid;cors=yes;bidfloor=0.65;v=2;,HTTP/1.1,630,0,,0,,unknown,0,,,,-1,-1,,,0,351,0,0,0,385,0,152.199.21.89,,386,,No response received
8,,2019-10-09T17:33:36.768+03:00,GET,https://adserver-us.adtech.advertising.com/pubapi/3.0/9993.1/3581156/0/0/;noperf=1;alias=dv3.u.em-.yir5l.q.macwqm_6l_ISP_desktop_INTL_728x90_tier3;cmd=bid;cors=yes;bidfloor=0.43;v=2;,HTTP/1.1,630,0,,0,,unknown,0,,,,-1,-1,,,0,355,0,0,0,389,0,152.199.21.89,,390,,No response received
9,,2019-10-09T17:33:36.778+03:00,GET,https://33across-d.openx.net/w/1.0/jstag?nc=17118521-33Across,HTTP/1.1,580,0,,0,,unknown,0,,,,-1,-1,,,0,313,0,0,0,346,0,34.95.120.147,,347,value,No response received
