,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:50:51.862+03:00,GET,https://www.care2.com/,HTTP/1.1,931,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,392,20579,,,0,500,510,0,562,0,192,8.47.77.87,,1255,,
1,,2019-10-09T18:50:52.389+03:00,GET,https://dingo.care2.com/assets/css/main.css?1570466983,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,380,6964,,,-1,99,-1,0,-1,-1,2,93.184.220.187,,102,value,
2,,2019-10-09T18:50:52.390+03:00,GET,https://dingo.care2.com/assets/css/home_page.css?1570466983,HTTP/1.1,580,0,,200,OK,HTTP/1.1,0,text/css,,,381,7527,,,-1,101,-1,0,-1,-1,3,93.184.220.187,,105,value,
3,,2019-10-09T18:50:52.695+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,537,28700,,,-1,83,-1,0,-1,-1,36,192.229.233.25,,120,,
4,,2019-10-09T18:50:52.906+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,90,-1,0,-1,-1,23,216.58.206.14,,114,,
5,,2019-10-09T18:50:52.916+03:00,GET,https://a22866392.cdn.optimizely.com/client_storage/a22866392.html,HTTP/1.1,533,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,795,786,,,0,100,193,0,225,0,0,23.42.195.80,,326,,
6,,2019-10-09T18:50:53.081+03:00,GET,https://static.chartbeat.com/js/chartbeat.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,14123,,,-1,87,-1,0,-1,-1,6,13.226.0.210,,94,,
7,,2019-10-09T18:50:53.105+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany.js?version=0.1.149,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,2145,480,,,43,186,6340,0,6361,0,1,13.107.42.14,,6593,value,
8,,2019-10-09T18:50:53.126+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.care2.com,HTTP/1.1,609,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,93,-1,0,-1,-1,1,192.229.233.25,,95,value,
9,,2019-10-09T18:50:53.147+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1617869921&t=pageview&_s=1&dl=https%3A%2F%2Fwww.care2.com%2F&ul=en-us&de=UTF-8&dt=Care2%20is%20the%20world%27s%20largest%20social%20network%20for%20good%2C%20a%20community%20of%20over%2040%20million%20people%20standing%20together%2C%20starting%20petitions%20and%20sharing%20stories%20that%20inspire%20action.&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=ACCAgAAB~&jid=&gjid=&cid=1168729416.1570636238&tid=UA-7779329-1&_gid=1949165774.1570636238&z=1048677110,HTTP/1.1,856,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,-1,91,-1,0,-1,-1,0,216.58.206.14,,92,value,
10,,2019-10-09T18:50:53.202+03:00,GET,https://ping.chartbeat.net/ping?h=care2.com&p=%2F&u=D10-7LBAlrtNDXELSZ&d=care2.com&g=62058&g0=No%20Section&g1=No%20Author&n=1&f=00001&c=0&x=0&m=0&y=4092&o=779&w=600&j=45&R=1&W=0&I=0&E=0&e=0&r=&b=1906&t=CTffL4Bxk_VU2drsSBhu0bpD90eTh&V=116&z=t%3DDrpF79BEvuy0Dq7TcV4VptXCsnR5U%26E%3D5%26x%3D0%26c%3D0.24%26y%3D4099%26w%3D600&i=Care2%20is%20the%20world%27s%20largest%20social%20network%20for%20good%2C%20a%20community%20of%20over%2040%20million%20people%20standing&tz=-180&sn=1&sv=BzscSWC8DBoEBvAJtCCtnF5vubHDY&sd=2&im=066bff73&_,HTTP/1.1,875,0,,200,OK,HTTP/1.1,0,image/gif,,,209,43,,,-1,168,-1,0,-1,-1,0,54.236.189.24,,169,value,
11,,2019-10-09T18:50:53.230+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,-1,201,-1,0,-1,-1,0,104.244.42.136,,203,,
12,,2019-10-09T18:50:53.237+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,88,-1,0,-1,-1,3,192.229.233.25,,93,,
13,,2019-10-09T18:50:53.318+03:00,POST,https://www.care2.com/servlets/user_login.php,HTTP/1.1,1086,182,,200,OK,HTTP/1.1,0,application/json,,,635,211,,,0,264,411,1,437,0,3,8.47.77.87,,707,,
14,,2019-10-09T18:50:53.337+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany?id=27726&counter=right&xdOrigin=https%3A%2F%2Fwww.care2.com&xdChannel=6ef83a82-b5a0-44a1-9848-8d5a42ac1bf7&xd_origin_host=https%3A%2F%2Fwww.care2.com,HTTP/1.1,941,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,13.107.42.14,,0,value,No response received
