,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:37:21.093+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,429,2122,,,0,1503,20,1465,2,139,109,167.99.137.12,,1776,
1,,2019-10-09T18:37:21.259+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,-1,1,-1,1,-1,115,167.99.137.12,,118,
2,,2019-10-09T18:37:21.389+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,450,1246,,,-1,-1,5,-1,2,-1,115,167.99.137.12,,123,value
3,,2019-10-09T18:37:21.502+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,127,,,0,232,2,190,1,0,113,167.99.137.12,,349,
4,,2019-10-09T18:37:22.888+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,0,1527,19,1494,0,88,121,104.24.108.21,,1757,
5,,2019-10-09T18:37:23.509+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,0,2195,75,2162,0,41,124,172.217.16.130,,2436,
6,,2019-10-09T18:37:24.709+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,0,3440,2,3399,0,0,112,172.217.23.138,,3557,value
7,,2019-10-09T18:37:24.709+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,3440,2,3399,1,0,109,172.217.23.138,,3554,value
8,,2019-10-09T18:37:25.044+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl_fy2019.js?cache=bust,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,82271,,,-1,-1,100,-1,2,-1,127,172.217.16.130,,230,value
9,,2019-10-09T18:37:27.741+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,2684,1,2654,1,32,112,172.217.22.98,,2831,value
