,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-09T17:50:42.647+03:00,GET,https://events.bouncex.net/track.gif/bid_cancel?partner=pbm&partner_site_id=251613&deployment=overlay&requested_ad_units=970x250&request_timestamp=1570632641294&price=NA&deal_id=NA&auction_number=1&ad_unit_id=23&source=ads&campaignid=943846&agent=user&mode=0&websiteid=2490&visitid=1570633483237749&deviceid=5189034077576338607&pageviewid=4&sequenceid=44&clienttimestamp=1570632642638&clientapiversion=tag3&device=d,HTTP/1.1,value,767,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,197,-1,-1,0,-1,0,-1,35.190.62.200,,198,
1,,2019-10-09T17:50:42.649+03:00,GET,https://events.bouncex.net/track.gif/bid_cancel?partner=index&partner_site_id=203905&request_number=1&deployment=endcap&requested_ad_units=900x550&request_timestamp=1570632642420&deal_id=NA&price=NA&campaignid=777740&source=bouncex&agent=user&mode=0&websiteid=2490&visitid=1570633483237749&deviceid=5189034077576338607&pageviewid=4&sequenceid=45&clienttimestamp=1570632642640&clientapiversion=tag3&device=d,HTTP/1.1,value,758,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,197,-1,-1,0,-1,0,-1,35.190.62.200,,197,
2,,2019-10-09T17:50:42.660+03:00,GET,https://events.bouncex.net/track.gif/bid_cancel?partner=index&partner_site_id=203905&request_number=1&deployment=endcap&requested_ad_units=970x250&request_timestamp=1570632642419&deal_id=NA&price=NA&campaignid=777744&source=bouncex&agent=user&mode=0&websiteid=2490&visitid=1570633483237749&deviceid=5189034077576338607&pageviewid=4&sequenceid=46&clienttimestamp=1570632642651&clientapiversion=tag3&device=d,HTTP/1.1,value,758,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,194,225,0,0,250,0,0,35.190.62.200,,446,
3,,2019-10-09T17:50:42.696+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570632612725%2C%22tag%22%3A27201%2C%22init1request%22%3A27552%2C%22init1%22%3A28473%7D&mode=0&websiteid=2490&visitid=1570633483237749&deviceid=5189034077576338607&pageviewid=4&sequenceid=47&clienttimestamp=1570632642693&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,value,938,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,193,264,0,0,283,0,0,35.190.62.200,,477,
4,,2019-10-09T17:50:42.847+03:00,GET,https://secure-assets.rubiconproject.com/utils/xapi/multi-sync.html?region=eu&endpoint=eu&p=a9eu&,HTTP/1.1,value,1259,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,416,2842,,,87,177,0,0,202,0,0,2.16.20.236,,290,
5,,2019-10-09T17:50:42.876+03:00,GET,https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=1649375879924409&correlator=3821628470941865&output=ldjh&impl=fifs&adsid=NT&vrg=2019100301&guci=2.2.0.0.2.2.0.0&plat=1%3A67108864%2C2%3A67108864%2C8%3A67108864&sc=1&sfv=1-0-35&ecs=20191009&iu_parts=15184186%2Csporcle_728x90_ATF&enc_prev_ius=%2F0%2F1&prev_iu_szs=728x90&rcs=1&prev_scp=amznbid%3D2%26amznp%3D2&eri=1&cust_params=user-agent%3DChrome%2520Headless%26PageType%3D14%26ul%3D0&cookie=ID%3Dd9dc3ac81db83b58%3AT%3D1570633511%3AS%3DALNI_MZ4R8y0XvuxL511q3Ahbb13SdYLdA&bc=31&abxe=1&lmt=1570632642&dt=1570632642658&dlt=1570632621718&idt=3971&frm=20&biw=793&bih=579&oid=3&adxs=33&adys=5&adks=3241475122&ucis=9&ifi=6&u_tz=180&u_his=3&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.sporcle.com%2F&dssz=65&icsg=180476772144&mso=32&std=0&vis=1&dmc=8&scr_x=0&scr_y=0&psz=728x106&msz=728x90&psts=CigI9biu-BHoAZ_z6YCDBIICDfrd4Qby3uEG-eut_lDRAuYBqmsdxOfV%2CCigI9biu-BHoAZDz6YCDBIICDfrd4Qby3uEGy9Od_lDRAuMzmXE-yqvp%2CCigI9biu-BHoAeny6YCDBIICDfrd4Qby3uEGk9qd_lDRAtM-hRHEb3K_&ga_vid=1798716953.1570632415&ga_sid=1570632627&ga_hid=1392204327&fws=0&ohw=0,HTTP/1.1,value,1564,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,836,10973,,,294,162,0,0,189,41,0,216.58.207.34,,526,
6,,2019-10-09T17:50:43.075+03:00,GET,https://www.facebook.com/tr/?id=134240187179576&ev=Microdata&dl=https%3A%2F%2Fwww.sporcle.com%2F&rl=&if=false&ts=1570632643074&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Sporcle%20%E2%80%93%20World%E2%80%99s%20Largest%20Trivia%20Quiz%20Website%22%2C%22meta%3Adescription%22%3A%22Play%20thousands%20of%20free%20online%20trivia%20quiz%20games.%20There%20is%20a%20fun%20quiz%20about%20virtually%20every%20topic%20imaginable%3A%20Geography%2C%20History%2C%20Sports%2C%20Music%2C%20TV%20and%20more!%22%7D&cd[OpenGraph]=%7B%22og%3Atype%22%3A%22website%22%2C%22og%3Aurl%22%3A%22https%3A%2F%2Fwww.sporcle.com%22%2C%22og%3Atitle%22%3A%22Sporcle%20%E2%80%93%20World%E2%80%99s%20Largest%20Trivia%20Quiz%20Website%22%2C%22og%3Adescription%22%3A%22Play%20thousands%20of%20free%20online%20trivia%20quiz%20games.%20There%20is%20a%20fun%20quiz%20about%20virtually%20every%20topic%20imaginable%3A%20Geography%2C%20History%2C%20Sports%2C%20Music%2C%20TV%20and%20more!%22%2C%22og%3Aimage%22%3A%22https%3A%2F%2Fdnlzsmybcpo0z.cloudfront.net%2Fimages%2Fbig%2Fdefault.jpg%3Fv%3D10104%22%7D&cd[Schema.org]=%5B%5D&cd[JSON-LD]=%5B%7B%22%40context%22%3A%22http%3A%2F%2Fschema.org%22%2C%22%40type%22%3A%22Organization%22%2C%22url%22%3A%22https%3A%2F%2Fwww.sporcle.com%22%2C%22logo%22%3A%22https%3A%2F%2Fwww.sporcle.com%2Fimages%2Flogo.png%22%2C%22potentialAction%22%3A%7B%22%40type%22%3A%22SearchAction%22%2C%22target%22%3A%22https%3A%2F%2Fwww.sporcle.com%2Fsearch%2F%3Fs%3D%7Bsearch_term_string%7D%22%2C%22query-input%22%3A%22required%20name%3Dsearch_term_string%22%7D%2C%22sameAs%22%3A%5B%22https%3A%2F%2Fwww.facebook.com%2FSporcle%22%2C%22https%3A%2F%2Fwww.twitter.com%2Fsporcle%22%2C%22https%3A%2F%2Fwww.youtube.com%2Fc%2Fsporcle%22%2C%22https%3A%2F%2Fplus.google.com%2F%2Bsporcle%2F%22%5D%7D%5D&sw=800&sh=600&v=2.9.4&r=stable&ec=2&o=158&fbp=fb.1.1570632609910.402095930&it=1570632637090&coo=false&es=automatic&rqm=GET,HTTP/1.1,value,2305,0,,200,OK,HTTP/1.1,0,image/gif,,,367,44,,,124,178,0,0,201,0,0,157.240.1.35,,328,
7,,2019-10-09T17:50:43.239+03:00,GET,https://securepubads.g.doubleclick.net/pagead/adview?ai=CppNO1vedXbmuK4nUgAfTn5ugCLDKuZBYwbbj3ocKg-W03KoJEAEg-72bGmD5uvSDnBCgAY6i8tcCyAEBqQKoY5VuYSmTPuACAKgDAcgDCqoExAFP0DxeB5loZoW93MkeBq4jE8JsR6nm0zxN7tJXjV-mFDKovSnQp7eHUrUnEuNn_dtY-F0gZW1ik2IaxHnLhByFv4FbQP5yTGjkgXlzQ1U6HAVRHnsEI6N1vYJwtm5wzXmK1sQFq1DSsl-OAso7kJQBDE_YDGUK3gStqLqoGguM9PEf2QwqxuWtp8V7eg0Uk6HTsaIGkP4lWw-VSqpmW2CdSe59sH5XDg4IBY--K3bzqMbZP8wuouaeqRVYD39EzoFDvJp4wASu4a60lQLgBAGSBQQIBBgBkgUECAUYBIAH2t2NqAGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQ14QD0ggHCIBhEAEYHYAKA9gTDA&sigh=aAYWvjYKQnw&tpd=AGWhJmv7xUAxcGWNf6Quq9ufABdP6kAL2zvmyZ8yN59edb5k2Q,HTTP/1.1,value,1101,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,564,0,,,98,-1,-1,0,-1,0,-1,216.58.207.34,,98,
8,,2019-10-09T17:50:43.289+03:00,POST,https://c.pub.network/c,HTTP/1.1,,539,1960,,200,OK,HTTP/1.1,0,text/plain;charset=utf-8,,,301,36,,,201,611,0,0,640,0,0,35.226.36.58,,843,
9,,2019-10-09T17:50:43.488+03:00,GET,https://cdn.ampproject.org/rtv/011909241711100/amp4ads-v0.js,HTTP/1.1,,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,1331,70044,,,137,236,0,0,255,415,0,172.217.18.1,,809,
