,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,response._error
0,,2019-10-09T16:00:41.772+03:00,GET,http://www.shutupandtakemymoney.com/cart?wc-ajax=get_cart_totals,HTTP/1.1,value,1006,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,439,351,,,29,0,0,0,7411,-1,0,104.24.17.117,,7441,
1,,2019-10-09T16:00:42.113+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,,1010,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49055,,,26,0,290,0,10169,-1,0,104.24.17.117,,10487,
2,,2019-10-09T16:00:42.152+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/error_handler.js,HTTP/1.1,,1326,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,3377,,,6271,0,1,0,89,6244,0,172.217.16.129,,6364,
3,,2019-10-09T16:00:52.396+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,,964,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,-1,-1,3,0,9624,-1,-1,104.24.17.117,,9628,
4,,2019-10-09T16:00:52.536+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,-1,-1,1,0,140,-1,-1,13.224.132.115,,142,
5,,2019-10-09T16:00:52.538+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,-1,31,0,105,-1,-1,216.58.206.14,,136,
6,,2019-10-09T16:00:52.543+03:00,GET,https://www.dwin2.com/init.js?t=1570626052540,HTTP/1.1,value,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,492,100,,,-1,-1,0,0,99,-1,-1,151.101.18.110,,99,
7,,2019-10-09T16:00:52.548+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsuYP0_9lKd_DODm5VtvcEcfBfY3GiisR4n6odLgaRSkCUB8AJ1DVD5b-Ye-LhDY3dOyak-dJq5sfVjm3EZZPwN2aGYYUwkMB_zIK2yxpKlc31BoGFs&sai=AMfl-YQfVH03Z9UW1orGiYSPW4td7VN3dWK6b3LelPfShidW3EaVGE-Ap8o74ew8mgjBLYBC-nLdaKfIHleZ_gasJXXO6K_QFDCAUeQ&sig=Cg0ArKJSzANp076Wo6bBEAE&cid=CAASEuRotUHoLGruC2_ShipuPS8-nw&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=188&niot_cbk=329&md=2&lm=2&rst=1570626031305&dlt=764&rpt=543&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C44645&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-273-195-196-852-193-0-0-0&tvt=20417&r=u&id=osdtos&vs=3&uc=125&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=20&v=20191007",HTTP/1.1,value,2016,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,207,0,0,0,108,176,0,172.217.18.98,,316,
8,,2019-10-09T16:00:52.597+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/baby-mop-onesie-baby-clothing.jpg,HTTP/1.1,,1008,0,,200,OK,HTTP/1.1,0,image/jpeg,,,393,131598,,,53,0,3647,0,363,-1,0,104.24.17.117,,4065,
9,,2019-10-09T16:00:52.597+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/xbox-controller-coffee-table.jpg,HTTP/1.1,,1007,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,46393,,,53,0,829,1,358,-1,0,104.24.17.117,,1242,
