,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:02:59.793+03:00,GET,https://www.rainymood.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,523,3537,,,1667,7,0,89,5,412,1610,104.27.171.92,,2182,
1,,2019-10-09T16:03:00.247+03:00,GET,https://www.rainymood.com/i/icons/instagram/instagram-48a.png,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,image/png,,,482,749,,,-1,3,-1,-1,2,101,-1,104.27.171.92,,107,
2,,2019-10-09T16:03:00.357+03:00,GET,https://www.rainymood.com/i/icons/twitter/twitter-48a.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,482,689,,,-1,0,-1,-1,0,94,-1,104.27.171.92,,95,
3,,2019-10-09T16:03:00.419+03:00,GET,https://www.rainymood.com/css/marcellussc-regular-webfont.woff2,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,font/woff2,,,485,25072,,,157,36,0,0,1,98,113,104.27.171.92,,293,
4,,2019-10-09T16:03:00.423+03:00,GET,https://www.rainymood.com/i/b/75.jpg,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/jpeg,,,486,143621,,,161,136,0,0,1,114,127,104.27.171.92,,414,
5,,2019-10-09T16:03:00.439+03:00,GET,https://www.rainymood.com/i/icons/facebook/facebook-48a.png,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/png,,,482,561,,,177,0,0,0,1,94,118,104.27.171.92,,273,
6,,2019-10-09T16:03:00.439+03:00,GET,https://www.rainymood.com/i/badgeApple1.png,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/png,,,483,2247,,,176,1,0,0,1,94,118,104.27.171.92,,273,
7,,2019-10-09T16:03:00.439+03:00,GET,https://www.rainymood.com/i/badgeGooglePlay1.png,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,image/png,,,483,2627,,,177,1,0,0,0,93,118,104.27.171.92,,274,
8,,2019-10-09T16:03:00.457+03:00,GET,https://www.rainymood.com/appad/appad-poster1.jpg,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,56214,,,-1,101,-1,-1,0,93,-1,104.27.171.92,,196,
9,,2019-10-09T16:03:00.548+03:00,GET,https://www.rainymood.com/audio1110/0.m4a,HTTP/1.1,441,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,432,-1,,,-1,673,-1,-1,0,250,-1,104.27.171.92,,924,
10,,2019-10-09T16:03:01.730+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1465,34,0,0,1,92,1408,216.58.206.14,,1595,
11,,2019-10-09T16:03:01.890+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&aip=1&a=801265443&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rainymood.com%2F&ul=en-us&de=UTF-8&dt=Rainy%20Mood%20-%20Helps%20you%20to%20focus%2C%20relax%2C%20and%20sleep.%20Now%20available%20for%20iOS%20and%20Android&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAAAB~&cid=937793740.1570626182&tid=UA-685453-6&_gid=160955442.1570626182&z=502667515,HTTP/1.1,746,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,-1,0,-1,-1,0,81,-1,216.58.206.14,,82,value
12,,2019-10-09T16:03:02.355+03:00,GET,https://rainymood.com/i/play4.png,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/png,,,483,1223,,,1975,0,0,98,0,92,1945,104.27.170.92,,2167,
