,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,response._error,request.queryString.name
0,,2019-10-09T18:11:42.197+03:00,GET,https://load.sumo.com/68.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,631,,,43,-1,-1,-1,-1,0,105,89.187.169.79,,149,,
1,,2019-10-09T18:11:42.304+03:00,GET,http://fonts.gstatic.com/s/opensans/v17/mem8YaGs126MiZpBA-UFVZ0b.woff2,HTTP/1.1,429,0,,0,,unknown,0,,,,-1,-1,,,0,28,0,0,-1,0,0,172.217.21.227,,28,No response received,
2,,2019-10-09T18:11:42.368+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,887,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48482,,,227,34,0,0,-1,0,4210,104.24.17.117,,4473,,
3,,2019-10-09T18:11:44.530+03:00,GET,http://t.sharethis.com/a/t_.htm?ver=0.308.14340&cid=c010,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/html,,,414,1084,,,0,43,0,0,-1,0,114,104.103.207.162,,159,,value
4,,2019-10-09T18:11:46.665+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,841,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,2,27,0,0,-1,0,5972,104.24.17.117,,6003,,
5,,2019-10-09T18:11:46.683+03:00,GET,https://load.sumo.com/76.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,44057,,,72,-1,-1,-1,-1,0,109,89.187.169.79,,183,,
6,,2019-10-09T18:11:46.814+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,25,-1,-1,-1,-1,0,99,13.225.249.42,,125,,
7,,2019-10-09T18:11:46.814+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,20,-1,-1,-1,-1,0,99,216.58.206.14,,120,,
8,,2019-10-09T18:11:46.832+03:00,GET,https://www.dwin2.com/init.js?t=1570633906825,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,492,100,,,0,-1,-1,-1,-1,0,84,151.101.18.110,,84,,value
9,,2019-10-09T18:11:46.872+03:00,GET,https://load.sumo.com/78.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,101903,,,88,-1,-1,-1,-1,0,100,89.187.169.79,,190,,
10,,2019-10-09T18:11:46.982+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1905443778&t=pageview&_s=1&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&ul=en-us&de=UTF-8&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=AACAAEAB~&jid=&gjid=&cid=1163830172.1570633885&tid=UA-122981820-1&_gid=730580408.1570633885&z=320061223,HTTP/1.1,739,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,0,-1,-1,-1,-1,1,84,216.58.206.14,,85,,value
11,,2019-10-09T18:11:46.992+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/07/pokenatomy-pokemon-anatomy-book-fb.jpg,HTTP/1.1,890,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,176445,,,4438,-1,-1,-1,-1,0,335,104.24.17.117,,4774,,
12,,2019-10-09T18:11:46.995+03:00,GET,https://plugin.monotote.com/plugin.min.js?1570633906990,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,application/javascript,,,921,3936,,,1,14572,0,90,14530,0,87,13.225.249.47,,14753,,value
13,,2019-10-09T18:11:47.018+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,509,3851,,,3,-1,-1,-1,-1,0,85,13.225.249.42,,89,,
14,,2019-10-09T18:11:47.176+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,732,1780,,,1,219,0,0,191,0,81,157.240.1.23,,303,,
15,,2019-10-09T18:11:47.210+03:00,GET,https://c.sharethis.mgr.consensu.org/portal.html,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,586,4765,,,0,250,0,0,225,0,89,13.225.249.125,,341,,
16,,2019-10-09T18:11:48.609+03:00,GET,http://cas.criteo.com/delivery/ajs.php?zoneid=287315&nodis=1&cb=55440152625&exclude=undefined&charset=windows-1252&loc=http%3A//shutupandtakemymoney.com/adzonec728.html,HTTP/1.1,478,0,,0,,unknown,0,,,,-1,-1,,,0,28,0,35,-1,0,0,178.250.0.145,,64,No response received,value
17,,2019-10-09T18:11:50.150+03:00,OPTIONS,http://sumo.com/api/load/,HTTP/1.1,458,0,,204,No Content,HTTP/1.1,0,,,,412,0,,,0,16,0,0,-1,0,407,52.34.133.113,,424,,
18,,2019-10-09T18:11:50.576+03:00,POST,http://sumo.com/api/load/,HTTP/1.1,531,203,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,530,769,,,0,-1,-1,-1,-1,0,249,52.34.133.113,,249,,
19,,2019-10-09T18:11:50.841+03:00,POST,http://sumo.com/services,HTTP/1.1,530,783,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,627,869,,,0,-1,-1,-1,-1,0,234,52.34.133.113,,235,,
20,,2019-10-09T18:11:50.851+03:00,GET,https://l.sharethis.com/pview?event=pview&version=buttons.js&lang=en&fpc=46d1173-16db1131a9c-1d42a79-3&sessionID=1570633906801.96619&hostname=www.shutupandtakemymoney.com&location=%2F&product=widget&stid=&fcmp=false&publisher=wp.8cc0e660-f6fa-41ba-b476-dff972973c41&refDomain=&refQuery=&consentDomain=.consensu.org&url=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&sharURL=&buttonType=ERROR&destination=ERROR&source=ERROR&title=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&ts1570633906802.0=&sop=false,HTTP/1.1,948,0,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,469,51,,,0,-1,-1,-1,-1,0,101,3.123.152.53,,102,,value
21,,2019-10-09T18:11:51.021+03:00,GET,https://t.sharethis.com/1/d/t.dhj?rnd=1570633911017&cid=c010&dmn=www.shutupandtakemymoney.com,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,application/javascript,,,466,957,,,0,-1,-1,-1,-1,0,93,104.103.207.162,,93,,value
22,,2019-10-09T18:11:51.022+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=fc0293336387ac0d8c8f451af1d742f1&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56393,,,111,211,0,0,187,0,86,157.240.1.23,,410,,value
23,,2019-10-09T18:11:51.092+03:00,GET,https://load.sumo.com/6.b673d503a425732f6368.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,2520,,,48,-1,-1,-1,-1,1,107,89.187.169.79,,156,,
24,,2019-10-09T18:11:51.093+03:00,GET,https://load.sumo.com/68.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,631,,,43,167,0,0,144,1,104,89.187.169.79,,317,,
25,,2019-10-09T18:11:51.134+03:00,GET,http://t.sharethis.com/a/t_.htm?ver=0.308.14340&cid=c010,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/html,,,414,1084,,,0,19,0,0,-1,0,116,104.103.207.162,,137,,value
26,,2019-10-09T18:11:51.260+03:00,GET,https://load.sumo.com/0.b673d503a425732f6368.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,2481,,,47,-1,-1,-1,-1,0,100,89.187.169.79,,148,,
27,,2019-10-09T18:11:51.260+03:00,GET,https://load.sumo.com/1.b673d503a425732f6368.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,1060,,,44,-1,-1,-1,-1,0,98,89.187.169.79,,143,,
