,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,har_a0,2019-12-08T09:30:31.511+02:00,CONNECT,https://www.facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to resolve host: www.facebook.com:443,,8,-1,0,0,0,0,-1,157.240.1.35,,8,
1,har_a0,2019-12-08T09:30:31.511+02:00,CONNECT,https://www.facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to resolve host: www.facebook.com:443,,8,-1,0,0,0,0,-1,157.240.1.35,,8,
2,har_a0,2019-12-08T09:30:32.806+02:00,CONNECT,https://www.gstatic.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to connect to host,,0,3,0,0,0,0,-1,216.58.205.227,,3,
3,har_a0,2019-12-08T09:32:57.868+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,464,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,,30,434,0,77,0,0,360,172.217.23.109,,543,value
4,har_a0,2019-12-08T09:33:00.924+02:00,POST,https://clients4.google.com/chrome-sync/experimentstatus,HTTP/1.1,405,13,,200,OK,HTTP/1.1,0,application/vnd.google.octet-stream-compressible,,,637,32,,,,10,300,0,78,0,0,239,172.217.18.174,,390,
5,har_a0,2019-12-08T09:33:25.477+02:00,GET,https://www.facebook.com/,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33078,,,,0,530,0,267,113,0,406,31.13.90.36,,911,
6,har_a0,2019-12-08T09:33:25.949+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=i1DJ3dAI8RQAQnq70Weq1Rw8yW7bYMZE-kOmzLC-2s9S07qmTEsBBo93w&_nc_ht=scontent.ftlv6-1.fna&oh=8dad7d314407f9ea5e24b4bdf3d5a5c7&oe=5E7AA9E8,HTTP/1.1,624,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,,3,110,0,4,0,0,106,212.199.140.145,,118,value
7,har_a0,2019-12-08T09:33:25.950+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=GgkpdbGxHmoAQnp6y_bUJMBMjgHy0wNeZkLlljOVeNg6diMzf-HG-j5zA&_nc_ht=scontent.ftlv6-1.fna&oh=6980eaf8b5720ea35aadd077d0e491b3&oe=5E7A1536,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,,2,111,0,7,0,0,106,212.199.140.145,,122,value
8,har_a0,2019-12-08T09:33:25.959+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=0112fD2bhycAQn3Zg-omUgcetY0mt6axy0lfUnqvj71hI1fV016iUtrpA&_nc_ht=scontent.ftlv6-1.fna&oh=3327343862ebb3682a5e7eed850d3ed1&oe=5E89B2B5,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,,-1,-1,13,0,0,-1,-1,212.199.140.145,,13,value
9,har_a0,2019-12-08T09:33:26.185+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/mGjV6kda0_G.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,39793,,,,32,372,0,71,141,0,302,31.13.90.6,,617,value
