,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,comment,time,serverIPAddress,request.queryString.name
0,har_a3,2019-12-13T18:59:15.740+02:00,CONNECT,https://www.facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to resolve host: www.facebook.com:443,,4,-1,0,0,0,0,-1,,4,,
1,har_a3,2019-12-13T18:59:15.740+02:00,CONNECT,https://www.facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to resolve host: www.facebook.com:443,,4,-1,0,0,0,0,-1,,4,,
2,har_a3,2019-12-13T18:59:17.766+02:00,CONNECT,https://www.gstatic.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to resolve host: www.gstatic.com:443,,3,-1,0,0,0,0,-1,,3,,
3,har_a3,2019-12-13T18:59:44.296+02:00,CONNECT,https://accounts.google.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to connect to host,,47,974,0,0,0,0,-1,,1022,216.58.210.13,
4,har_a3,2019-12-13T18:59:45.415+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,463,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,,0,798,5,116,18,0,766,,939,216.58.210.13,value
5,har_a3,2019-12-13T18:59:49.504+02:00,GET,https://www.facebook.com/,HTTP/1.1,513,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,32996,,,,37,529,1,163,91,0,476,,824,31.13.90.36,
6,har_a3,2019-12-13T18:59:50.286+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=lKy4l4ASH_sAQm6_BoWzjYWbuoaG65q89yGeJjG63LUoY7PydqC9SIGaA&_nc_ht=scontent.ftlv1-2.fna&oh=2623da14e13f51e59f7299f832b81ef6&oe=5E7AA9E8,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,,30,514,11,36,3,0,476,,596,213.57.23.209,value
7,har_a3,2019-12-13T18:59:50.308+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/bkhLxLxktoq.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,27839,,,,42,506,7,92,437,0,468,,1085,31.13.90.6,value
8,har_a3,2019-12-13T18:59:50.318+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/LfSfgoe0hpb.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,20313,,,,42,553,19,198,382,0,515,,1196,31.13.90.6,value
9,har_a3,2019-12-13T18:59:50.319+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5466,,,,43,543,13,150,44,0,500,,795,31.13.90.6,value
10,har_a3,2019-12-13T18:59:50.325+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/1Oe4_bGMM7Z.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15229,,,,32,558,11,273,382,0,522,,1258,31.13.90.6,value
11,har_a3,2019-12-13T18:59:50.347+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=xCzOXlmysUUAQlPF7ugHd2VEMBNcxYAStBLGCJ9RAYLwIhRVY2bPNJV5g&_nc_ht=scontent.ftlv1-2.fna&oh=bf5890d8dd293b77796a2367ef6bf9fd&oe=5E7A1536,HTTP/1.1,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,,-1,-1,0,33,4,-1,-1,,38,213.57.23.209,value
12,har_a3,2019-12-13T18:59:50.352+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/0,cross/2W2WHyj3Dev.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5696,,,,43,567,11,365,37,0,529,,1025,31.13.90.6,value
13,har_a3,2019-12-13T18:59:50.358+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Q_Qtc1cmjHk.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,6953,,,,44,584,3,329,43,0,546,,1004,31.13.90.6,value
14,har_a3,2019-12-13T18:59:50.389+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=RDj8hhQnykcAQlLnJ5EwfQyPCWpbrcgPiBQyB_vRiUbNW0RnSU60aqX3Q&_nc_ht=scontent.ftlv1-2.fna&oh=115d4cc9fa0480d677e90b6fb329d9cd&oe=5EB13FB5,HTTP/1.1,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,,-1,-1,0,143,6,-1,-1,,150,213.57.23.209,value
15,har_a3,2019-12-13T18:59:50.538+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/jRBqzHugMVR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,13197,,,,-1,-1,0,394,178,-1,-1,,573,31.13.90.6,value
16,har_a3,2019-12-13T18:59:50.741+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/lZ86cv9aR90.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,26016,,,,-1,-1,0,281,253,-1,-1,,535,31.13.90.6,value
17,har_a3,2019-12-13T18:59:50.774+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/AiO0tpQvM4O.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,1989,,,,-1,-1,0,321,16,-1,-1,,338,31.13.90.6,value
