,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error
0,har_a3,2019-12-14T07:12:36.721+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,value,463,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,-1,-1,9,96,2,-1,-1,216.58.210.13,,108,
1,har_a3,2019-12-14T07:12:36.731+02:00,GET,https://www.facebook.com/,HTTP/1.1,,487,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33103,,,42,1127,6,184,80,0,1090,31.13.90.36,,1440,
2,har_a3,2019-12-14T07:12:37.522+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=lKy4l4ASH_sAQml4U8MtlIwuE0mnQT4_9POxe1tww22Rg3JAGHGDqcBWw&_nc_ht=scontent.ftlv1-2.fna&oh=2d6fd08e9a12f16da7c7764f292622db&oe=5E7AA9E8,HTTP/1.1,value,623,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,25,423,0,28,3,0,397,213.57.23.209,,481,
3,har_a3,2019-12-14T07:12:37.561+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=xCzOXlmysUUAQnGO-5RG0WFWgk8geTnwM5ezo9Ngysar9TpWfZq4rNCJg&_nc_ht=scontent.ftlv1-2.fna&oh=ac6c4d04658d44927e6917827b118cce&oe=5E7A1536,HTTP/1.1,value,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,-1,-1,0,28,9,-1,-1,213.57.23.209,,39,
4,har_a3,2019-12-14T07:12:37.615+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=RDj8hhQnykcAQmCzkXv1MxiwiktSK2otVPjCO6jS80LCJa2KdTdVTHMaQ&_nc_ht=scontent.ftlv1-2.fna&oh=89371eeced4e4b3f2567b6f230579b1d&oe=5EB13FB5,HTTP/1.1,value,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,-1,-1,16,31,7,-1,-1,213.57.23.209,,55,
5,har_a3,2019-12-14T07:12:37.628+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/bkhLxLxktoq.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,27839,,,25,533,1,86,263,0,492,31.13.90.6,,910,
6,har_a3,2019-12-14T07:12:37.636+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5466,,,18,543,8,261,33,0,502,31.13.90.6,,865,
7,har_a3,2019-12-14T07:12:37.654+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/DUl7s2bqFTJ.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,26466,,,19,550,1,207,357,0,508,31.13.90.6,,1137,
8,har_a3,2019-12-14T07:12:37.668+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/dJNKGdOw4Ma.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5697,,,29,572,7,372,35,0,531,31.13.90.6,,1018,
9,har_a3,2019-12-14T07:12:37.669+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/1Oe4_bGMM7Z.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15229,,,23,570,5,302,257,0,530,31.13.90.6,,1160,
