,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:12:26.929+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4820,,,4642,105,3,312,0,4682,25,104.18.72.2,,5130,,
1,,2019-10-09T17:12:27.306+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,-1,1,112,-1,-1,4,104.18.72.2,,119,value,
2,,2019-10-09T17:12:27.443+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,-1,1,107,-1,-1,3,104.18.72.2,,113,,
3,,2019-10-09T17:12:27.604+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,-1,0,109,-1,-1,83,104.18.72.2,,194,value,
4,,2019-10-09T17:12:28.834+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20379,,,1293,39,0,233,0,1323,53,172.217.23.110,,1650,,
5,,2019-10-09T17:12:29.127+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,-1,0,101,-1,-1,53,172.217.23.110,,155,,
6,,2019-10-09T17:12:29.248+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflkOdfq9/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,119,0,0,92,0,150,83,172.217.23.110,,327,,
7,,2019-10-09T17:12:29.264+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393160,,,115,0,0,88,0,163,326,172.217.23.110,,579,,
8,,2019-10-09T17:12:29.857+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,29994,,,-1,-1,0,102,-1,-1,17,172.217.23.110,,120,,
9,,2019-10-09T17:12:30.529+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,3002,1,0,92,0,3042,31,216.58.206.14,,3168,,
10,,2019-10-09T17:12:30.713+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1200264573&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=863332630&gjid=967126426&cid=149706933.1570630351&tid=UA-26211653-1&_gid=1904588707.1570630351&_r=1&z=991147418,HTTP/1.1,712,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=149706933.1570630351&jid=863332630&_gid=1904588707.1570630351&gjid=967126426&_v=j79&z=991147418,643,416,,,-1,-1,0,95,-1,-1,0,216.58.206.14,,97,value,
11,,2019-10-09T17:12:33.509+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,3668,0,0,106,0,3697,10,172.217.21.228,,3816,,
12,,2019-10-09T17:12:33.895+03:00,GET,https://www.youtube.com/generate_204?wjql4g,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,-1,0,98,-1,-1,0,172.217.23.110,,100,value,
