,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T19:54:23.874+03:00,GET,https://cdn.somplo.com/prod/JQuery-2.1.1/jquery-2.1.1.min.js,HTTP/1.1,1355,0,,200,OK,HTTP/1.1,0,application/javascript,,,426,84247,,,373,-1,-1,0,-1,-1,432,5.188.94.254,,807,,
1,,2019-10-08T19:54:23.888+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1089,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,49069,,,274,0,28,0,-1,0,2888,104.24.18.117,,3191,,
2,,2019-10-08T19:54:24.090+03:00,GET,https://cdn.somplo.com/assets/1/1_300-250D_1555240288.jpg,HTTP/1.1,1388,0,,200,OK,HTTP/1.1,0,image/jpeg,,,415,28941,,,66,0,171,0,142,43,216,5.188.94.254,,497,,
3,,2019-10-08T19:54:25.925+03:00,GET,https://video.somplo.com/prod/player/v1.2.5/player.min.js?aa=1234aa,HTTP/1.1,1362,0,,0,,unknown,0,,,,-1,-1,,,0,0,2005,0,1976,43,0,5.188.94.254,,2049,value,No response received
4,,2019-10-08T19:54:26.832+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjst_C915QnQ55IvlhxEk-kerQkA9FdpJdeEJ-v-1amLulVYDsTBhpVtE-iXjsCAJII8iBarGorIiAJTIvn52dYYcX50sR-aPQH5P_bgKozdL9nwQ8bM&sai=AMfl-YT0jOH7JQGJN0HqbSA2th4VNkb5TYwcfnQSUmxNrxFpIOPO7yTXy08ttY9yLD71InaOp3S5biW18zpPX26HimH2spa5-IheBhU&sig=Cg0ArKJSzN07XF5EdAseEAE&cid=CAASEuRobNtVpp67BuxkEEMFTgfikQ&adk=2057880241&tt=2851&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=32&niot_cbk=49&md=2&lm=2&rst=1570553652249&dlt=801&rpt=649&isd=0&msd=0&oseid=3&xdi=0&xosd=1&ps=1190%2C47601&ss=800%2C600&pt=11087&bin=1&deb=1-4-4-208-123-42-577-121-0-0-0&tvt=13915&r=u&id=osdtos&vs=3&uc=116&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191007",HTTP/1.1,2109,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,-1,-1,0,-1,-1,108,172.217.22.98,,109,value,
5,,2019-10-08T19:54:26.926+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,1043,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,4,0,29,0,-1,0,2144,104.24.18.117,,2179,,
6,,2019-10-08T19:54:26.946+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvG60CTx1X1D24OAY4YC36AQQhmuXrhBK1Uv97NFUXUl5X4fVflYPQB13pFZs5SPeP0RXQCZxFm8VDjdcb5OBQhqQZeXvWrmtE1Tu8uSjbly6AnDHI&sai=AMfl-YQRXwB4s2bIu1H9Ziz9K-d_ouCrXV_DrmhgyqGbJQOx3lIYLttov-3HsKMtnEGYs34PZGZMfZeNLUV4NSCnaiZR613O-nOyMMY&sig=Cg0ArKJSzDLc-zFXmGy6EAE&cid=CAASEuRoEDC5O70WsovJYCKVNZ2E1A&adk=1185311379&tt=2851&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=32&niot_cbk=49&md=2&lm=2&rst=1570553652329&dlt=728&rpt=547&isd=0&msd=0&oseid=3&xdi=0&xosd=1&ps=1190%2C47601&ss=800%2C600&pt=11087&bin=1&deb=1-4-4-208-123-42-577-121-0-0-0&tvt=13915&r=u&id=osdtos&vs=3&uc=116&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=4&v=20191007",HTTP/1.1,2078,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,-1,-1,1,-1,-1,121,172.217.22.98,,123,value,
7,,2019-10-08T19:54:26.976+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvZgpkthIvtlGT24T7Vp-5ahN1Nixaj71QrM8c-692P_uCtcK0vo4JjILsmQQXJHY0EqM7_Q_01vawpqIopukd_Y4rynCw4o-ogO9Vr3S85nHFcVvw&sai=AMfl-YTtqJDyqdyRL37-CNODVHWBu-2WFG6wFljj-uUSuLnWZawXgZx2MO51bsTbynPqnvUeN-DLEbVl5JMg_nsj_ygsWVhERjbv1DY&sig=Cg0ArKJSzOb7k78o5FK3EAE&cid=CAASEuRoi591C9ATkfpQLYgcM8_Efg&adk=2664836855&tt=2851&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=32&niot_cbk=49&md=2&lm=2&rst=1570553652366&dlt=785&rpt=516&isd=0&msd=0&oseid=3&xdi=0&xosd=1&ps=1190%2C47601&ss=800%2C600&pt=11087&bin=1&deb=1-4-4-208-123-42-577-121-0-0-0&tvt=13915&r=u&id=osdtos&vs=3&uc=54&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=20&v=20191007",HTTP/1.1,2089,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,0,132,0,116,0,109,172.217.22.98,,243,value,
8,,2019-10-08T19:54:26.988+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,27,-1,-1,0,-1,-1,82,172.217.22.110,,110,,
9,,2019-10-08T19:54:26.997+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssrtqnL0aER0wBzHKYW1LneUL0f1hzftamI9Aw2CphkiP7eLLENOmGEz3L8WQCw5SXtLsmeX78IZg5_NDTbeL40WRm-b3NoFi6xIE_SE7dvplMfQX3CXPi9KA0jrUU8G8n8-JZBSDMMrQc&sai=AMfl-YTsHTUjKFGvhErO2S5QVi-qHm79H2A-cWTV_Yw5796vIXsNEIn_KrwmPo-eCjhxaTyJqhUbujbt6vFr_2wBtSKfdtCyryqMp1Y&sig=Cg0ArKJSzMwI3KVuNQulEAE&cid=CAASEuRoR28n22M8OIXJZV9ZjVpLRg&adk=3428921553&tt=6168&bs=0%2C0&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=0,0,0,0&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&if=1&met=no&avms=nio&niot_obs=30&niot_cbk=73&md=2&lm=2&rst=1570553653080&dlt=325&rpt=231&isd=0&oseid=3&xdi=1&ps=-12245933%2C-12245933&ss=800%2C600&pt=7374&bin=1&deb=1-1-1-34-119-57-122-118-0-0-0&tvt=13512&is=0%2C0&iframe_loc=http%3A%2F%2Fshutupandtakemymoney.com%2Fadzonec728.html&r=u&id=osdim&vs=2&uc=114&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=4&v=20191007",HTTP/1.1,2110,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,0,139,0,95,0,109,172.217.22.98,,249,value,
