,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:19:21.981+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25725,,,0,2653,207,2,2617,343,124,54.215.199.47,,3331,
1,,2019-10-12T08:19:24.935+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,300italic,400,400italic,500,700",HTTP/1.1,422,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,838,,,0,2541,2,1,2505,110,1,172.217.23.138,,2657,value
2,,2019-10-12T08:19:25.377+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,0,2888,49,0,2843,106,87,93.184.220.20,,3133,
3,,2019-10-12T08:19:25.380+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,0,2892,1122,0,2842,107,85,93.184.220.20,,4209,
4,,2019-10-12T08:19:25.383+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,0,2893,510,1,2852,100,88,93.184.220.20,,3593,
5,,2019-10-12T08:19:25.384+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,0,2893,254,0,2850,103,88,93.184.220.20,,3341,
6,,2019-10-12T08:19:25.386+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,0,2902,229,0,2855,99,87,93.184.220.20,,3320,
7,,2019-10-12T08:19:25.387+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v3_common.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript,,,508,212381,,,0,2906,1229,0,2858,105,86,93.184.220.20,,4327,
8,,2019-10-12T08:19:25.539+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/music_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,9419,,,-1,-1,702,1,-1,97,-1,93.184.220.20,,800,
9,,2019-10-12T08:19:25.720+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/video_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,503,629,,,-1,-1,0,0,-1,81,-1,93.184.220.20,,82,
