,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:17:16.119+03:00,GET,https://www.reverbnation.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1075,25703,,,97,3657,0,23,568,3616,2,52.52.116.70,,4349,,
1,,2019-10-09T17:17:17.860+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,300italic,400,400italic,500,700",HTTP/1.1,422,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,838,,,26,1091,0,2,110,1063,0,172.217.23.138,,1231,value,
2,,2019-10-09T17:17:19.714+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/v3/main.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,491,1475,,,90,2874,0,46,99,2834,2,93.184.220.20,,3113,,
3,,2019-10-09T17:17:19.714+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_required-datauri.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,493,16434,,,88,2877,0,1170,100,2835,1,93.184.220.20,,4238,,
4,,2019-10-09T17:17:19.716+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/zurb_foundation-datauri.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,493,32784,,,88,2878,0,280,98,2845,2,93.184.220.20,,3347,,
5,,2019-10-09T17:17:19.718+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v4_foundation-datauri.css,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,text/css,,,493,73760,,,87,2881,0,398,101,2849,0,93.184.220.20,,3470,,
6,,2019-10-09T17:17:19.724+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/stylesheets/compiled/rn_foundation/modules/marketing.css,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css,,,493,24784,,,90,2886,0,154,97,2846,0,93.184.220.20,,3229,,
7,,2019-10-09T17:17:19.731+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/v3_common.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript,,,508,212381,,,89,2894,0,1212,97,2853,0,93.184.220.20,,4294,,
8,,2019-10-09T17:17:19.866+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/music_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,9419,,,-1,-1,-1,648,84,-1,0,93.184.220.20,,733,,
9,,2019-10-09T17:17:19.981+03:00,GET,https://gp1.wac.edgecastcdn.net/802892/production_static/20191008060908/assets/video_player.js,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,application/javascript,,,503,629,,,-1,-1,-1,1,89,-1,0,93.184.220.20,,90,,
