,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:42:21.747+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,10139,,,3927,0,35,1,2,169,3873,104.24.119.116,,4136,
1,,2019-10-09T17:42:21.987+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,516,19958,,,-1,-1,45,-1,1,95,-1,104.24.119.116,,141,value
2,,2019-10-09T17:42:22.137+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,-1,-1,0,-1,1,88,-1,104.24.119.116,,90,value
3,,2019-10-09T17:42:22.149+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,153,0,1,0,2,128,129,104.24.119.116,,285,value
4,,2019-10-09T17:42:22.159+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,156,0,20,0,0,140,129,104.24.119.116,,318,value
5,,2019-10-09T17:42:22.178+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,177,0,35,0,1,125,148,104.24.119.116,,340,value
6,,2019-10-09T17:42:22.180+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,176,0,8,0,2,101,138,104.24.119.116,,287,value
7,,2019-10-09T17:42:22.232+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,515,1646,,,-1,-1,1,-1,0,100,-1,104.24.119.116,,102,value
8,,2019-10-09T17:42:22.313+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,-1,-1,1,-1,0,102,-1,104.24.119.116,,105,value
9,,2019-10-09T17:42:22.313+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,-1,-1,35,-1,1,98,-1,104.24.119.116,,134,value
10,,2019-10-09T17:42:22.342+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,658,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,-1,-1,2,-1,0,94,-1,104.24.119.116,,97,value
11,,2019-10-09T17:42:22.353+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/css,,,515,545,,,-1,-1,0,-1,0,91,-1,104.24.119.116,,92,value
12,,2019-10-09T17:42:22.430+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,-1,-1,0,-1,0,110,-1,104.24.119.116,,111,value
13,,2019-10-09T17:42:22.444+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,-1,-1,2,-1,0,102,-1,104.24.119.116,,105,value
