,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time
0,,2019-10-09T16:55:57.894+03:00,GET,https://rtb.openx.net/sync/dds?google_gid=CAESEAQKu0ls4yAWgmLeklFPrvg&google_cver=1&google_push=AHNF13KCo-rBPEgL_DBXDjaU7El1RMYXHd8kDBbUJO5h2g&ox_sc=1,HTTP/1.1,value,600,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,-1,-1,0,-1,-1,0,34.96.111.110,,0
1,,2019-10-09T16:55:57.988+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,,1099,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48968,,,,277,0,37,0,-1,0,2439,104.24.18.117,,2755
2,,2019-10-09T16:56:00.522+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsv1roaBjylydyYO3eeEQDzFWjVhKWUhhenlB01z3P-J_a5XMorBTt5uaWW7s4zvE-aZu_m-CeAlpI3oEEkq59JihTrz7dpXLOJRRJpY0U9F1W1zv4g&sai=AMfl-YTpzw57ByVAED7tGA-UVI8UqYHHyF5j7VmIZuNLTylIp84cIHT4EU_BZ1LK3EQ6bZeVZV-CbI_6hG0qLNGuheAB2kd6m5UQIeo&sig=Cg0ArKJSzLVqq89tbg9hEAE&cid=CAASFeRoNzWBZs8lBem6LTLkr5W1wzj6QA&adk=2057880241&tt=2405&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=54&md=2&lm=2&rst=1570629340184&dlt=351&rpt=334&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=17511&bin=1&deb=1-4-4-305-166-45-681-164-0-0-0&tvt=19889&r=u&id=osdtos&vs=3&uc=146&upc=10&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191007",HTTP/1.1,value,2031,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,0,-1,-1,98,216.58.208.34,,99
3,,2019-10-09T16:56:00.606+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900",HTTP/1.1,value,413,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,758,,,,0,-1,-1,0,-1,-1,117,172.217.23.138,,119
4,,2019-10-09T16:56:00.651+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,,1053,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,,10,0,28,0,-1,0,2154,104.24.18.117,,2193
5,,2019-10-09T16:56:00.661+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjst9n7fMh8jWtcIufSqiDB0yi3Z1b8Ct2vz1homlXmvepeMRgasfEAZ8xQPAaK63n2p4rbWxp6Z-Tob2CG3BbM_dvO47FSUkrwZo52ijmMU15mZpXuLAb3-MMjP6lclXrXShXaw4Ioyuyg&sai=AMfl-YQYHxlxnX78Asi3ipbePKIOGCMWZCQwZ8jhAD8ESC4Qi4a35v1L8WFQhOgNqe8cmPUp2B_b9ds7OYq8sKteHOFxs1MvSbQtkeA&sig=Cg0ArKJSzCTAcM-ZdZMYEAE&cid=CAASFeRo6gouR7ZproOFUkIlVyj7qFEcmA&adk=1185311379&tt=2405&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=53&md=2&lm=2&rst=1570629340239&dlt=840&rpt=258&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=17511&bin=1&deb=1-4-4-305-166-45-681-164-0-0-0&tvt=19889&r=u&id=osdtos&vs=3&uc=145&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=4&v=20191007",HTTP/1.1,value,2037,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,-1,-1,1,-1,-1,97,216.58.208.34,,98
6,,2019-10-09T16:56:00.670+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsuhygpzqfjksqGNhvnzQbamXkhf8vuRRebIA3joopVr-RruhBAnAox8GYt6ve7bRnzvzjZeTZDNAfUbQCsXrjMSMHx01vfoaVBtPfq9_eMu2VNWlyw&sai=AMfl-YR5jwhKf3zn1aZ-oykULu1oMsbNA6B-ix2XhEkTplWc5YzFJGJKmo7MCfQwjFWPgPC1t_S12OHjRPOJc2BxXsi0fJGqI-5O15Q&sig=Cg0ArKJSzO_DfogIeJ7CEAE&cid=CAASFeRowVEuKP25dIrhgcqD1d7oOj7uzg&adk=2664836855&tt=2405&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=37&niot_cbk=54&md=2&lm=2&rst=1570629340289&dlt=2434&rpt=216&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C47601&ss=800%2C600&pt=17511&bin=1&deb=1-4-4-305-166-45-681-164-0-0-0&tvt=19889&r=u&id=osdtos&vs=3&uc=128&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=22&v=20191007",HTTP/1.1,value,2026,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,,0,0,136,1,110,0,92,216.58.208.34,,230
7,,2019-10-09T16:56:00.758+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,,22,-1,-1,0,-1,-1,95,13.225.249.48,,118
8,,2019-10-09T16:56:00.758+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,,37,-1,-1,0,-1,-1,85,216.58.206.14,,122
9,,2019-10-09T16:56:00.906+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=486275590&t=pageview&_s=1&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&ul=en-us&de=UTF-8&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=AACAAEAB~&jid=&gjid=&cid=1142910235.1570629311&tid=UA-122981820-1&_gid=1286909341.1570629311&z=1349556707,HTTP/1.1,value,740,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,,0,-1,-1,0,-1,-1,91,216.58.206.14,,91
