,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T19:11:58.888+03:00,GET,https://www.incredibox.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,225,28014,,,0,20,1542,186,3,1502,211,163.172.54.44,,1964,
1,,2019-10-09T19:11:59.156+03:00,GET,https://www.incredibox.com/css/style.min.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,311,13693,,,-1,0,-1,-1,1,-1,112,163.172.54.44,,115,
2,,2019-10-09T19:11:59.277+03:00,GET,https://www.incredibox.com/img/home-mockup-aasl.jpg,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,108304,,,-1,74,-1,-1,1,-1,127,163.172.54.44,,203,
3,,2019-10-09T19:11:59.485+03:00,GET,https://www.incredibox.com/js/libs/jquery.min.js,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,33225,,,-1,7,-1,-1,0,-1,115,163.172.54.44,,123,
4,,2019-10-09T19:11:59.617+03:00,GET,https://www.incredibox.com/js/site.min.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,325,22728,,,-1,3,-1,-1,0,-1,117,163.172.54.44,,121,
5,,2019-10-09T19:12:00.585+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,text/css,,,663,1055,,,0,1,1385,36,1,1340,159,104.19.195.151,,1584,
6,,2019-10-09T19:12:00.594+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,6531,,,0,211,1395,35,0,1348,157,104.19.195.151,,1801,
7,,2019-10-09T19:12:00.988+03:00,GET,https://www.incredibox.com/img/menu-logo.svg,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,262,4941,,,-1,0,-1,-1,0,-1,102,163.172.54.44,,104,
8,,2019-10-09T19:12:00.990+03:00,GET,https://www.incredibox.com/img/home-header2.jpg,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,169169,,,0,226,163,0,1,129,162,163.172.54.44,,554,
9,,2019-10-09T19:12:01.096+03:00,GET,https://www.incredibox.com/img/home-logo.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,259,42647,,,-1,17,-1,-1,0,-1,187,163.172.54.44,,205,
10,,2019-10-09T19:12:01.156+03:00,GET,https://www.incredibox.com/font/raleway-regular-webfont.woff,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32476,,,0,64,158,0,1,130,161,163.172.54.44,,385,
11,,2019-10-09T19:12:01.162+03:00,GET,https://www.incredibox.com/font/raleway-semibold-webfont.woff,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,31612,,,0,52,161,0,1,136,168,163.172.54.44,,383,
12,,2019-10-09T19:12:01.170+03:00,GET,https://www.incredibox.com/font/raleway-bold-webfont.woff,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/font-woff,,,271,32628,,,0,38,160,0,0,130,176,163.172.54.44,,375,
13,,2019-10-09T19:12:01.307+03:00,GET,https://www.incredibox.com/img/home-album.png,HTTP/1.1,418,0,,200,OK,HTTP/1.1,0,image/png,,,261,115850,,,-1,115,-1,-1,0,-1,126,163.172.54.44,,242,
14,,2019-10-09T19:12:01.392+03:00,GET,https://www.incredibox.com/img/home-teaser-artwork.jpg,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,148604,,,-1,90,-1,-1,0,-1,136,163.172.54.44,,227,
15,,2019-10-09T19:12:01.394+03:00,GET,https://www.incredibox.com/img/home-aasl.png,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,image/png,,,258,8327,,,-1,0,-1,-1,0,-1,127,163.172.54.44,,128,
16,,2019-10-09T19:12:01.394+03:00,GET,https://www.incredibox.com/img/home-v5-artwork1.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,60844,,,-1,141,-1,-1,0,-1,184,163.172.54.44,,326,
17,,2019-10-09T19:12:01.406+03:00,GET,https://www.incredibox.com/img/home-tv-press.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,260,30764,,,-1,6,-1,-1,0,-1,201,163.172.54.44,,207,
18,,2019-10-09T19:12:01.530+03:00,GET,https://www.incredibox.com/img/home-press-logos.jpg,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,image/jpeg,,,262,115446,,,-1,63,-1,-1,0,-1,184,163.172.54.44,,248,
19,,2019-10-09T19:12:01.557+03:00,GET,https://www.incredibox.com/img/home-awards.png,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,image/png,,,259,29038,,,-1,5,-1,-1,0,-1,110,163.172.54.44,,116,
20,,2019-10-09T19:12:01.621+03:00,GET,https://www.incredibox.com/img/bt-store.png,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,image/png,,,259,16730,,,-1,0,-1,-1,0,-1,142,163.172.54.44,,143,
21,,2019-10-09T19:12:03.092+03:00,GET,https://www.youtube.com/iframe_api,HTTP/1.1,353,0,,200,OK,HTTP/1.1,0,application/javascript,,,394,859,,,0,0,1877,37,1,1850,143,172.217.21.238,,2060,
22,,2019-10-09T19:12:04.800+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1779,,,0,1,3778,36,0,3741,102,157.240.1.23,,3920,
23,,2019-10-09T19:12:05.140+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=9f17e148e46c2834ceeaf51e48297d7b&ua=modern_es6,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,0,89,224,0,0,193,91,157.240.1.23,,406,value
24,,2019-10-09T19:12:05.148+03:00,GET,https://www.googletagmanager.com/gtag/js?id=UA-10301455-3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,27314,,,0,60,5986,0,0,5950,104,216.58.207.72,,6153,value
25,,2019-10-09T19:12:06.125+03:00,GET,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflLte76q/www-widgetapi.js,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,8697,,,0,15,2845,33,0,2818,101,172.217.22.110,,2997,
26,,2019-10-09T19:12:06.254+03:00,GET,https://www.youtube.com/embed/eMdLqaeWP-k?enablejsapi=1&origin=https%3A%2F%2Fwww.incredibox.com&widgetid=1,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20322,,,-1,58,-1,-1,0,-1,212,172.217.21.238,,271,value
27,,2019-10-09T19:12:06.529+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,115,-1,-1,0,-1,96,172.217.21.238,,211,
28,,2019-10-09T19:12:06.674+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl0s3MKB/www-embed-player.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,119,185,0,0,134,93,172.217.21.238,,399,
29,,2019-10-09T19:12:06.674+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/base.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393260,,,0,433,186,0,0,137,104,172.217.21.238,,725,
30,,2019-10-09T19:12:07.235+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,535,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,515,11744,,,0,11,1827,30,0,1797,97,157.240.1.23,,1967,value
31,,2019-10-09T19:12:07.360+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/remote.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29996,,,-1,19,-1,-1,0,-1,94,172.217.21.238,,114,
32,,2019-10-09T19:12:08.404+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,63,3042,0,1,3012,97,216.58.206.14,,3205,
33,,2019-10-09T19:12:08.626+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1293153511&t=pageview&_s=1&dl=https%3A%2F%2Fwww.incredibox.com%2F&ul=en-us&de=UTF-8&dt=Incredibox&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAUAB~&jid=1243946575&gjid=1757407454&cid=275541051.1570637529&tid=UA-10301455-3&_gid=784643579.1570637529&_r=1&gtm=2oua20&z=479162587,HTTP/1.1,686,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-10301455-3&cid=275541051.1570637529&jid=1243946575&_gid=784643579.1570637529&gjid=1757407454&_v=j79&z=479162587,644,417,,,-1,0,-1,-1,0,-1,113,216.58.206.14,,114,value
34,,2019-10-09T19:12:08.716+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,0,2,1426,0,1,1391,123,172.217.21.228,,1554,
35,,2019-10-09T19:12:10.284+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,473,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,0,0,2998,0,1,2966,150,172.217.23.130,,3151,
