,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-08T17:42:58.208+03:00,GET,https://events.bouncex.net/track.gif/bid_cancel?partner=pbm&partner_site_id=251613&deployment=overlay&requested_ad_units=300x600&request_timestamp=1570545775829&price=NA&deal_id=NA&auction_number=1&ad_unit_id=24&source=ads&campaignid=943846&agent=user&mode=0&websiteid=2490&visitid=1570546701928665&deviceid=1015890958379946086&pageviewid=3&sequenceid=34&clienttimestamp=1570545777733&clientapiversion=tag3&device=d,HTTP/1.1,value,767,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,197,0,0,236,317,0,0,35.190.62.200,,515,
1,,2019-10-08T17:42:58.410+03:00,GET,https://events.bouncex.net/track.gif/bid_cancel?partner=pbm&partner_site_id=251613&deployment=overlay&requested_ad_units=900x550&request_timestamp=1570545775825&price=NA&deal_id=NA&auction_number=1&ad_unit_id=1&source=ads&campaignid=943846&agent=user&mode=0&websiteid=2490&visitid=1570546701928665&deviceid=1015890958379946086&pageviewid=3&sequenceid=35&clienttimestamp=1570545777734&clientapiversion=tag3&device=d,HTTP/1.1,value,766,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,220,-1,0,-1,-1,-1,0,35.190.62.200,,221,
2,,2019-10-08T17:42:58.634+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570545717354%2C%22tag%22%3A5126%2C%22init1request%22%3A5287%2C%22init1%22%3A6024%7D&mode=0&websiteid=2490&visitid=1570546701928665&deviceid=1015890958379946086&pageviewid=2&sequenceid=24&clienttimestamp=1570545748028&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,value,935,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,199,-1,0,-1,-1,-1,0,35.190.62.200,,200,
3,,2019-10-08T17:42:58.837+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570545748033%2C%22tag%22%3A13439%2C%22init1request%22%3A16938%2C%22init1%22%3A27700%7D&mode=0&websiteid=2490&visitid=1570546701928665&deviceid=1015890958379946086&pageviewid=3&sequenceid=36&clienttimestamp=1570545777782&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,value,938,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,198,-1,0,-1,-1,-1,0,35.190.62.200,,198,
4,,2019-10-08T17:43:11.620+03:00,POST,https://c.pub.network/c,HTTP/1.1,,539,1908,,200,OK,HTTP/1.1,0,text/plain;charset=utf-8,,,301,36,,,191,0,0,597,619,0,0,35.226.36.58,,813,
5,,2019-10-08T17:43:02.891+03:00,CONNECT,https://dmx.districtm.io,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,9140,0,0,104.16.190.66,,9140,Unable to connect to host
6,,2019-10-08T17:43:02.887+03:00,CONNECT,https://ib.adnxs.com,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,9150,0,0,185.33.223.209,,9150,Unable to connect to host
7,,2019-10-08T17:43:13.634+03:00,GET,https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=2743638044787529&correlator=3637874470473388&output=ldjh&callback=googletag.impl.pubads.callbackProxy2&impl=fifs&eid=21064757%2C21062414%2C21062421%2C21064370&vrg=2019100701&guci=2.2.0.0.2.2.0.0&plat=1%3A67108864%2C2%3A67108864%2C8%3A67108864&sc=1&sfv=1-0-35&ecs=20191008&iu_parts=15184186%2Csporcle_728x90_ATF&enc_prev_ius=%2F0%2F1&prev_iu_szs=728x90&rcs=1&eri=1&cust_params=user-agent%3DChrome%2520Headless%26PageType%3D14%26ul%3D0&cookie=ID%3Dddd40bf2b334b9a6%3AT%3D1570546772%3AS%3DALNI_MaVCamaDRo6dduyY9hkpZKUKKd8Sw&bc=31&abxe=1&lmt=1570545784&dt=1570545784401&dlt=1570545755490&idt=11609&frm=20&biw=793&bih=579&oid=3&adxs=33&adys=5&adks=3241475122&ucis=9&ifi=6&u_tz=180&u_his=3&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.sporcle.com%2F&dssz=58&icsg=2251799989911344&std=0&vis=1&dmc=8&scr_x=0&scr_y=0&psz=728x106&msz=728x90&ga_vid=1308617539.1570545713&ga_sid=1570545769&ga_hid=1205152198&fws=0&ohw=0,HTTP/1.1,value,1432,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,845,2107,,,252,0,0,193,9220,0,1,216.58.207.34,,9474,
8,,2019-10-08T17:43:04.390+03:00,CONNECT,https://qcx.quantserve.com:8443,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,9289,0,0,91.228.72.8,,9289,Unable to connect to host
9,,2019-10-08T17:43:13.850+03:00,GET,https://de.tynt.com/deb/v2?id=dv3UEm-Yir5lQMacwqm_6l&dn=TI&cc=2&r=,HTTP/1.1,value,560,0,,200,,HTTP/1.1,0,application/javascript,,,304,4,,,180,0,0,545,567,0,0,208.100.17.190,,748,
