,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:43:19.493+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,1011,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48991,,,0,4807,-1,0,276,24,0,104.24.17.117,,5108,,
1,,2019-10-12T15:43:24.356+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvCFm31PqQ7UdRZBU5-aBviYiwbel5lxQUKO0RgERZ-n1Qq5cxEiba2XRusppML-4i8uErsjUZZUOBLcre_3J5sXfKUdDxD0Rq5NIblnl2tqD6ItDIu6bhfBa19Sfhgew&sai=AMfl-YSOYuR8Y2dqKj2HGFqWYtzwZbLpk3r1KcwX8jRXZ16UWNbCIQzOLSkKjayG7OrU3vkqG9iGDpBMkcMdaRuR3gyfv_eb9AjZXxk&sig=Cg0ArKJSzAylqUVp0j4OEAE&cid=CAASFeRo-ukX962cpzD6RpWwuvfnIGUWWw&adk=2057880241&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=17&niot_cbk=49&md=2&lm=2&rst=1570884178542&dlt=559&rpt=400&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45685&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-425-218-23-893-216-0-0-0&tvt=25374&r=u&id=osdim&vs=3&uc=212&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191011",HTTP/1.1,2043,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,103,-1,-1,0,-1,-1,172.217.22.34,,104,value,
2,,2019-10-12T15:43:24.374+03:00,POST,https://csi.gstatic.com/csi?v=2&s=pagead&action=csi_pagead&puid=3~k1njw5nz&ctx=2&gqid=ac6hXYqYB4_qxgLcoZOICw&qqid=CMO1z77jluUCFQu1UQod1YECaQ&uet=2&met.3=118.bi4~118.bl5~118.bo4~118.br4~118.bu5~118.bx7~118.c04~118.c2y~118.c61~118.c8x~118.cc2~118.cev~118.cie~118.cl3~118.co4~118.crh~118.cuu~118.cxx~118.d0q~118.d3v~118.d6p~118.d9i~118.dcm~118.dfn~118.dir~118.dm5~118.dou~118.drp~118.dv9~118.dyo_1~118.e1h~118.e4i~118.e7z~118.eaq~118.edx~118.egz~118.ejv~118.emt~118.epn~118.esy~118.evs~118.eym~118.f1s~118.f4x~118.f7u~118.faq~118.fdu~118.fgu~118.fk0~118.fmo~118.fq0_1~118.fss~118.fwh_1~246.fz5_2~118.fzc~118.g2x~118.g61~118.g97_1~118.gc8~118.gff~118.giq~118.glr_1~118.gop~118.gs0_1~118.gup~118.gxr~118.h0w~118.h3z~118.h6z~118.ha0~118.hd2~118.hfz~118.hj7~118.hma~118.hp4~118.hsb~118.hvc~118.hy9~118.i1f~118.i4i~118.i7e~118.iak~118.idk~118.igg~118.ijn~118.imo~118.ipr~118.iss~118.ivs~118.iyt_1~118.j1v~118.j4x~118.j7z~118.jb0~118.je1~118.jh2~118.jk4~118.jn5~118.jq6~118.jt8&met.1=24.juw&met.7=CCgQChgBIIZMKIZMMKB0OJsoUItMWIlzYLJOaIlzcOxzeIybAYABopUBiAHZhwOwAQG4AQM~CBsQARgBIK50KK50MPCMATjCGA~CBsQARgBIOOhASjjoQEwzKQBOOkC,HTTP/1.1,2451,0,,204,No Content,HTTP/1.1,0,image/gif,,,440,0,,,1,349,-1,-1,0,-1,-1,216.58.199.227,,350,value,
3,,2019-10-12T15:43:24.444+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,965,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,0,3907,-1,0,34,36,0,104.24.17.117,,3978,,
4,,2019-10-12T15:43:24.487+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.5.4,HTTP/1.1,1007,0,,200,OK,HTTP/1.1,0,text/css,,,415,1055,,,0,122,-1,0,0,33,0,104.24.17.117,,155,value,
5,,2019-10-12T15:43:24.487+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvCFm31PqQ7UdRZBU5-aBviYiwbel5lxQUKO0RgERZ-n1Qq5cxEiba2XRusppML-4i8uErsjUZZUOBLcre_3J5sXfKUdDxD0Rq5NIblnl2tqD6ItDIu6bhfBa19Sfhgew&sai=AMfl-YSOYuR8Y2dqKj2HGFqWYtzwZbLpk3r1KcwX8jRXZ16UWNbCIQzOLSkKjayG7OrU3vkqG9iGDpBMkcMdaRuR3gyfv_eb9AjZXxk&sig=Cg0ArKJSzAylqUVp0j4OEAE&cid=CAASFeRo-ukX962cpzD6RpWwuvfnIGUWWw&adk=2057880241&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=10783,428,10983,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=17&niot_cbk=49&md=2&lm=2&rst=1570884178542&dlt=559&rpt=400&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45685&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-425-218-23-893-216-0-0-0&tvt=25374&r=u&id=osdtos&vs=3&uc=212&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=240x200&itpl=4&v=20191011",HTTP/1.1,2044,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,95,-1,-1,0,-1,-1,172.217.22.34,,96,value,
6,,2019-10-12T15:43:24.487+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/wp-emoji-release.min.js?ver=f93c06892291928e5e70789d6414b9c7,HTTP/1.1,988,0,,200,OK,HTTP/1.1,0,application/javascript,,,431,4382,,,0,120,-1,0,0,29,0,104.24.17.117,,150,value,
7,,2019-10-12T15:43:24.502+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsu0v68uxMII4PQZPW8ypt-thTsWsr2VobC5fw-11z8Q-QcZT5MiiwO0kme_kKoPHuP4nhyPC84MoMAWtI3saQsJgdVF1ZC2aqdrzKHvnmt4h_vJbuM&sai=AMfl-YTPNxlDCw5HTIf11AaU5KlS4ONMVJHWHWMF8KuSpxq9HAhbp2rIjpsxCUv890sZps24LPm4DtPBBn8kRrTG7rH3Km3T_ymf8oE&sig=Cg0ArKJSzIqrdVJm47gYEAE&cid=CAASEuRoYhF7YTAGJ1mzSOsCW9txxw&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=17&niot_cbk=50&md=2&lm=2&rst=1570884178613&dlt=570&rpt=316&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45685&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-425-218-23-893-216-0-0-0&tvt=25374&r=u&id=osdim&vs=3&uc=211&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=22&v=20191011",HTTP/1.1,2003,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,95,108,0,0,137,0,172.217.22.34,,234,value,
8,,2019-10-12T15:43:24.502+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsu0v68uxMII4PQZPW8ypt-thTsWsr2VobC5fw-11z8Q-QcZT5MiiwO0kme_kKoPHuP4nhyPC84MoMAWtI3saQsJgdVF1ZC2aqdrzKHvnmt4h_vJbuM&sai=AMfl-YTPNxlDCw5HTIf11AaU5KlS4ONMVJHWHWMF8KuSpxq9HAhbp2rIjpsxCUv890sZps24LPm4DtPBBn8kRrTG7rH3Km3T_ymf8oE&sig=Cg0ArKJSzIqrdVJm47gYEAE&cid=CAASEuRoYhF7YTAGJ1mzSOsCW9txxw&adk=1185311379&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=395,862,995,1162&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=17&niot_cbk=50&md=2&lm=2&rst=1570884178613&dlt=570&rpt=316&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45685&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-425-218-23-893-216-0-0-0&tvt=25374&r=u&id=osdtos&vs=3&uc=211&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=300x600&itpl=22&v=20191011",HTTP/1.1,2004,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,1,95,109,0,0,138,0,172.217.22.34,,235,value,
9,,2019-10-12T15:43:24.502+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssVVJ4hxCL9H0m8odUmRk5Xzwh97Xk9psZKnuvMEG1_bS43OrmLVJKYwdEYS64rc1s7X5-tKqaQwPOdiIO_q9LjDgYIpCM-pVgAkknqRQ2nNZJ870M&sai=AMfl-YR40-keRDyCnS3mhjWYyeo-0TqEw7mawaED9MXGqNerzXvibocZixHGPWVKIV4MrDnXmBHB1pahOXSpL8otzevDXg6cI-5PNtc&sig=Cg0ArKJSzJmO690LnQxKEAE&cid=CAASEuRoaB5dFQ80j1hqBywdcunA4w&adk=2664836855&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=1231,862,1481,1112&mcvt=0&rs=1&ht=0&mc=0&lte=-1&bas=0&bac=0&met=no&avms=nio&niot_obs=17&niot_cbk=50&md=2&lm=2&rst=1570884178630&dlt=654&rpt=302&isd=0&msd=0&oseid=3&xdi=0&ps=1190%2C45685&ss=800%2C600&pt=-1&bin=1&deb=1-4-4-425-218-23-893-216-0-0-0&tvt=25374&r=u&id=osdim&vs=3&uc=211&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=250x250&itpl=4&v=20191011",HTTP/1.1,2016,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,97,110,0,0,149,0,172.217.22.34,,248,value,
