,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:26:54.795+03:00,GET,https://www.onread.com/,HTTP/1.1,981,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,485,9914,,,-1,0,-1,171,-1,-1,17,104.24.119.116,,189,,
1,,2019-10-08T18:26:55.030+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,917,0,,200,OK,HTTP/1.1,0,text/css,,,519,19958,,,-1,0,-1,107,-1,-1,120,104.24.119.116,,228,value,
2,,2019-10-08T18:26:55.034+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,899,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,-1,0,-1,99,-1,-1,0,104.24.119.116,,100,value,
3,,2019-10-08T18:26:55.034+03:00,GET,https://ws.sharethis.com/button/buttons.js,HTTP/1.1,432,0,,304,Not Modified,HTTP/1.1,0,,,,474,0,,,-1,0,-1,92,-1,-1,0,143.204.192.69,,93,,
4,,2019-10-08T18:26:55.137+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,897,0,,200,OK,HTTP/1.1,0,text/css,,,517,1646,,,-1,0,-1,99,-1,-1,0,104.24.119.116,,100,value,
5,,2019-10-08T18:26:55.241+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,897,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,-1,0,-1,107,-1,-1,0,104.24.119.116,,108,value,
6,,2019-10-08T18:26:55.262+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,896,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,-1,0,-1,92,-1,-1,44,104.24.119.116,,137,value,
7,,2019-10-08T18:26:55.358+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,901,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,-1,0,-1,101,-1,-1,0,104.24.119.116,,101,value,
8,,2019-10-08T18:26:55.403+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,915,0,,200,OK,HTTP/1.1,0,text/css,,,514,545,,,-1,0,-1,102,-1,-1,0,104.24.119.116,,102,value,
9,,2019-10-08T18:26:55.464+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,-1,0,-1,90,-1,-1,0,104.24.119.116,,91,value,
10,,2019-10-08T18:26:55.558+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,931,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,-1,0,-1,111,-1,-1,0,104.24.119.116,,112,value,
11,,2019-10-08T18:26:55.678+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.css?v=1465990458,HTTP/1.1,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,728,,,-1,0,-1,92,-1,-1,0,104.24.119.116,,93,value,
12,,2019-10-08T18:26:55.774+03:00,GET,https://www.onread.com/js/poshytip/tip-basic/tip-basic.css?v=1465990458,HTTP/1.1,919,0,,200,OK,HTTP/1.1,0,text/css,,,516,562,,,-1,0,-1,87,-1,-1,0,104.24.119.116,,88,value,
13,,2019-10-08T18:26:55.876+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.css?v=1465990458,HTTP/1.1,921,0,,200,OK,HTTP/1.1,0,text/css,,,516,1257,,,-1,0,-1,98,-1,-1,0,104.24.119.116,,99,value,
14,,2019-10-08T18:26:55.992+03:00,GET,https://www.onread.com/css/popup.css?v=1465990458,HTTP/1.1,897,0,,200,OK,HTTP/1.1,0,text/css,,,516,1402,,,-1,0,-1,106,-1,-1,0,104.24.119.116,,107,value,
15,,2019-10-08T18:26:55.992+03:00,GET,https://www.onread.com/assets/37e991fb/authchoice.css?v=1485418581,HTTP/1.1,914,0,,200,OK,HTTP/1.1,0,text/css,,,516,272,,,-1,0,-1,99,-1,-1,0,104.24.119.116,,100,value,
16,,2019-10-08T18:26:55.993+03:00,GET,https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/css,,,453,8056,,,915,0,0,95,0,955,5,209.197.3.24,,1056,,
17,,2019-10-08T18:26:56.811+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,914,0,,200,OK,HTTP/1.1,0,text/css,,,514,253,,,-1,0,-1,131,-1,-1,0,104.24.119.116,,132,value,
18,,2019-10-08T18:26:56.813+03:00,GET,"https://t.sharethis.com/d/a.gif?cid=c010&dmn=www.onread.com&tt=t.dhj&dhjLcy=5163&lbl=pxcel&flbl=pxcel&ll=d&ver=0.308.14287&ell=d&cck=__stid&pn=%2F&qs=na&rdn=www.onread.com&rpn=%2F&rqs=na&cc=IL&cont=AS&ipaddr=&evid=1ks-r2WAjDoVxQTojSe0&urls=!2!0!b-12t,!2!0!b-10l,!2!0!b-10x,!1!8214!b-125,!1!7756!b-10w,!1!8218!b-126,!1!8213!b-102,!2!0!b-140,!2!0!b-12g,!2!0!b-10o,!2!0!b-12y,!2!0!b-12u&rnd=1570548413498&cid=c010&version=0.308.14287&cc=IL&cont=AS&repeat=0&htmLcy=116",HTTP/1.1,925,0,,204,No Content,HTTP/1.1,0,,,,227,0,,,-1,0,-1,105,-1,-1,0,104.82.118.155,,106,value,
19,,2019-10-08T18:26:57.169+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,920,0,,200,OK,HTTP/1.1,0,text/css,,,517,26000,,,-1,0,-1,115,-1,-1,13,104.24.119.116,,129,value,
20,,2019-10-08T18:26:58.156+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,902,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,-1,0,-1,96,-1,-1,0,104.24.119.116,,98,value,
21,,2019-10-08T18:26:58.659+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,918,0,,200,OK,HTTP/1.1,0,text/css,,,515,6203,,,-1,0,-1,108,-1,-1,0,104.24.119.116,,108,value,
22,,2019-10-08T18:26:58.775+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,353,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,-1,0,-1,80,-1,-1,19,172.217.23.104,,100,,
23,,2019-10-08T18:26:58.824+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,application/javascript,,,555,18855,,,-1,0,-1,154,-1,-1,1,143.204.192.69,,156,,
