,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T19:29:58.844+03:00,GET,https://the-dots.com/,HTTP/1.1,1515,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,466,13695,,,1045,0,270,0,1534,702,0,104.20.55.187,,2508,
1,,2019-09-28T19:29:59.821+03:00,GET,https://the-dots.com/dist/app.339f2c28.css,HTTP/1.1,1424,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,616,70467,,,-1,-1,986,0,-1,4016,-1,104.20.55.187,,5004,
2,,2019-09-28T19:30:02.913+03:00,GET,https://js.stripe.com/v2/,HTTP/1.1,338,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,722,20945,,,2104,653,920,0,3094,994,0,151.101.12.176,,5662,
3,,2019-09-28T19:30:04.889+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,597,25869,,,-1,-1,505,0,-1,4,-1,172.217.18.104,,510,value
4,,2019-09-28T19:30:05.271+03:00,GET,https://www.googletagservices.com/tag/js/gpt.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,686,14244,,,-1,-1,120,0,-1,100,-1,172.217.22.2,,221,
5,,2019-09-28T19:30:05.304+03:00,GET,https://api.the-dots.com/v1/config,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,application/json,,,1037,452,,,-1,-1,244,0,-1,0,-1,104.20.55.187,,245,
6,,2019-09-28T19:30:05.304+03:00,GET,"https://api.the-dots.com/v1/explore/today/projects?include=image,owner-user,owner-user.tagline,owner-user.profile-image,owner-page,owner-page.tagline,owner-page.profile-image,x-likes,x-likes.tagline,x-likes.profile-image,x-in-lists,collaborators-summary,collaborators-summary.tagline,collaborators-summary.profile-image",HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,application/json,,,1063,10420,,,-1,-1,187,0,-1,34,-1,104.20.55.187,,222,value
7,,2019-09-28T19:30:05.313+03:00,GET,https://js.stripe.com/v2/channel.html?stripe_xdm_e=https%3A%2F%2Fthe-dots.com&stripe_xdm_c=default984739&stripe_xdm_p=1,HTTP/1.1,585,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,707,560,,,-1,-1,173,0,-1,0,-1,151.101.12.176,,174,value
8,,2019-09-28T19:30:05.352+03:00,OPTIONS,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,592,0,,200,OK,HTTP/1.1,0,text/plain,,,837,0,,,-1,-1,213,0,-1,0,-1,104.20.55.187,,213,value
9,,2019-09-28T19:30:05.406+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,565,22733,,,-1,-1,299,0,-1,3,-1,143.204.208.82,,303,
10,,2019-09-28T19:30:05.429+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,-1,-1,104,0,-1,95,-1,172.217.18.14,,200,
11,,2019-09-28T19:30:05.440+03:00,GET,https://connect.facebook.net/en_US/fbevents.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1285,31604,,,-1,-1,124,0,-1,525,-1,157.240.1.23,,650,
12,,2019-09-28T19:30:05.442+03:00,GET,https://www.googletagmanager.com/gtag/js?id=AW-963774345,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,597,27152,,,-1,-1,122,0,-1,65,-1,172.217.18.104,,188,value
13,,2019-09-28T19:30:05.492+03:00,GET,https://js.stripe.com/v2/m/outer.html,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,706,388,,,-1,-1,136,0,-1,0,-1,151.101.12.176,,136,
14,,2019-09-28T19:30:05.501+03:00,GET,https://www.googleadservices.com/pagead/conversion_async.js,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,812,9151,,,-1,-1,125,0,-1,3,-1,172.217.16.162,,129,
15,,2019-09-28T19:30:05.575+03:00,POST,"https://api.the-dots.com/v1/search/users/query?include=cover-image,experiences.organisation-page,experiences,location,profile-image,projects-summary.image,tagline&page=1&perPage=8",HTTP/1.1,615,87,,200,OK,HTTP/1.1,0,application/json,,,1038,11782,,,-1,-1,373,0,-1,15,-1,104.20.55.187,,389,value
16,,2019-09-28T19:30:05.619+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/rollbar.js/2.2.3/rollbar.min.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,16084,,,228,0,142,0,728,182,0,104.19.198.151,,1054,
17,,2019-09-28T19:30:05.640+03:00,GET,https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019091901.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,516,58568,,,-1,-1,121,0,-1,368,-1,216.58.206.2,,490,
18,,2019-09-28T19:30:05.807+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=the-dots.com,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,179,0,136,0,276,0,0,172.217.22.2,,415,value
19,,2019-09-28T19:30:05.820+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,817,23725,,,430,0,126,0,954,139,0,35.186.235.23,,1221,
20,,2019-09-28T19:30:05.830+03:00,GET,https://fullstory.com/s/fs.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68407,,,440,0,112,21,971,654,0,216.239.38.21,,1760,
21,,2019-09-28T19:30:05.874+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=the-dots.com,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,233,0,109,0,336,0,0,172.217.21.226,,447,value
22,,2019-09-28T19:30:05.876+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1521464679&t=pageview&_s=1&dl=https%3A%2F%2Fthe-dots.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20Creative%20Network%20%7C%20The%20Dots&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=QACAAEAB~&jid=225069187&gjid=459135385&cid=1800531779.1569688128&tid=UA-52833372-1&_gid=1645764764.1569688128&_r=1&z=656550637,HTTP/1.1,703,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-52833372-1&cid=1800531779.1569688128&jid=225069187&_gid=1645764764.1569688128&gjid=459135385&_v=j79&z=656550637,617,417,,,-1,-1,105,0,-1,0,-1,172.217.18.14,,106,value
23,,2019-09-28T19:30:05.885+03:00,GET,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/963774345/?random=1569688205877&cv=9&fst=1569688205877&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wg9i1&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fthe-dots.com%2F&tiba=The%20Creative%20Network%20%7C%20The%20Dots&async=1&rfmt=3&fmt=4,HTTP/1.1,772,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,834,936,,,-1,-1,142,0,-1,0,-1,172.217.22.2,,143,value
24,,2019-09-28T19:30:05.895+03:00,GET,https://js.stripe.com/v2/,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,722,20945,,,-1,-1,89,0,-1,146,-1,151.101.12.176,,237,
25,,2019-09-28T19:30:05.921+03:00,GET,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,762,17889,,,390,504,107,0,522,106,0,13.32.222.12,,1242,
26,,2019-09-28T19:30:05.977+03:00,GET,https://m.stripe.network/inner.html,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,951,10066,,,-1,-1,156,0,-1,0,-1,52.222.157.118,,157,
