,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T16:23:15.014+03:00,GET,https://www.sporcle.com/,HTTP/1.1,1719,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,19160,,,0,259,-1,-1,-1,-1,38,13.225.249.58,,298,,
1,,2019-10-12T16:23:15.353+03:00,POST,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjss--tE74xJuYC15C2gYcVw4fzjPkdaWDpjz6YfGteYZpJmGlUgegB99uVLkzArVa4Q-xiAVLeju51VIP0LeLEvwKx-tywYy09jk_ESEf2ujQbvgJ8c&sai=AMfl-YR2xcWLMKGn3MeOoXB0EbilgYAJOjA4RbrNb-STAZsApGoYwla_5Qyg7EEXktJIAOR_4DkQyxupCP8j5ls6ounGpi7Y6UligIkTg5IfeUYmgCnRgI5A70OkTuU&sig=Cg0ArKJSzEgg8afKKPrSEAE&cid=CAASEuRoQL_uqerh-uQmdOEk6mgWFg&id=ampeos&o=33,5&d=728,90&ss=800,600&bs=800,600&mcvt=5358&mtos=0,0,5358,5358,5358&tos=0,0,5358,0,0&tfs=92&tls=5450&g=100&h=100&pt=2745&tt=5450&rpt=2745&rst=1570886589108&r=de&isd=inside&msd=inside",HTTP/1.1,977,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,102,-1,-1,-1,-1,0,172.217.22.98,,103,value,
2,,2019-10-12T16:23:15.409+03:00,GET,https://events.bouncex.net/track.gif/endpageview?pageview:url=https%253A%252F%252Fwww.sporcle.com%252F&pageview:customvariables=%7B%22interstitial_absent%22%3Atrue%2C%22quiz_completed%22%3Afalse%2C%22sporcle_orange_user%22%3Afalse%2C%22quiz_running%22%3Afalse%7D&pageview:event=beforeunload&perf:times=%7B%22startTime%22%3A1570886564973%2C%22tag%22%3A1885%2C%22init1request%22%3A2073%2C%22init1%22%3A2845%7D&mode=0&websiteid=2490&visitid=1570887408443204&deviceid=9068585110947825722&pageviewid=5&sequenceid=71&clienttimestamp=1570886595012&clientapiversion=tag3&device=d&source=web&agent=user,HTTP/1.1,935,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,0,209,353,0,391,0,0,35.190.62.200,,601,value,
3,,2019-10-12T16:23:15.425+03:00,GET,https://www.sporcle.com/style/main.css?v=10322,HTTP/1.1,1632,0,,200,OK,HTTP/1.1,0,text/css,,,520,16109,,,0,89,-1,-1,-1,-1,37,13.225.249.58,,126,value,
4,,2019-10-12T16:23:15.460+03:00,POST,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstb595u577t-twfjxHVBLfqEhptTWT4bkh-DXlBlgHu5hzgc2lcQFRx818EcG-rVv1ngC1i791FOTvDxZ-9nIRglKI2_4MUXDXS4CBlcfg5N9FEiSg&sai=AMfl-YSWoccmtOPZN-eQvcrcScFoEgc4TYqOb4DF621i3b6ucYSQiXxz0L09J_OnlTSubhKCFg8Z64mqTW0NafG-9uRmYFHaOxw1ySMmM14SoqRSDoKZWajjokqA7Sw&sig=Cg0ArKJSzCVM75aQ6nYSEAE&cid=CAASEuRoqRKk4I4ikcGjtX_QnG_bVA&id=ampeos&o=20,5804&d=300,250&ss=800,600&bs=800,600&mcvt=0&mtos=0,0,0,0,0&tos=0,0,0,0,0&tfs=0&tls=0&g=0&h=0&pt=1303&tt=24444&rpt=1303&rst=1570886569777&r=de&isd=inside&msd=inside",HTTP/1.1,959,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,98,-1,-1,-1,-1,0,172.217.22.98,,99,value,
5,,2019-10-12T16:23:15.500+03:00,POST,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvRUNADsIB07nu-rfUKFjmIkeODTDablpVW8go6zjooH6Nbkz3mHM63zoCSGObMVUUzK-3WpyVqHtk69sbAKl2-LFbjZASelQLbHybNOfJgOBMoLLs&sai=AMfl-YR1skUPHVURTJtVWcwimaG5hnMrtP5V2snUL8I-thpZdqVxFJBZm91Xeq7MC678V_mI2un-5DbPNev1xAdMyHt3u8NB6i4h0NqIb7P6ipYXP2s6-DFaAfXeSCI&sig=Cg0ArKJSzFU3hVbf22IQEAE&cid=CAASEuRomnsUPDOA3Bhov5tz3nr9mg&id=ampeos&o=640,983&d=300,250&ss=800,600&bs=800,600&mcvt=0&mtos=0,0,0,0,0&tos=0,0,0,0,0&tfs=0&tls=0&g=0&h=0&pt=1407&tt=24660&rpt=1407&rst=1570886569711&r=de&isd=inside&msd=inside",HTTP/1.1,959,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,92,111,0,137,0,0,172.217.22.98,,231,value,
6,,2019-10-12T16:23:15.507+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvPzdZ5ahjdKajQTatrPgO1w3SiJKowpAGMW0FDg8gVoF054H9vnS1J7lnO7pzNjzsDQ1MwP6DF9013axkiJC-69yI6pA7djeGL0uIYGu4&sig=Cg0ArKJSzLcz805T2C8bEAE&adk=3395509772&tt=-1&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=4796,640,5046,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=48&md=2&lm=2&rst=1570886569706&rpt=566&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8299&ss=800%2C600&pt=-1&bin=1&deb=1-1-1-95-219-38-222-218-0-0-0&tvt=25009&r=u&id=osdim&vs=3&uc=219&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191011",HTTP/1.1,934,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,94,118,0,139,0,0,172.217.22.98,,234,value,
7,,2019-10-12T16:23:15.528+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvPzdZ5ahjdKajQTatrPgO1w3SiJKowpAGMW0FDg8gVoF054H9vnS1J7lnO7pzNjzsDQ1MwP6DF9013axkiJC-69yI6pA7djeGL0uIYGu4&sig=Cg0ArKJSzLcz805T2C8bEAE&adk=3395509772&tt=-1&bs=793%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=4796,640,5046,940&mcvt=0&rs=3&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=48&md=2&lm=2&rst=1570886569706&rpt=566&isd=0&msd=0&oseid=3&xdi=0&ps=992%2C8299&ss=800%2C600&pt=-1&bin=1&deb=1-1-1-95-219-38-222-218-0-0-0&tvt=25009&r=u&id=osdtos&vs=3&uc=219&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191011",HTTP/1.1,935,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,92,109,0,152,0,0,172.217.22.98,,245,value,
8,,2019-10-12T16:23:15.656+03:00,GET,https://a.pub.network/sporcle-com/pubfig.min.js,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,application/javascript,,,917,116735,,,0,162,198,0,224,0,177,104.25.191.114,,565,,
9,,2019-10-12T16:23:15.755+03:00,POST,https://detwzgl8cvciv.cloudfront.net/cm_minder_tracking/,HTTP/1.1,467,308,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,577,84,,,0,167,302,92,339,0,0,143.204.194.27,,599,,
