,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T18:52:48.334+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4837,,,4604,19,0,102,2,269,4563,104.18.72.2,,4999,,
1,,2019-10-11T18:52:48.662+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,4,-1,-1,1,118,-1,104.18.72.2,,124,value,
2,,2019-10-11T18:52:48.804+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,3,-1,-1,1,105,-1,104.18.72.2,,111,,
3,,2019-10-11T18:52:48.975+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,73,-1,-1,1,104,-1,104.18.72.2,,178,value,
4,,2019-10-11T18:52:49.932+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,17803,,,1092,28,0,0,1,99,1054,172.217.22.110,,1222,,
5,,2019-10-11T18:52:50.087+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1607442606&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=562967974&gjid=776664480&cid=708618303.1570809170&tid=UA-26211653-1&_gid=580374636.1570809170&_r=1&z=1045940160,HTTP/1.1,712,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=708618303.1570809170&jid=562967974&_gid=580374636.1570809170&gjid=776664480&_v=j79&z=1045940160,643,416,,,-1,0,-1,-1,0,100,-1,172.217.22.110,,102,value,
6,,2019-10-11T18:52:50.489+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20416,,,1641,55,0,1,0,228,1613,172.217.18.174,,1927,,
7,,2019-10-11T18:52:50.778+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,560,41451,,,-1,93,-1,-1,0,87,-1,172.217.18.174,,181,,
8,,2019-10-11T18:52:50.920+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,1185591,,,178,610,0,0,1,88,161,172.217.18.174,,878,,
9,,2019-10-11T18:52:50.921+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,39029,,,178,102,0,0,0,92,152,172.217.18.174,,374,,
10,,2019-10-11T18:52:51.772+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30003,,,-1,4,-1,-1,0,111,-1,172.217.18.174,,116,,
11,,2019-10-11T18:52:55.721+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=708618303.1570809170&jid=562967974&_gid=580374636.1570809170&gjid=776664480&_v=j79&z=1045940160,HTTP/1.1,535,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,5500,0,0,25,1,93,5464,74.125.133.154,,5622,value,
12,,2019-10-11T18:52:55.948+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,4253,0,0,0,1,107,4221,172.217.18.162,,4363,,
13,,2019-10-11T18:52:56.109+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,-1,1,-1,-1,0,100,-1,172.217.18.162,,102,value,
14,,2019-10-11T18:52:56.370+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,4634,0,0,35,1,86,4604,172.217.16.134,,4759,,
15,,2019-10-11T18:52:57.753+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,893,36828,,,9086,79,0,0,0,103,9048,172.217.16.130,,9270,,
