,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:04:15.035+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,9911,,,94,188,2,1465,0,36,1506,104.24.118.116,,1828,
1,,2019-10-11T19:04:15.290+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,517,19958,,,-1,97,1,-1,-1,44,-1,104.24.118.116,,142,value
2,,2019-10-11T19:04:15.442+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,-1,80,12,-1,-1,1,-1,104.24.118.116,,94,value
3,,2019-10-11T19:04:15.448+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,0,106,1,123,0,6,148,104.24.118.116,,262,value
4,,2019-10-11T19:04:15.449+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,0,105,1,124,0,2,155,104.24.118.116,,263,value
5,,2019-10-11T19:04:15.453+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,0,116,1,128,0,35,152,104.24.118.116,,305,value
6,,2019-10-11T19:04:15.455+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,0,110,0,123,0,1,151,104.24.118.116,,264,value
7,,2019-10-11T19:04:15.461+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1646,,,0,111,1,128,0,1,158,104.24.118.116,,272,value
8,,2019-10-11T19:04:15.548+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,-1,108,0,-1,-1,0,-1,104.24.118.116,,110,value
9,,2019-10-11T19:04:15.596+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,-1,105,0,-1,-1,36,-1,104.24.118.116,,142,value
