,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,response._error
0,,2019-10-12T15:40:53.665+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,value,1123,1129,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,-1,0,-1,111,3,-1,-1,172.217.22.110,,115,
1,,2019-10-12T15:40:53.666+03:00,GET,https://www.youtube.com/,HTTP/1.1,,547,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,41612,,,-1,0,-1,150,684,-1,-1,172.217.22.110,,834,
2,,2019-10-12T15:40:53.864+03:00,GET,https://i.ytimg.com/generate_204,HTTP/1.1,,348,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,88,0,-1,-1,172.217.16.214,,88,
3,,2019-10-12T15:40:53.868+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,15742,,,-1,0,-1,84,107,-1,-1,172.217.22.110,,192,
4,,2019-10-12T15:40:53.870+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,814,,,-1,0,-1,85,0,-1,-1,172.217.22.110,,86,
5,,2019-10-12T15:40:53.871+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,21439,,,-1,0,-1,80,41,-1,-1,172.217.22.110,,122,
6,,2019-10-12T15:40:53.875+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflYMS1Cf.html,HTTP/1.1,,498,0,,200,OK,HTTP/1.1,0,text/html,,,615,341964,,,-1,0,-1,103,236,-1,-1,172.217.22.110,,340,
7,,2019-10-12T15:40:53.876+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,2595,,,-1,0,-1,84,16,-1,-1,172.217.22.110,,101,
8,,2019-10-12T15:40:53.878+03:00,GET,https://fonts.googleapis.com/css?family=YT%20Sans%3A300%2C500%2C700,HTTP/1.1,value,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,405,,,-1,0,-1,103,1,-1,-1,216.58.207.42,,105,
9,,2019-10-12T15:40:53.879+03:00,GET,https://yt3.ggpht.com/sMwgWsx9oOWKiIUWSQsNa8KN-pQPzgmwz2l121DDeNQAv6T9xf1Kp9M0b_vNilyDuyA8c6lU=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,,475,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1294,,,-1,0,-1,81,0,-1,-1,216.58.210.1,,82,
