,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T15:59:04.500+03:00,GET,https://the-dots.com/,HTTP/1.1,1456,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,492,12228,,,-1,-1,0,0,-1,-1,130,104.20.56.187,,131,
1,,2019-10-08T15:59:04.683+03:00,GET,https://the-dots.com/dist/app.71109cc8.css,HTTP/1.1,1365,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,615,69404,,,-1,-1,21,0,-1,-1,109,104.20.56.187,,131,
2,,2019-10-08T15:59:04.846+03:00,GET,https://fullstory.com/s/fs.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68410,,,-1,-1,39,0,-1,-1,89,216.239.36.21,,129,
3,,2019-10-08T15:59:04.853+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NH2FRP&l=_gtm,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25891,,,-1,-1,17,0,-1,-1,99,216.58.207.72,,117,value
4,,2019-10-08T15:59:05.086+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/rollbar.js/2.2.3/rollbar.min.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,692,16084,,,0,230,817,0,0,204,99,104.19.199.151,,1149,
5,,2019-10-08T15:59:05.183+03:00,GET,https://cdn.mxpnl.com/libs/mixpanel-2-latest.min.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,816,23725,,,0,331,155,0,0,308,148,130.211.5.208,,637,
6,,2019-10-08T15:59:05.183+03:00,GET,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/javascript,,,764,17889,,,0,326,281,0,0,300,1127,99.86.255.160,,1736,
7,,2019-10-08T15:59:05.241+03:00,GET,https://d2j1fszo1axgmp.cloudfront.net/2.6.0/stream-analytics.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,564,22733,,,0,336,34,0,0,305,90,99.86.255.24,,462,
8,,2019-10-08T15:59:05.354+03:00,GET,https://js.stripe.com/v2/m/outer.html,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,388,,,-1,-1,0,0,-1,-1,92,151.101.16.176,,93,
9,,2019-10-08T15:59:05.445+03:00,POST,https://rs.fullstory.com/rec/page,HTTP/1.1,421,246,,202,Accepted,HTTP/1.1,0,text/plain; charset=utf-8,,,364,15,,,-1,-1,0,0,-1,-1,189,35.186.194.58,,190,
