,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:47:27.593+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,0,1293,16,120,2,1259,328,45.63.119.229,,1761,
1,,2019-10-08T16:47:27.759+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,-1,-1,315,203,0,-1,-1,45.63.119.229,,519,
2,,2019-10-08T16:47:27.961+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,0,202,735,173,1,160,0,45.63.119.229,,1112,
3,,2019-10-08T16:47:30.051+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,0,1758,3,125,0,1715,0,216.58.207.42,,1887,value
4,,2019-10-08T16:47:30.051+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,0,2297,4,116,0,2255,0,216.58.207.42,,2420,value
5,,2019-10-08T16:47:31.473+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,0,819,0,116,0,785,288,165.22.204.53,,1226,
6,,2019-10-08T16:47:31.594+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,356,,,-1,-1,0,97,0,-1,-1,165.22.204.53,,98,
7,,2019-10-08T16:47:32.048+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3Mjk2MjY5NCwiaWF0IjoxNTcwNTQzNDk0LCJpc3MiOiJrb3NtaSIsImp0aSI6IjEyZmUwYWQ0LTFlMGMtNDUwMy1hZjFjLTMwM2E0OGNkZTUyNCIsIm5iZiI6MTU3MDU0MzQ5Mywic3ViIjoiNzZhNzhiODktNWFmNi00MjdhLWI3ZTYtMTNiZmU0Yzk0NmJhIiwidHlwIjoiYWNjZXNzIn0.LKj2_hcrmANXJDFR76CKH8rHNBD38bPqFUi8ka0E4377jGcLSemLcYoYPuyxIBb8i2MKHpIz8fjKdEjYEvLiFA&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,0,322,0,86,0,291,0,165.22.204.53,,409,value
8,,2019-10-08T16:47:32.146+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,-1,-1,0,110,0,-1,-1,45.63.119.229,,111,
9,,2019-10-08T16:47:32.279+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,0,106,0,-1,-1,45.63.119.229,,107,
10,,2019-10-08T16:47:33.529+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,1,125,0,-1,-1,45.63.119.229,,127,
11,,2019-10-08T16:47:33.739+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,359,,,-1,-1,0,101,0,-1,-1,165.22.204.53,,103,
12,,2019-10-08T16:47:33.770+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,0,1816,56,85,1,1788,0,172.217.16.131,,1960,
13,,2019-10-08T16:47:33.864+03:00,GET,https://kosmi.io/assets/banner.png,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,image/png,,,632,16404,,,0,1039,55,87,0,1008,95,185.199.108.153,,1279,
14,,2019-10-08T16:47:33.868+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,22992,,,0,1828,49,102,0,1800,0,172.217.16.131,,1982,
15,,2019-10-08T16:47:33.868+03:00,GET,https://fonts.gstatic.com/s/pacifico/v16/FwZY7-Qmy14u9lezJ-6H6Mk.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,30928,,,0,3168,63,95,0,3138,31,172.217.16.131,,3359,
