,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T17:58:27.765+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,17,11582,0,2539,265,3,107,45.63.119.229,,11975,,
1,,2019-10-08T17:58:27.932+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,316,-1,-1,-1,-1,1,211,45.63.119.229,,530,,
2,,2019-10-08T17:58:28.155+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,487,212,0,175,0,1,168,45.63.119.229,,869,,
3,,2019-10-08T17:58:29.408+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,3,1434,0,1397,38,0,108,216.58.207.42,,1584,value,
4,,2019-10-08T17:58:29.409+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,6,933,0,903,0,0,104,216.58.207.42,,1045,value,
5,,2019-10-08T17:58:32.356+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,0,2444,0,2408,194,0,90,165.22.204.53,,2730,,
6,,2019-10-08T17:58:32.450+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,355,,,0,-1,-1,-1,-1,0,93,165.22.204.53,,94,,
7,,2019-10-08T17:58:32.956+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3Mjk2Njk1NSwiaWF0IjoxNTcwNTQ3NzU1LCJpc3MiOiJrb3NtaSIsImp0aSI6ImI3MGMzMDUzLTBkN2ItNDA5Ny04ZGEyLTMzYTkzMjEzNWFjYSIsIm5iZiI6MTU3MDU0Nzc1NCwic3ViIjoiNGM3OGJkMDYtNmZlOS00NjhiLWI2YWItYzk5NjEyNmM1MTc1IiwidHlwIjoiYWNjZXNzIn0.VkFPIqI3wzwW1rkv3GgQUBk-6QxQe0ZsUhQ8VDlfvq0b_s9VzkgeBQmiNScRGGwY9HY1JEJLT3tPJlJhDbYerQ&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,0,376,0,343,0,0,100,165.22.204.53,,478,value,
8,,2019-10-08T17:58:33.066+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,0,-1,-1,-1,-1,0,100,45.63.119.229,,101,,
9,,2019-10-08T17:58:33.184+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,0,-1,-1,-1,-1,0,107,45.63.119.229,,108,,
10,,2019-10-08T17:58:33.532+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,0,-1,-1,-1,-1,0,96,45.63.119.229,,98,,
11,,2019-10-08T17:58:33.684+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,358,,,0,-1,-1,-1,-1,0,93,165.22.204.53,,94,,
12,,2019-10-08T17:58:33.726+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,60,991,0,929,0,1,99,172.217.16.131,,1152,,
13,,2019-10-08T17:58:33.806+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,22992,,,52,3822,0,3791,31,0,89,172.217.16.131,,3996,,
14,,2019-10-08T17:58:33.806+03:00,GET,https://fonts.gstatic.com/s/pacifico/v16/FwZY7-Qmy14u9lezJ-6H6Mk.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,30928,,,75,995,0,932,0,1,94,172.217.16.131,,1166,,
15,,2019-10-08T17:58:34.120+03:00,GET,https://kosmi.io/assets/banner.png,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,image/png,,,631,16404,,,59,1426,0,1400,108,0,168,185.199.108.153,,1764,,
16,,2019-10-08T17:58:34.154+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3Mjk2Njk1NiwiaWF0IjoxNTcwNTQ3NzU2LCJpc3MiOiJrb3NtaSIsImp0aSI6ImQwYWMyY2QxLWUyZDktNDUxZC05YzM4LWI4ODJmZGU1NzIwZiIsIm5iZiI6MTU3MDU0Nzc1NSwic3ViIjoiZTkxZWE3NDYtZTQ0NS00MDY4LTk0NDAtYzcyNDQyYTQwZDVmIiwidHlwIjoiYWNjZXNzIn0.JzvK0w3kNbW1zK_0bFERVdnDvbcoUAbCgvldnoKCU5RDvwOKltoc1bH-yyLa8lsA-w5uTqu2FTlYT8XGHPrmcQ&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,0,353,0,317,0,0,98,165.22.204.53,,453,value,
17,,2019-10-08T17:58:34.269+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,0,-1,-1,-1,-1,2,99,45.63.119.229,,102,,
18,,2019-10-08T17:58:34.394+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,0,-1,-1,-1,-1,1,93,216.58.207.42,,95,value,
19,,2019-10-08T17:58:34.395+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,299,-1,-1,-1,-1,0,173,45.63.119.229,,473,,
20,,2019-10-08T17:58:34.395+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,0,-1,-1,-1,-1,0,107,45.63.119.229,,108,,
21,,2019-10-08T17:58:34.954+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,0,0,165.22.204.53,,0,,No response received
