,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:04:29.292+03:00,GET,https://www.taringa.net/,HTTP/1.1,866,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,868,21709,,,-1,-1,8,-1,0,2226,-1,104.16.249.39,,2234,,
1,,2019-10-12T15:04:29.661+03:00,GET,https://tag.crsspxl.com/s2.html?d=2134&u=https%3A%2F%2Fwww.taringa.net%2F&dx=139352%2C139354%2C139355%2C139353%2C47600%2C47601%2C51127%2C47856%2C47895%2C84067%2C84068%2C142563%2C47871%2C98376%2C142578%2C52634%2C52603%2C47465%2C47469%2C47472%2C47473%2C82257%2C93220%2C93222%2C93223%2C93221%2C47504%2C47536%2C47538%2C47539%2C47559%2C47560%2C47571%2C47575%2C47576%2C47573%2C47584%2C142628%2C142637%2C142636%2C142638%2C143090%2C143092%2C143091%2C143085%2C143050%2C143051%2C47910%2C63277%2C82930%2C82233%2C63281%2C63282%2C47677%2C47687%2C144745%2C47684%2C103579%2C103583%2C103588%2C103589%2C63284%2C103603%2C47917%2C103605%2C103606%2C47918%2C103626%2C103628%2C103630%2C103632%2C143069%2C143070%2C143073%2C143076%2C139360%2C139331%2C47835&p=,HTTP/1.1,1433,0,,200,,HTTP/1.1,0,text/html,,,560,792,,,371,0,0,0,0,179,345,23.23.132.206,,553,value,
2,,2019-10-12T15:04:30.121+03:00,GET,https://ib.adnxs.com/getuid?https://tag.crsspxl.com/m.gif?anid=$UID,HTTP/1.1,1219,0,,200,OK,HTTP/1.1,0,image/gif,,,799,43,,,248,0,0,0,0,90,219,185.33.223.206,,340,value,
3,,2019-10-12T15:04:30.121+03:00,GET,https://cm.g.doubleclick.net/pixel?google_nid=CPX12&google_cm,HTTP/1.1,1216,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://tag.crsspxl.com/m.gif?id=&google_gid=CAESEFF1V4OvzyedTkwOsVx6DtM&google_cver=1,888,291,,,263,0,0,0,0,91,235,216.58.206.2,,356,value,
4,,2019-10-12T15:04:30.152+03:00,GET,https://d.turn.com/r/dd/id/L2NzaWQvMS9jaWQvMTgwMzI0NTAvdC8w/dpuid/7726724045278182617/url/https://tag.crsspxl.com/m.gif?tnid=$!{TURN_UUID},HTTP/1.1,1234,0,,302,Found,HTTP/1.1,0,,,https://tag.crsspxl.com/m.gif?tnid=4166919898907160755,469,0,,,280,0,0,0,0,112,181,46.228.164.13,,393,value,
5,,2019-10-12T15:04:30.168+03:00,GET,https://bcp.crwdcntrl.net/5/c=6746/rand=373455754/pv=y/cmp=1/cmpto=250/int=%23OpR%2365809%23www.taringa.net%20%3A%20Total%20Site%20Traffic/int=%23OpR%2350186%23www.taringa.net%20%3A%20Total%20Site%20Traffic/rt=ifr,HTTP/1.1,703,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,1074,674,,,867,0,0,34,0,289,848,3.0.144.81,,1192,,
6,,2019-10-12T15:04:30.215+03:00,GET,https://tags.bluekai.com/site/18282?phint=id%3D7726724045278182617,HTTP/1.1,1169,0,,302,Moved Temporarily,HTTP/1.1,0,,,https://match.adsrvr.org/track/cmf/generic?ttd_pid=bluekai,549,0,,,304,0,0,28,0,252,275,184.85.62.104,,586,value,
7,,2019-10-12T15:04:30.215+03:00,GET,https://idsync.rlcdn.com/366518.gif?partner_uid=7726724045278182617,HTTP/1.1,1201,0,,307,Temporary Redirect,HTTP/1.1,0,,,https://pippio.com/api/sync?pid=5324&it=1&iv=8110bbf4e02d7d577dfe4dc116a66d144a0a6fa0af41a1d784752b76df5b8f89791426b5417dce21&_=2,685,0,,,306,0,1,30,0,206,276,35.190.72.21,,546,value,
8,,2019-10-12T15:04:30.277+03:00,GET,https://cms.analytics.yahoo.com/cms?partner_id=CROEL,HTTP/1.1,1149,0,,302,Found,HTTP/1.1,0,text/html;charset=utf-8,,https://tag.crsspxl.com/m.gif?yahoo_id=sxzKg6IUP.LmOnt5i8SoC1SJm3w1aItebjN8bQ--,549,0,,,388,0,0,0,0,123,363,212.82.100.182,,513,value,
9,,2019-10-12T15:04:30.277+03:00,GET,https://sync.mathtag.com/sync/img?mt_exid=10012&redir=https://tag.crsspxl.com/m.gif?mmid=[MM_UUID],HTTP/1.1,1354,0,,302,Moved Temporarily,HTTP/1.1,0,image/gif,,https://tag.crsspxl.com/m.gif?mmid=50dc5da1-c273-4400-8247-488b0d27ab3f,441,0,,,414,0,0,0,0,121,379,185.29.133.208,,537,value,
10,,2019-10-12T15:04:30.484+03:00,GET,https://token.rubiconproject.com/token?pid=7&puid=27289393ceda529152e2bbaeb2451313&gdpr=0,HTTP/1.1,1076,0,,204,No Content,HTTP/1.1,0,,,,521,0,,,-1,-1,0,-1,0,106,-1,69.173.144.136,,107,value,
11,,2019-10-12T15:04:30.641+03:00,GET,https://tag.crsspxl.com/m.gif?id=&google_gid=CAESEFF1V4OvzyedTkwOsVx6DtM&google_cver=1,HTTP/1.1,1437,0,,200,,HTTP/1.1,0,image/gif,,,228,43,,,421,0,0,0,0,173,382,23.23.132.206,,596,value,
12,,2019-10-12T15:04:30.641+03:00,GET,https://sync-tm.everesttech.net/upi/pid/bsTd8NdE?redir=https%3A%2F%2Fsync.crwdcntrl.net%2Fmap%2Fc%3D1811%2Ftp%3DTBMG%2Ftpid%3D%24%7BTM_USER_ID%7D,HTTP/1.1,736,0,,302,Found,HTTP/1.1,0,,,https://sync.crwdcntrl.net/map/c=1811/tp=TBMG/tpid=XaHFHwAAAHsYgDvh,395,0,,,170,0,0,0,0,91,137,151.101.18.49,,264,value,
13,,2019-10-12T15:04:30.716+03:00,GET,https://tag.crsspxl.com/m.gif?tnid=4166919898907160755,HTTP/1.1,1405,0,,200,,HTTP/1.1,0,image/gif,,,352,43,,,433,0,0,0,0,174,397,23.23.132.206,,608,value,
14,,2019-10-12T15:04:30.833+03:00,GET,https://tag.crsspxl.com/m.gif?yahoo_id=sxzKg6IUP.LmOnt5i8SoC1SJm3w1aItebjN8bQ--,HTTP/1.1,1430,0,,200,,HTTP/1.1,0,image/gif,,,228,43,,,-1,-1,0,-1,0,171,-1,23.23.132.206,,172,value,
15,,2019-10-12T15:04:30.911+03:00,GET,https://tag.crsspxl.com/m.gif?mmid=50dc5da1-c273-4400-8247-488b0d27ab3f,HTTP/1.1,1422,0,,200,,HTTP/1.1,0,image/gif,,,228,43,,,-1,-1,0,-1,0,176,-1,23.23.132.206,,177,value,
16,,2019-10-12T15:04:30.911+03:00,GET,https://sync.mathtag.com/sync/img?sync=auto&mt_exid=10040&redir=https%3A%2F%2Fsync.crwdcntrl.net%2Fmap%2Fc%3D4735%2Ftp%3DMDMA%2Ftpid%3D%5BMM_UUID%5D,HTTP/1.1,882,0,,302,Moved Temporarily,HTTP/1.1,0,image/gif,,https://sync.crwdcntrl.net/map/c=4735/tp=MDMA/tpid=50dc5da1-c273-4400-8247-488b0d27ab3f,456,0,,,432,0,0,0,0,128,399,185.29.133.208,,562,value,
17,,2019-10-12T15:04:31.239+03:00,GET,https://c1.adform.net/serving/cookie/match?party=1177&cid=7726724045278182617,HTTP/1.1,1140,0,,302,Found,HTTP/1.1,0,,,https://c1.adform.net/serving/cookie/match?CC=1&party=1177&cid=7726724045278182617,469,0,,,301,0,0,0,0,122,276,37.157.2.239,,425,value,
18,,2019-10-12T15:04:31.427+03:00,GET,https://c1.adform.net/serving/cookie/match?CC=1&party=1177&cid=7726724045278182617,HTTP/1.1,1178,0,,200,OK,HTTP/1.1,0,image/gif,,,303,35,,,-1,-1,0,-1,0,124,-1,37.157.2.239,,125,value,
