,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:07:27.268+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4818,,,98,275,2,1850,1886,18,0,104.18.73.2,,2281,
1,,2019-10-11T19:07:27.596+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,103,1,-1,-1,7,-1,104.18.73.2,,112,value
2,,2019-10-11T19:07:27.727+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,570,7681,,,-1,105,2,-1,-1,4,-1,104.18.73.2,,111,
3,,2019-10-11T19:07:27.882+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,107,0,-1,-1,57,-1,104.18.73.2,,165,value
4,,2019-10-11T19:07:28.857+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20793,,,32,327,0,1037,1071,41,0,172.217.22.78,,1473,
5,,2019-10-11T19:07:29.232+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,560,41451,,,-1,84,0,-1,-1,48,-1,172.217.22.78,,133,
6,,2019-10-11T19:07:29.355+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,39029,,,0,87,0,112,147,90,0,172.217.22.78,,326,
7,,2019-10-11T19:07:29.369+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,1185591,,,0,92,0,117,161,621,0,172.217.22.78,,876,
8,,2019-10-11T19:07:30.059+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,893,36828,,,25,122,0,2404,2433,91,0,172.217.22.66,,2674,
9,,2019-10-11T19:07:30.289+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30003,,,-1,113,0,-1,-1,5,-1,172.217.22.78,,119,
