,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.blocked,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,serverIPAddress,comment,time,response._error
0,har_a2,2019-12-10T10:08:13.875+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,value,464,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,-1,-1,-1,-1,0,101,0,216.58.208.45,,102,
1,har_a2,2019-12-10T10:08:14.114+02:00,GET,https://www.facebook.com/,HTTP/1.1,,482,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,22658,,,625,0,0,763,0,195,112,185.60.218.35,,1071,
2,har_a2,2019-12-10T10:08:15.148+02:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,506,0,,200,OK,HTTP/1.1,0,image/gif,,,1365,44,,,565,0,0,643,0,102,0,31.13.90.36,,746,
3,har_a2,2019-12-10T10:08:15.657+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/F8qX9CenMvG.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,39760,,,1083,0,0,1218,0,86,92,31.13.90.6,,1398,
4,har_a2,2019-12-10T10:08:15.660+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,611,5466,,,1140,0,0,1279,0,129,0,31.13.90.6,,1410,
5,har_a2,2019-12-10T10:08:15.669+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yS/l/0,cross/bkAu9TObImi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,15250,,,1143,0,0,1258,0,122,6,31.13.90.6,,1388,
6,har_a2,2019-12-10T10:08:15.670+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/pZf38NqrlFs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,20312,,,1154,0,0,1276,0,128,35,31.13.90.6,,1440,
7,har_a2,2019-12-10T10:08:15.680+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/QyTrVbZL9r-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,611,1799,,,1132,0,0,1230,0,104,0,31.13.90.6,,1336,
8,har_a2,2019-12-10T10:08:15.697+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/fOIct_vaJGN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,23863,,,1166,0,0,1247,0,136,4,31.13.90.6,,1388,
9,har_a2,2019-12-10T10:08:15.814+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Q_Qtc1cmjHk.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,611,6953,,,-1,-1,-1,-1,0,104,10,31.13.90.6,,114,
10,har_a2,2019-12-10T10:08:15.819+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/jRBqzHugMVR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,13197,,,-1,-1,-1,-1,0,104,12,31.13.90.6,,117,
11,har_a2,2019-12-10T10:08:15.822+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y-/r/JXON5khFcag.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,441,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,83300,,,-1,-1,-1,-1,0,108,150,31.13.90.6,,258,
